filename,data_pid,id,name,collection,productSMC,material,customization,packshotType,brand,color,colorId,size,price,discountPrice,coupon,subCategory,category,topCategory,productCategory,macroCategory,microCategory,superMicroCategory,list,stock,productGlobalSMC,images,product_url
591970VCQR18425,591970VCQR18425,padded cassette,F_W_2019/F_W_2021/F_W_2022/F_W_2023/F_W_2024/S_S_2021/S_S_2022/S_S_2023/S_S_2024,591970VCQR18425,,not customizable,image,bottega veneta,nero,8425,,None,4900,None,certificate-of-craft,men_bags,inside-bottega,certificate-of-craft,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,undefined,instock,591970VCQR18425,"https://bottega-veneta.dam.kering.com/m/1f06704ebaecd7f5/Thumbnail-591970VCQR18425_E.jpg?v=3, https://bottega-veneta.dam.kering.com/m/7ba36a515d8fc79d/Thumbnail-591970VCQR18425_A.jpg?v=4, https://bottega-veneta.dam.kering.com/m/34c2d6e047e93af1/Thumbnail-591970VCQR18425_B.jpg?v=4, https://bottega-veneta.dam.kering.com/m/50e62790082eb4ce/Thumbnail-591970VCQR18425_C.jpg?v=3, https://bottega-veneta.dam.kering.com/m/4d89c1ff13f286c6/Thumbnail-591970VCQR18425_D.jpg?v=3, https://bottega-veneta.dam.kering.com/m/1f06704ebaecd7f5/Thumbnail-591970VCQR18425_E.jpg?v=3, https://bottega-veneta.dam.kering.com/m/7ba36a515d8fc79d/Thumbnail-591970VCQR18425_A.jpg?v=4",/en-us/padded-cassette-nero-591970VCQR18425.html,men_bags.html
785808V41A11019,785808V41A11019,maxi lauren 1980,F_W_2024/S_S_2024/S_S_2025,785808V41A11019,,not customizable,image,bottega veneta,black,1019,,None,8200,None,women-bags-new,men_bags,women,women-bags-new,bv_macro_women_bags,bv_micro_women_clutches,bv_super_micro_women_clutches,undefined,instock,785808V41A11019,"https://bottega-veneta.dam.kering.com/m/2306efca31742372/Thumbnail-785808V41A11019_H.jpg?v=2, https://bottega-veneta.dam.kering.com/m/6e00baf1a06677e2/Thumbnail-785808V41A11019_A.jpg?v=1, https://bottega-veneta.dam.kering.com/m/548466987c33c10/Thumbnail-785808V41A11019_B.jpg?v=2, https://bottega-veneta.dam.kering.com/m/5a1315bc556a5550/Thumbnail-785808V41A11019_C.jpg?v=2, https://bottega-veneta.dam.kering.com/m/167419097993b5eb/Thumbnail-785808V41A11019_D.jpg?v=2, https://bottega-veneta.dam.kering.com/m/84f9d4a877fb9a3/Thumbnail-785808V41A11019_E.jpg?v=2, https://bottega-veneta.dam.kering.com/m/2306efca31742372/Thumbnail-785808V41A11019_H.jpg?v=2, https://bottega-veneta.dam.kering.com/m/6e00baf1a06677e2/Thumbnail-785808V41A11019_A.jpg?v=1",/en-us/maxi-lauren-1980-black-785808V41A11019.html,men_bags.html
785808V41A12250,785808V41A12250,maxi lauren 1980,S_S_2024,785808V41A12250,,not customizable,image,bottega veneta,barolo,2250,,None,8200,None,women-lauren,men_bags,women,women-lauren,bv_macro_women_bags,bv_micro_women_clutches,bv_super_micro_women_clutches,undefined,instock,785808V41A12250,"https://bottega-veneta.dam.kering.com/m/2523c349d8f4bfb2/Thumbnail-785808V41A12250_H.jpg?v=1, https://bottega-veneta.dam.kering.com/m/76389fc1fd864982/Thumbnail-785808V41A12250_A.jpg?v=2, https://bottega-veneta.dam.kering.com/m/d074de511b41554/Thumbnail-785808V41A12250_B.jpg?v=1, https://bottega-veneta.dam.kering.com/m/1a63253f94ec11c5/Thumbnail-785808V41A12250_C.jpg?v=1, https://bottega-veneta.dam.kering.com/m/16e7a50280ad600f/Thumbnail-785808V41A12250_D.jpg?v=2, https://bottega-veneta.dam.kering.com/m/bdaed57b763d3fd/Thumbnail-785808V41A12250_E.jpg?v=1, https://bottega-veneta.dam.kering.com/m/2523c349d8f4bfb2/Thumbnail-785808V41A12250_H.jpg?v=1, https://bottega-veneta.dam.kering.com/m/76389fc1fd864982/Thumbnail-785808V41A12250_A.jpg?v=2",/en-us/maxi-lauren-1980-barolo-785808V41A12250.html,men_bags.html
717622V2H419233,717622V2H419233,knot,F_W_2022/F_W_2023/S_S_2023/S_S_2024,717622V2H419233,,not customizable,image,bottega veneta,bone,9233,,None,4200,None,women-bags-knot,men_bags,women,women-bags-knot,bv_macro_women_bags,bv_micro_women_clutches,bv_super_micro_women_clutches,undefined,instock,717622V2H419233,"https://bottega-veneta.dam.kering.com/m/2e88194e238ccb31/Thumbnail-717622V2H419233_F.jpg?v=1, https://bottega-veneta.dam.kering.com/m/71759b714c063115/Thumbnail-717622V2H419233_A.jpg?v=2, https://bottega-veneta.dam.kering.com/m/746000a6a9102222/Thumbnail-717622V2H419233_B.jpg?v=1, https://bottega-veneta.dam.kering.com/m/58bef6b77fabc0e2/Thumbnail-717622V2H419233_C.jpg?v=2, https://bottega-veneta.dam.kering.com/m/1b5ecc18f45b4a58/Thumbnail-717622V2H419233_D.jpg?v=1, https://bottega-veneta.dam.kering.com/m/4b7025f402abfa1e/Thumbnail-717622V2H419233_E.jpg?v=1, https://bottega-veneta.dam.kering.com/m/2e88194e238ccb31/Thumbnail-717622V2H419233_F.jpg?v=1, https://bottega-veneta.dam.kering.com/m/71759b714c063115/Thumbnail-717622V2H419233_A.jpg?v=2",/en-us/knot-bone-717622V2H419233.html,men_bags.html
796564V42C02741,796564V42C02741,teen lauren 1980,F_W_2024,796564V42C02741,,not customizable,image,bottega veneta,light wood,2741,,None,4000,None,lauren,men_bags,new-arrivals,lauren,bv_macro_women_bags,bv_micro_women_clutches,bv_super_micro_women_clutches,undefined,preorder,796564V42C02741,"https://bottega-veneta.dam.kering.com/m/2c8c22455dbeee56/Thumbnail-796564V42C02741_H.jpg?v=1, https://bottega-veneta.dam.kering.com/m/3e7bd8e0adddfbf2/Thumbnail-796564V42C02741_A.jpg?v=1, https://bottega-veneta.dam.kering.com/m/408bb1012acc81d0/Thumbnail-796564V42C02741_B.jpg?v=1, https://bottega-veneta.dam.kering.com/m/26333a153012ae8f/Thumbnail-796564V42C02741_C.jpg?v=1, https://bottega-veneta.dam.kering.com/m/4a1add13051ac71f/Thumbnail-796564V42C02741_D.jpg?v=1, https://bottega-veneta.dam.kering.com/m/2c8c22455dbeee56/Thumbnail-796564V42C02741_H.jpg?v=1, https://bottega-veneta.dam.kering.com/m/3e7bd8e0adddfbf2/Thumbnail-796564V42C02741_A.jpg?v=1",/en-us/teen-lauren-1980-light-wood-796564V42C02741.html,men_bags.html
776662V01D12190,776662V01D12190,knot with chain,F_W_2024/S_S_2024,776662V01D12190,,not customizable,image,bottega veneta,fondant,2190,,None,4100,None,women-bags-knot,men_bags,women,women-bags-knot,bv_macro_women_bags,bv_micro_women_clutches,bv_super_micro_women_clutches,undefined,instock,776662V01D12190,"https://bottega-veneta.dam.kering.com/m/16ee6321f1636021/Thumbnail-776662V01D12190_G.jpg?v=3, https://bottega-veneta.dam.kering.com/m/192bad338ceb5476/Thumbnail-776662V01D12190_A.jpg?v=3, https://bottega-veneta.dam.kering.com/m/88f0fd5e642a573/Thumbnail-776662V01D12190_B.jpg?v=3, https://bottega-veneta.dam.kering.com/m/45457057785fa1e9/Thumbnail-776662V01D12190_C.jpg?v=3, https://bottega-veneta.dam.kering.com/m/788b0aa1f351f7bd/Thumbnail-776662V01D12190_D.jpg?v=3, https://bottega-veneta.dam.kering.com/m/7a87010ebf75bd8c/Thumbnail-776662V01D12190_E.jpg?v=3, https://bottega-veneta.dam.kering.com/m/5b32bc67773f4de1/Thumbnail-776662V01D12190_F.jpg?v=3, https://bottega-veneta.dam.kering.com/m/16ee6321f1636021/Thumbnail-776662V01D12190_G.jpg?v=3, https://bottega-veneta.dam.kering.com/m/192bad338ceb5476/Thumbnail-776662V01D12190_A.jpg?v=3",/en-us/knot-with-chain-fondant-776662V01D12190.html,men_bags.html
766014VCPP19892,766014VCPP19892,small andiamo,F_W_2023/F_W_2024,766014VCPP19892,,not customizable,image,bottega veneta,dark praline,9892,,None,4500,None,women-tote-bags,men_bags,women,women-tote-bags,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,undefined,instock,766014VCPP19892,"https://bottega-veneta.dam.kering.com/m/162ac50e206b9d18/Thumbnail-766014VCPP19892_H.jpg?v=1, https://bottega-veneta.dam.kering.com/m/7718ee01cd19e2b8/Thumbnail-766014VCPP19892_A.jpg?v=2, https://bottega-veneta.dam.kering.com/m/1fa7ff6c7502955f/Thumbnail-766014VCPP19892_B.jpg?v=1, https://bottega-veneta.dam.kering.com/m/4ac52b18ad2460b6/Thumbnail-766014VCPP19892_C.jpg?v=1, https://bottega-veneta.dam.kering.com/m/7dc4f0615431a192/Thumbnail-766014VCPP19892_D.jpg?v=1, https://bottega-veneta.dam.kering.com/m/7d77c22fce50d10/Thumbnail-766014VCPP19892_E.jpg?v=1, https://bottega-veneta.dam.kering.com/m/7f7e9e1f4a6cda7a/Thumbnail-766014VCPP19892_F.jpg?v=1, https://bottega-veneta.dam.kering.com/m/2727d8ca4a439b55/Thumbnail-766014VCPP19892_G.jpg?v=1, https://bottega-veneta.dam.kering.com/m/162ac50e206b9d18/Thumbnail-766014VCPP19892_H.jpg?v=1, https://bottega-veneta.dam.kering.com/m/7718ee01cd19e2b8/Thumbnail-766014VCPP19892_A.jpg?v=2",/en-us/small-andiamo-dark-praline-766014VCPP19892.html,men_bags.html
794258VCPP18425,794258VCPP18425,intrecciato concert pouch,F_W_2024/S_S_2025,794258VCPP18425,,not customizable,image,bottega veneta,black,8425,,None,1600,None,women-mini-bags,men_bags,women,women-mini-bags,bv_macro_women_slg,bv_micro_women_pouches,bv_super_micro_women_pouches,undefined,instock,794258VCPP18425,"https://bottega-veneta.dam.kering.com/m/381ed25188634195/Thumbnail-794258VCPP18425_D.jpg?v=3, https://bottega-veneta.dam.kering.com/m/20ac398018c9a255/Thumbnail-794258VCPP18425_A.jpg?v=2, https://bottega-veneta.dam.kering.com/m/32a6dd8e8b5387d/Thumbnail-794258VCPP18425_B.jpg?v=2, https://bottega-veneta.dam.kering.com/m/154087c381d2da67/Thumbnail-794258VCPP18425_C.jpg?v=3, https://bottega-veneta.dam.kering.com/m/381ed25188634195/Thumbnail-794258VCPP18425_D.jpg?v=3, https://bottega-veneta.dam.kering.com/m/20ac398018c9a255/Thumbnail-794258VCPP18425_A.jpg?v=2",/en-us/intrecciato-concert-pouch-black-794258VCPP18425.html,men_bags.html
776662V01D13050,776662V01D13050,knot with chain,S_S_2024,776662V01D13050,,not customizable,image,bottega veneta,emerald green,3050,,None,4100,None,women-bags-knot,men_bags,women,women-bags-knot,bv_macro_women_bags,bv_micro_women_clutches,bv_super_micro_women_clutches,undefined,instock,776662V01D13050,"https://bottega-veneta.dam.kering.com/m/6eb1a64e90830fa/Thumbnail-776662V01D13050_F.jpg?v=2, https://bottega-veneta.dam.kering.com/m/6aa6f0c17bb32936/Thumbnail-776662V01D13050_A.jpg?v=3, https://bottega-veneta.dam.kering.com/m/70cb08ed9b6208b8/Thumbnail-776662V01D13050_B.jpg?v=3, https://bottega-veneta.dam.kering.com/m/2144354739c7596c/Thumbnail-776662V01D13050_C.jpg?v=2, https://bottega-veneta.dam.kering.com/m/3bd4b4fa7ffd4e90/Thumbnail-776662V01D13050_D.jpg?v=3, https://bottega-veneta.dam.kering.com/m/1543e06862e07ac5/Thumbnail-776662V01D13050_E.jpg?v=3, https://bottega-veneta.dam.kering.com/m/6eb1a64e90830fa/Thumbnail-776662V01D13050_F.jpg?v=2, https://bottega-veneta.dam.kering.com/m/6aa6f0c17bb32936/Thumbnail-776662V01D13050_A.jpg?v=3",/en-us/knot-with-chain-emerald-green-776662V01D13050.html,men_bags.html
591970VCQR18425,591970VCQR18425,padded cassette,F_W_2019/F_W_2021/F_W_2022/F_W_2023/F_W_2024/S_S_2021/S_S_2022/S_S_2023/S_S_2024,591970VCQR18425,,not customizable,image,bottega veneta,nero,8425,,None,4900,None,certificate-of-craft,men_bags,inside-bottega,certificate-of-craft,bv_macro_women_bags,bv_micro_women_crossbody_bags,bv_super_micro_women_crossbody_bags,undefined,instock,591970VCQR18425,"https://bottega-veneta.dam.kering.com/m/1f06704ebaecd7f5/Thumbnail-591970VCQR18425_E.jpg?v=3, https://bottega-veneta.dam.kering.com/m/7ba36a515d8fc79d/Thumbnail-591970VCQR18425_A.jpg?v=4, https://bottega-veneta.dam.kering.com/m/34c2d6e047e93af1/Thumbnail-591970VCQR18425_B.jpg?v=4, https://bottega-veneta.dam.kering.com/m/50e62790082eb4ce/Thumbnail-591970VCQR18425_C.jpg?v=3, https://bottega-veneta.dam.kering.com/m/4d89c1ff13f286c6/Thumbnail-591970VCQR18425_D.jpg?v=3, https://bottega-veneta.dam.kering.com/m/1f06704ebaecd7f5/Thumbnail-591970VCQR18425_E.jpg?v=3, https://bottega-veneta.dam.kering.com/m/7ba36a515d8fc79d/Thumbnail-591970VCQR18425_A.jpg?v=4",/en-us/padded-cassette-nero-591970VCQR18425.html,men_bags.html
