"Cod10","Title","Price","position","category","macro_category","micro_category","macro_category_id","micro_category_id","color","color_id","product_price","discountedPrice","price_tf","discountedPrice_tf","quantity","coupon","is_in_stock","list","url","img_src","filename"
"45863423GD","Small Woody hamper in fair-trade paper","850","0","2300/29810","Bags","Tote bag","2300","29810","WILD GREY","62195","850","850","850.0","850.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863423gd.html","https://www.chloe.com/product_image/45863423GD/f/w282.jpg","bags.html"
"45863424VG","Small Woody hamper in fair-trade paper","850","1","2300/29810","Bags","Tote bag","2300","29810","DARK NUT","62442","850","850","850.0","850.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863424vg.html","https://www.chloe.com/product_image/45863424VG/f/w282.jpg","bags.html"
"45863421LX","Large Woody basket in fair trade paper","950","2","2300/29810","Bags","Tote bag","2300","29810","WILD GREY","62195","950","950","950.0","950.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863421lx.html","https://www.chloe.com/product_image/45863421LX/f/w282.jpg","bags.html"
"45863422BT","Large Woody basket in fair-trade paper","950","3","2300/29810","Bags","Tote bag","2300","29810","DARK NUT","62442","950","950","950.0","950.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863422bt.html","https://www.chloe.com/product_image/45863422BT/f/w282.jpg","bags.html"
"45851855RK","Large Woody basket","990","4","2300/29810","Bags","Tote bag","2300","29810","ARGIL BROWN","26098","990","990","990.0","990.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851855rk.html","https://www.chloe.com/product_image/45851855RK/f/w282.jpg","bags.html"
"45851856HI","Large Woody basket","990","5","2300/29810","Bags","Tote bag","2300","29810","Light Gold","8605","990","990","990.0","990.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851856hi.html","https://www.chloe.com/product_image/45851856HI/f/w282.jpg","bags.html"
"45863425BB","Woody tote bag in linen","1450","6","2300/29810","Bags","Tote bag","2300","29810","WILD GREY","62195","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863425bb.html","https://www.chloe.com/product_image/45863425BB/f/w282.jpg","bags.html"
"45863426TL","Woody tote bag in linen","1450","7","2300/29810","Bags","Tote bag","2300","29810","DARK NUT","62442","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45863426tl.html","https://www.chloe.com/product_image/45863426TL/f/w282.jpg","bags.html"
"45686267GG","Medium Woody tote bag","1290","8","2300/29810","Bags","Tote bag","2300","29810","WHITE - BROWN 1","20561","1290","1290","1290.0","1290.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45686267gg.html","https://www.chloe.com/product_image/45686267GG/f/w282.jpg","bags.html"
"45660586MX","Medium Woody tote bag","1290","9","2300/29810","Bags","Tote bag","2300","29810","White - Beige 1","14781","1290","1290","1290.0","1290.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45660586mx.html","https://www.chloe.com/product_image/45660586MX/f/w282.jpg","bags.html"
"45863412OK","Small Marcie double carry bag in grained leather","2390","10","2300/32341","Bags","Hand bag","2300","32341","Cement Pink","23868","2390","2390","2390.0","2390.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45863412ok.html","https://www.chloe.com/product_image/45863412OK/f/w282.jpg","bags.html"
"45863416HV","Small Marcie saddle bag in grained leather","1450","11","2300/32341","Bags","Hand bag","2300","32341","Cement Pink","23868","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/hand-bag_cod45863416hv.html","https://www.chloe.com/product_image/45863416HV/f/w282.jpg","bags.html"
"45863477BF","Small Marcie saddle bag in shiny leather","1450","12","2300/29809","Bags","Shoulder bag","2300","29809","DEEP BEIGE","20587","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863477bf.html","https://www.chloe.com/product_image/45863477BF/f/w282.jpg","bags.html"
"45863479LQ","Small Marcie saddle bag in linen & smooth leather","1450","13","2300/29809","Bags","Shoulder bag","2300","29809","Sepia Brown","15278","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863479lq.html","https://www.chloe.com/product_image/45863479LQ/f/w282.jpg","bags.html"
"45863478QM","Small Marcie saddle bag in linen & smooth leather","1450","14","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","1450","1450","1450.0","1450.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863478qm.html","https://www.chloe.com/product_image/45863478QM/f/w282.jpg","bags.html"
"45863466OK","Small Marcie hobo bag in grained leather","2090","15","2300/29809","Bags","Shoulder bag","2300","29809","MISTY IVORY","42643","2090","2090","2090.0","2090.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863466ok.html","https://www.chloe.com/product_image/45863466OK/f/w282.jpg","bags.html"
"45863467KH","Small Marcie hobo bag in grained leather","2090","16","2300/29809","Bags","Shoulder bag","2300","29809","Tan","23804","2090","2090","2090.0","2090.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45863467kh.html","https://www.chloe.com/product_image/45863467KH/f/w282.jpg","bags.html"
"45823288TB","Met Gala clutch","5290","17","2300/29811","Bags","Clutches and Evening bags","2300","29811","Black","23387","5290","3704","5290.0","3704.0","1","","True","searchresult","https://www.chloe.com/us/clutches-and-evening-bags_cod45823288tb.html","https://www.chloe.com/product_image/45823288TB/f/w282.jpg","bags.html"
"45823307GQ","Penelope large soft shoulder bag","4250","18","2300/29809","Bags","Shoulder bag","2300","29809","Multicolor 1","1245","4250","4250","4250.0","4250.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823307gq.html","https://www.chloe.com/product_image/45823307GQ/f/w282.jpg","bags.html"
"45800320RR","Steph medium double carry bag","3650","19","2300/29810","Bags","Tote bag","2300","29810","White","23388","3650","3650","3650.0","3650.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45800320rr.html","https://www.chloe.com/product_image/45800320RR/f/w282.jpg","bags.html"
"45800319FM","Steph medium double carry bag","3650","20","2300/29810","Bags","Tote bag","2300","29810","Black","23387","3650","3650","3650.0","3650.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45800319fm.html","https://www.chloe.com/product_image/45800319FM/f/w282.jpg","bags.html"
"45851854IH","Carmela tote bag","3690","21","2300/29810","Bags","Tote bag","2300","29810","White","23388","3690","2584","3690.0","2584.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851854ih.html","https://www.chloe.com/product_image/45851854IH/f/w282.jpg","bags.html"
"45851853MV","Carmela tote bag","3690","22","2300/29810","Bags","Tote bag","2300","29810","Black","23387","3690","2584","3690.0","2584.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45851853mv.html","https://www.chloe.com/product_image/45851853MV/f/w282.jpg","bags.html"
"45823309QE","Penelope small top handle bag","3650","23","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","3650","2190","3650.0","2190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823309qe.html","https://www.chloe.com/product_image/45823309QE/f/w282.jpg","bags.html"
"45736388VN","Penelope large soft shoulder bag","3650","24","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","3650","3650","3650.0","3650.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45736388vn.html","https://www.chloe.com/product_image/45736388VN/f/w282.jpg","bags.html"
"45823322XB","Marcie large double carry bag","3550","25","2300/29809","Bags","Shoulder bag","2300","29809","MIDNIGHT BLUE","62456","3550","3550","3550.0","3550.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823322xb.html","https://www.chloe.com/product_image/45823322XB/f/w282.jpg","bags.html"
"45823321XI","Marcie large double carry bag","3550","26","2300/29809","Bags","Shoulder bag","2300","29809","Palm Brown","2190","3550","3550","3550.0","3550.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823321xi.html","https://www.chloe.com/product_image/45823321XI/f/w282.jpg","bags.html"
"45823320CE","Marcie large double carry bag","3550","27","2300/29809","Bags","Shoulder bag","2300","29809","FLORAL GREY","62445","3550","3550","3550.0","3550.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823320ce.html","https://www.chloe.com/product_image/45823320CE/f/w282.jpg","bags.html"
"45823319TM","Marcie large double carry bag","3550","28","2300/29809","Bags","Shoulder bag","2300","29809","Black","23387","3550","3550","3550.0","3550.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45823319tm.html","https://www.chloe.com/product_image/45823319TM/f/w282.jpg","bags.html"
"45823305RI","Medium Mony tote bag","3190","29","2300/29810","Bags","Tote bag","2300","29810","MIDNIGHT BLUE","62456","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/tote-bag_cod45823305ri.html","https://www.chloe.com/product_image/45823305RI/f/w282.jpg","bags.html"
"45822646TC","Penelope medium soft shoulder bag","3190","30","2300/29809","Bags","Shoulder bag","2300","29809","Nomad Beige","12810","3190","3190","3190.0","3190.0","1","","True","searchresult","https://www.chloe.com/us/shoulder-bag_cod45822646tc.html","https://www.chloe.com/product_image/45822646TC/f/w282.jpg","bags.html"
