id,productName,shortDescription,productUrl,price,price_min,price_max,imageUrls,productCharacteristics,variationAttributes
J10911A0008753279999,Benamou Short Down Jacket,"Channeling the collection’s modern and sporty aesthetic, the Benamou down jacket references the world of motor sports. Crafted from matte longue saison, the short puffer features graphic quilting and a distinctive collar that nods to bold biker styles. Warm, yet lightweight, the jacket is exemplary of Moncler's outdoor expertise.",https://www.moncler.com/en-us/men/outerwear/short-down-jackets/benamou-short-down-jacket-black-J10911A0008753279999.html,"$1,460.00",,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0008753279999_X/dpx6uv/std/0x0/J10911A0008753279999_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0008753279999_F/dpx6uv/std/0x0/J10911A0008753279999_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0008753279999_R/dpx6uv/std/0x0/J10911A0008753279999_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0008753279999_E/dpx6uv/std/0x0/J10911A0008753279999_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0008753279999_D/dpx6uv/std/0x0/J10911A0008753279999_D.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0008753279999_A/dpx6uv/std/0x0/J10911A0008753279999_A.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0008753279999_B/dpx6uv/std/0x0/J10911A0008753279999_B.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0008753279999_G/dpx6uv/std/0x0/J10911A0008753279999_G.jpg']",<ul><li>Crafted from longue saison</li><li>Longue saison lining</li><li>Contrasting yoke</li><li>Down-filled</li><li>Two-way zipper closure</li><li>Pockets and cuffs with snap button closure</li><li>Elastic cuffs and hem</li><li>Logo patch</li></ul>,"{'Color': 'Black (ID: 999)', 'Size': '0 (ID: 0), 1 (ID: 1), 2 (ID: 2), 3 (ID: 3), 4 (ID: 4), 5 (ID: 5), 6 (ID: 6), 7 (ID: 7), 8 (ID: 8)'}"
J10911A0011854A9174S,Ruinette Jacket,"Profoundly practical, the Ruinette jacket is crafted from micro soft, an ultra-lightweight nylon fabric notable for excellent water-repellent properties. A tricolor zipper embellishes the sleeve and, when unzipped, reveals a subtle logo accent.",https://www.moncler.com/en-us/men/outerwear/windbreakers-and-raincoats/ruinette-jacket-navy-blue-J10911A0011854A9174S.html,"$1,025.00",,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0011854A9174S_X/dpx6uv/std/0x0/J10911A0011854A9174S_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0011854A9174S_F/dpx6uv/std/0x0/J10911A0011854A9174S_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0011854A9174S_R/dpx6uv/std/0x0/J10911A0011854A9174S_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0011854A9174S_E/dpx6uv/std/0x0/J10911A0011854A9174S_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0011854A9174S_D/dpx6uv/std/0x0/J10911A0011854A9174S_D.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0011854A9174S_A/dpx6uv/std/0x0/J10911A0011854A9174S_A.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0011854A9174S_B/dpx6uv/std/0x0/J10911A0011854A9174S_B.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0011854A9174S_G/dpx6uv/std/0x0/J10911A0011854A9174S_G.jpg']",<ul><li>Crafted from micro soft polyester</li><li>Zipper closure</li><li>Zipped pockets</li><li>Zipped sleeve accent</li><li>Hem with elastic drawstring fastening</li><li>Logo patch lettering</li></ul>,"{'Color': 'Navy Blue (ID: 74S), White (ID: 034)', 'Size': '0 (ID: 0), 1 (ID: 1), 2 (ID: 2), 3 (ID: 3), 4 (ID: 4), 5 (ID: 5), 6 (ID: 6), 7 (ID: 7)'}"
J10931B00003597I9224,Ilo Field Jacket,"Lightweight and functional, the Ilo field jacket is crafted from taffeta. Designed with supreme wearability in mind, drawstring fastening on the waist adapts the jacket's silhouette to fit your body and mood. Featured in a palette of elevated neutrals, the jacket layers well over a range of workday and weekend ensembles.",https://www.moncler.com/en-us/women/outerwear/windbreakers-and-raincoats/ilo-field-jacket-beige-J10931B00003597I9224.html,"$1,690.00",,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_X/dpx6uv/std/0x0/J10931B00003597I9224_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_F/dpx6uv/std/0x0/J10931B00003597I9224_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_R/dpx6uv/std/0x0/J10931B00003597I9224_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_E/dpx6uv/std/0x0/J10931B00003597I9224_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_D/dpx6uv/std/0x0/J10931B00003597I9224_D.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_A/dpx6uv/std/0x0/J10931B00003597I9224_A.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_B/dpx6uv/std/0x0/J10931B00003597I9224_B.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_G/dpx6uv/std/0x0/J10931B00003597I9224_G.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_H/dpx6uv/std/0x0/J10931B00003597I9224_H.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10931B00003597I9224_I/dpx6uv/std/0x0/J10931B00003597I9224_I.jpg']",<ul><li>Crafted from twill taffeta</li><li>Twill collar interior</li><li>Pull-out hood</li><li>Zipper closure with storm flap</li><li>Pockets with snap button closure</li><li>Waistband with inner drawstring fastening</li><li>Knit cuffs</li></ul>,"{'Color': 'Beige (ID: 224), Sage Green (ID: 889)', 'Size': '00 (ID: 00), 0 (ID: 0), 1 (ID: 1), 2 (ID: 2), 3 (ID: 3), 4 (ID: 4), 5 (ID: 5)'}"
J10911A00158549SK779,Meidassa Jacket,"Elegant lines are paired with technical fabrics in the Meidassa jacket, crafted from Airsoft - a lightweight nylon fabric notable for its durability and water-repellency. Jersey lining enhances comfort, while leather details provide the finishing touch.",https://www.moncler.com/en-us/men/outerwear/windbreakers-and-raincoats/meidassa-jacket-navy-blue-J10911A00158549SK779.html,"$1,260.00",,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00158549SK779_X/dpx6uv/std/0x0/J10911A00158549SK779_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00158549SK779_F/dpx6uv/std/0x0/J10911A00158549SK779_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00158549SK779_R/dpx6uv/std/0x0/J10911A00158549SK779_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00158549SK779_E/dpx6uv/std/0x0/J10911A00158549SK779_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00158549SK779_D/dpx6uv/std/0x0/J10911A00158549SK779_D.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00158549SK779_A/dpx6uv/std/0x0/J10911A00158549SK779_A.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00158549SK779_B/dpx6uv/std/0x0/J10911A00158549SK779_B.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A00158549SK779_G/dpx6uv/std/0x0/J10911A00158549SK779_G.jpg']",<ul><li>Crafted from Airsoft</li><li>Jersey lining</li><li>Two-way zipper closure</li><li>Zipped inner and outer pockets</li><li>Elastic cuffs and hem</li><li>Inner label with fabric description</li><li>Leather logo patch</li></ul>,"{'Color': 'Navy Blue (ID: 779), Red Brown (ID: 263), Black (ID: 999), White (ID: 216)', 'Size': '0 (ID: 0), 1 (ID: 1), 2 (ID: 2), 3 (ID: 3), 4 (ID: 4), 5 (ID: 5), 6 (ID: 6), 7 (ID: 7)'}"
I20911A5360068950875,Moncler Maya Short Down Jacket,"Emblematic of Moncler's DNA, the Moncler Maya down jacket for men is crafted from glossy nylon laqué with iconic boudin quilting. A timeless design that transcends seasons and trends, the short puffer jacket features a strong silhouette, a detachable hood and adjustable hemline. A brand signature, a classic patch pocket, adorns the Moncler Maya's sleeve.",https://www.moncler.com/en-us/men/outerwear/short-down-jackets/moncler-maya-short-down-jacket-emerald-green-I20911A5360068950875.html,"$1,895.00",,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/I20911A5360068950875_X/dpx6uv/std/0x0/I20911A5360068950875_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20911A5360068950875_F/dpx6uv/std/0x0/I20911A5360068950875_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20911A5360068950875_R/dpx6uv/std/0x0/I20911A5360068950875_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20911A5360068950875_E/dpx6uv/std/0x0/I20911A5360068950875_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20911A5360068950875_D/dpx6uv/std/0x0/I20911A5360068950875_D.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20911A5360068950875_A/dpx6uv/std/0x0/I20911A5360068950875_A.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20911A5360068950875_B/dpx6uv/std/0x0/I20911A5360068950875_B.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20911A5360068950875_G/dpx6uv/std/0x0/I20911A5360068950875_G.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20911A5360068950875_H/dpx6uv/std/0x0/I20911A5360068950875_H.jpg']","<ul><li>Crafted from nylon laqué</li><li>Nylon laqué lining</li><li>Down-filled with boudin quilting</li><li>Detachable hood with snap buttons, adjustable with drawstring fastening</li><li>Two-way zipper closure</li><li>Zipped external and internal pockets</li><li>Adjustable, elasticized cuffs with snap buttons</li><li>Hem with drawstring fastening</li><li>Flap patch pocket on sleeve</li><li>Felt Moncler logo on sleeve</li></ul>","{'Color': 'Emerald Green (ID: 875), Night Blue (ID: 742), Dark Grey (ID: 930), Black (ID: 999)', 'Size': '0 (ID: 0), 1 (ID: 1), 2 (ID: 2), 3 (ID: 3), 4 (ID: 4), 5 (ID: 5), 6 (ID: 6), 7 (ID: 7), 8 (ID: 8)'}"
J20911A0020453333999,Madeira Short Down Jacket,"Designed for modern men who place equal value on function and aesthetics, the Madeira down jacket goes from the streets to the slopes. The short puffer is crafted from longue saison, a compact nylon fabric notable for its water-repellent properties. A padded hood and storm flap enhance the protective properties.",https://www.moncler.com/en-us/men/outerwear/short-down-jackets/madeira-short-down-jacket-black-J20911A0020453333999.html,"$2,280.00",,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/J20911A0020453333999_X/dpx6uv/std/0x0/J20911A0020453333999_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J20911A0020453333999_F/dpx6uv/std/0x0/J20911A0020453333999_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J20911A0020453333999_R/dpx6uv/std/0x0/J20911A0020453333999_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J20911A0020453333999_E/dpx6uv/std/0x0/J20911A0020453333999_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J20911A0020453333999_D/dpx6uv/std/0x0/J20911A0020453333999_D.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J20911A0020453333999_A/dpx6uv/std/0x0/J20911A0020453333999_A.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J20911A0020453333999_B/dpx6uv/std/0x0/J20911A0020453333999_B.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J20911A0020453333999_G/dpx6uv/std/0x0/J20911A0020453333999_G.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J20911A0020453333999_H/dpx6uv/std/0x0/J20911A0020453333999_H.jpg']",<ul><li>Crafted from longue saison</li><li>Nylon laqué lining</li><li>Down-filled</li><li>Hood</li><li>Embossed logo lettering</li><li>Snap button and zipper closure</li><li>Pockets with zipper and snap button closure</li><li>Hem with elastic drawstring fastening</li><li>Logo patch</li></ul>,"{'Color': 'Black (ID: 999)', 'Size': '0 (ID: 0), 1 (ID: 1), 2 (ID: 2), 3 (ID: 3), 4 (ID: 4), 5 (ID: 5), 6 (ID: 6), 7 (ID: 7)'}"
J10913B00054V0090999,Gabardine Baseball Cap,"Exemplary of Moncler's sporty, yet classic aesthetic, this gabardine baseball cap is embellished with a felt logo patch. An adjustable back tab ensures the perfect fit of this piece.",https://www.moncler.com/en-us/men/accessories/hats-and-beanies/gabardine-baseball-cap-black-J10913B00054V0090999.html,$235.00,,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/J10913B00054V0090999_X/dpx6uv/std/0x0/J10913B00054V0090999_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10913B00054V0090999_F/dpx6uv/std/0x0/J10913B00054V0090999_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10913B00054V0090999_R/dpx6uv/std/0x0/J10913B00054V0090999_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10913B00054V0090999_E/dpx6uv/std/0x0/J10913B00054V0090999_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10913B00054V0090999_D/dpx6uv/std/0x0/J10913B00054V0090999_D.jpg']",<ul><li>Crafted from gabardine</li><li>Adjustable back tab</li><li>Felt logo patch</li></ul>,"{'Color': 'Black (ID: 999), Optical White (ID: 001), Blue (ID: 742)', 'Size': 'One size (ID: UNI)'}"
J10911A0001354A81778,Colomb Short Down Jacket,"A contemporary take on a classic design, the Colomb down jacket is essential in a sophisticated man's wardrobe. Featured in a slightly boxy fit, the short puffer is embellished with a discrete tricolor accent. The sleek jacket layers perfectly over workwear and leisurely staples.",https://www.moncler.com/en-us/men/outerwear/short-down-jackets/colomb-short-down-jacket-night-blue-J10911A0001354A81778.html,"$1,595.00",,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0001354A81778_X/dpx6uv/std/0x0/J10911A0001354A81778_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0001354A81778_F/dpx6uv/std/0x0/J10911A0001354A81778_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0001354A81778_R/dpx6uv/std/0x0/J10911A0001354A81778_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0001354A81778_E/dpx6uv/std/0x0/J10911A0001354A81778_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0001354A81778_D/dpx6uv/std/0x0/J10911A0001354A81778_D.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0001354A81778_A/dpx6uv/std/0x0/J10911A0001354A81778_A.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J10911A0001354A81778_B/dpx6uv/std/0x0/J10911A0001354A81778_B.jpg']",<ul><li>Crafted from polyester</li><li>Polyester lining</li><li>Canvas shoulder inserts</li><li>Down-filled</li><li>Zipper and snap button closure</li><li>Zipped pockets</li><li>Adjustable cuffs</li><li>Hem with elastic drawstring fastening</li></ul>,"{'Color': 'Night Blue (ID: 778), Red (ID: 435)', 'Size': '0 (ID: 0), 1 (ID: 1), 2 (ID: 2), 3 (ID: 3), 4 (ID: 4), 5 (ID: 5), 6 (ID: 6), 7 (ID: 7)'}"
I20919B00017M1131742,Padded Wool Cardigan,"Doubling as outerwear when the weather permits, this wool cardigan is warmed up with a down-filled front. The mid-weight knit is embellished with stripes on the sleeves.",https://www.moncler.com/en-us/men/ready-to-wear/sweaters-and-cardigans/padded-wool-cardigan-night-blue-I20919B00017M1131742.html,"$1,355.00",,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/I20919B00017M1131742_X/dpx6uv/std/0x0/I20919B00017M1131742_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20919B00017M1131742_F/dpx6uv/std/0x0/I20919B00017M1131742_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20919B00017M1131742_R/dpx6uv/std/0x0/I20919B00017M1131742_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20919B00017M1131742_E/dpx6uv/std/0x0/I20919B00017M1131742_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20919B00017M1131742_D/dpx6uv/std/0x0/I20919B00017M1131742_D.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20919B00017M1131742_A/dpx6uv/std/0x0/I20919B00017M1131742_A.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/I20919B00017M1131742_B/dpx6uv/std/0x0/I20919B00017M1131742_B.jpg']",<ul><li>Crafted from ultra-fine wool</li><li>Recycled polyester lining</li><li>Down-filled recycled polyester front</li><li>Rib knit</li><li>Gauge 5</li><li>Hood</li><li>Zipper closure</li><li>Zipped pockets</li></ul>,"{'Color': 'Night Blue (ID: 742)', 'Size': 'S (ID: S), M (ID: M), L (ID: L), XL (ID: XL), XXL (ID: XXL), 3XL (ID: 3XL), 4XL (ID: 4XL)'}"
J109A4C00030M2999999,Basile Slides,"A classic Moncler design, the Basile slides feature the recognizable logo-adorned toe strap. Easy and practical the slides are a must-pack for summer vacations.",https://www.moncler.com/en-us/men/shoes/sandals-and-sliders/basile-slides-black-J109A4C00030M2999999.html,$310.00,,,"['https://moncler-cdn.thron.com/delivery/public/image/moncler/J109A4C00030M2999999_X/dpx6uv/std/0x0/J109A4C00030M2999999_X.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J109A4C00030M2999999_F/dpx6uv/std/0x0/J109A4C00030M2999999_F.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J109A4C00030M2999999_R/dpx6uv/std/0x0/J109A4C00030M2999999_R.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J109A4C00030M2999999_E/dpx6uv/std/0x0/J109A4C00030M2999999_E.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J109A4C00030M2999999_D/dpx6uv/std/0x0/J109A4C00030M2999999_D.jpg', 'https://moncler-cdn.thron.com/delivery/public/image/moncler/J109A4C00030M2999999_B/dpx6uv/std/0x0/J109A4C00030M2999999_B.jpg']",<ul><li>Rubber upper</li><li>EVA sole</li><li>Made in Italy</li><li>Sole height 2 cm</li></ul>,"{'Color': 'Black (ID: 999), Night Blue (ID: 778)', 'Size': '38 (ID: 38), 39 (ID: 39), 40 (ID: 40), 41 (ID: 41), 42 (ID: 42), 43 (ID: 43), 44 (ID: 44), 45 (ID: 45), 46 (ID: 46)'}"
