"category","aggregatedStock","baseOptions","categories","code","color","colorGA","colorVariantNumber","currentHero","freeTextLabel","galleryAltText","hasVirtualTryOn","isBlocked","isDiscount","name","nameGA","price_currencyIso","price_formattedValue","price_value","primaryImageAlt","primaryImageUrl","salableStores","secondaryImageAlt","secondaryImageUrl","stockLabel","url","volumePricesFlag"
"107-Tods","11","[]","[]","XXW79A0EX40NF5B008","OFF WHITE","OFF WHITE","2","False","","[]","False","False","False","Mules in Leather","Mules in Leather","USD","$775","775.0","Side view","//www.tods.com/fashion/tods/XXW79A0EX40NF5B008/XXW79A0EX40NF5B008-02.jpg","True","Three-quarter view","//www.tods.com/fashion/tods/XXW79A0EX40NF5B008/XXW79A0EX40NF5B008-03.jpg","","/Mules-in-Leather/p/XXW79A0EX40NF5B008/","False"
"107-Tods","35","[]","[]","XXW79A0EX40NF5B999","BLACK","BLACK","2","False","","[]","False","False","False","Mules in Leather","Mules in Leather","USD","$775","775.0","Side view","//www.tods.com/fashion/tods/XXW79A0EX40NF5B999/XXW79A0EX40NF5B999-02.jpg","True","Three-quarter view","//www.tods.com/fashion/tods/XXW79A0EX40NF5B999/XXW79A0EX40NF5B999-03.jpg","","/Mules-in-Leather/p/XXW79A0EX40NF5B999/","False"
"108-Tods","43","[]","[]","XXW11K0FH50NHVS010","BROWN","BROWN","2","False","","[]","False","False","False","Sandals in Leather","Sandals in Leather","USD","$975","975.0","On body","//www.tods.com/fashion/tods/XXW11K0FH50NHVS010/XXW11K0FH50NHVS010-20.jpg","True","Side view","//www.tods.com/fashion/tods/XXW11K0FH50NHVS010/XXW11K0FH50NHVS010-02.jpg","","/Sandals-in-Leather/p/XXW11K0FH50NHVS010/","False"
"108-Tods","67","[]","[]","XXW11K0FH50GOCB999","BLACK","BLACK","2","False","","[]","False","False","False","Sandals in Leather","Sandals in Leather","USD","$975","975.0","Side view","//www.tods.com/fashion/tods/XXW11K0FH50GOCB999/XXW11K0FH50GOCB999-02.jpg","True","On body","//www.tods.com/fashion/tods/XXW11K0FH50GOCB999/XXW11K0FH50GOCB999-20.jpg","","/Sandals-in-Leather/p/XXW11K0FH50GOCB999/","False"
"108-Tods","64","[]","[]","XXW11K0FO70RDQS410","BROWN","BROWN","1","False","","[]","False","False","False","Sandals in Raffia","Sandals in Raffia","USD","$1,045","1045.0","Side view","//www.tods.com/fashion/tods/XXW11K0FO70RDQS410/XXW11K0FO70RDQS410-02.jpg","True","On body","//www.tods.com/fashion/tods/XXW11K0FO70RDQS410/XXW11K0FO70RDQS410-20.jpg","","/Sandals-in-Raffia/p/XXW11K0FO70RDQS410/","False"
"108-Tods","8","[]","[]","XXW75K0HD60GOCB999","BLACK","BLACK","3","False","Final sales","[]","False","False","True","T Timeless Sandals in Leather","Sandalo T Timeless in Pelle","USD","$597","597.0","Video","//www.tods.com/fashion/tods/XXW75K0HD60GOCB999/XXW75K0HD60GOCB999-02.jpg","True","On body","//www.tods.com/fashion/tods/XXW75K0HD60GOCB999/XXW75K0HD60GOCB999-20.jpg","","/T-Timeless-Sandals-in-Leather/p/XXW75K0HD60GOCB999/","False"
"108-Tods","26","[]","[]","XXW75K0HD60RE0C822","BROWN","BROWN","3","False","Final sales","[]","False","False","True","T Timeless Sandals in Suede","T Timeless Sandals in Suede","USD","$597","597.0","Side view","//www.tods.com/fashion/tods/XXW75K0HD60RE0C822/XXW75K0HD60RE0C822-02.jpg","True","Three-quarter view","//www.tods.com/fashion/tods/XXW75K0HD60RE0C822/XXW75K0HD60RE0C822-03.jpg","","/T-Timeless-Sandals-in-Suede/p/XXW75K0HD60RE0C822/","False"
"108-Tods","27","[]","[]","XXW75K0HD60RE0S812","BROWN","BROWN","3","False","Final sales","[]","False","False","True","T Timeless Sandals in Suede","T Timeless Sandals in Suede","USD","$597","597.0","Video","//www.tods.com/fashion/tods/XXW75K0HD60RE0S812/XXW75K0HD60RE0S812-02.jpg","True","On body","//www.tods.com/fashion/tods/XXW75K0HD60RE0S812/XXW75K0HD60RE0S812-20.jpg","","/T-Timeless-Sandals-in-Suede/p/XXW75K0HD60RE0S812/","False"
"108-Tods","521","[]","[]","XXW70K0GU70RE0S812","BROWN","BROWN","5","False","New Collection","[]","False","False","False","Sandals in Suede","Sandals in Suede","USD","$725","725.0","Side view","//www.tods.com/fashion/tods/XXW70K0GU70RE0S812/XXW70K0GU70RE0S812-02.jpg","True","On body","//www.tods.com/fashion/tods/XXW70K0GU70RE0S812/XXW70K0GU70RE0S812-20.jpg","","/Sandals-in-Suede/p/XXW70K0GU70RE0S812/","False"
"108-Tods","42","[]","[]","XXW70K0GU70MIDB015","WHITE","WHITE","5","False","New Collection","[]","False","False","False","Sandals in Leather","Sandals in Leather","USD","$725","725.0","Side view","//www.tods.com/fashion/tods/XXW70K0GU70MIDB015/XXW70K0GU70MIDB015-02.jpg","True","On body","//www.tods.com/fashion/tods/XXW70K0GU70MIDB015/XXW70K0GU70MIDB015-20.jpg","","/Sandals-in-Leather/p/XXW70K0GU70MIDB015/","False"
