"category","id","isSku","isSmc","name","microColor","microColorHexa","color","size","styleMaterialColor","brightcoveId","images","bornSeasonDesc","macroCategory","superMicroCategory_en_US","url","smcUrl","alternativeAsset","price_hasSalePrice","price_currencyCode","price_percentageOff","price_listPrice","price_salePrice","price_finalPrice"
"w-ready-to-wear","794709QJAAC1000","False","True","Mini Jacket Dress","Black","000000","1000","","794709QJAAC1000","","https://amq-mcq.dam.kering.com/m/40026ee5bb8599f4/Large-794709QJAAC1000_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/37b9b4cbd188d1ec/Large-794709QJAAC1000_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/3b9699186aa7065e/Large-794709QJAAC1000_D.jpg?v=2 | https://amq-mcq.dam.kering.com/m/28d93271924d7cdd/Large-794709QJAAC1000_E.jpg?v=2","F_W_2024","amq_macro_women_ready_to_wear","Dresses","https://www.alexandermcqueen.com/en-us/pr/mini-jacket-dress-794709QJAAC1000.html","https://www.alexandermcqueen.com/en-us/pr/mini-jacket-dress-794709QJAAC1000.html","https://amq-mcq.dam.kering.com/m/28d93271924d7cdd/Large-794709QJAAC1000_E.jpg?v=2","True","USD","0","","$ 2,760","$ 2,760"
"w-ready-to-wear","798479QJAAC1000","False","True","Long Jacket Dress","Black","000000","1000","","798479QJAAC1000","","https://amq-mcq.dam.kering.com/m/1d0c2593c5131106/Large-798479QJAAC1000_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/7aa5530ea27c698a/Large-798479QJAAC1000_R.jpg?v=1 | https://amq-mcq.dam.kering.com/m/6b13bd54553a440d/Large-798479QJAAC1000_D.jpg?v=1 | https://amq-mcq.dam.kering.com/m/794164340dc353d4/Large-798479QJAAC1000_E.jpg?v=1","F_W_2024","amq_macro_women_ready_to_wear","Dresses","https://www.alexandermcqueen.com/en-us/pr/long-jacket-dress-798479QJAAC1000.html","https://www.alexandermcqueen.com/en-us/pr/long-jacket-dress-798479QJAAC1000.html","https://amq-mcq.dam.kering.com/m/794164340dc353d4/Large-798479QJAAC1000_E.jpg?v=1","True","USD","0","","$ 3,200","$ 3,200"
"w-ready-to-wear","798293QJAEI1124","False","True","Pinstripe Asymmetric Pencil Dress","Grey","ADAFB0","1124","","798293QJAEI1124","","https://amq-mcq.dam.kering.com/m/c6ae199bd35425f/Large-798293QJAEI1124_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/7616cdfd44b9074/Large-798293QJAEI1124_R.jpg?v=1 | https://amq-mcq.dam.kering.com/m/47052535082535b4/Large-798293QJAEI1124_D.jpg?v=1 | https://amq-mcq.dam.kering.com/m/1ad395a951045b98/Large-798293QJAEI1124_E.jpg?v=1 | https://amq-mcq.dam.kering.com/m/5132da2ee3425f4a/Large-798293QJAEI1124_L.jpg?v=1","F_W_2024","amq_macro_women_ready_to_wear","Dresses","https://www.alexandermcqueen.com/en-us/pr/pinstripe-asymmetric-pencil-dress-798293QJAEI1124.html","https://www.alexandermcqueen.com/en-us/pr/pinstripe-asymmetric-pencil-dress-798293QJAEI1124.html","https://amq-mcq.dam.kering.com/m/5132da2ee3425f4a/Large-798293QJAEI1124_L.jpg?v=1","True","USD","0","","$ 2,890","$ 2,890"
"w-ready-to-wear","798227QJAEI1124","False","True","Pinstripe Midi Dress","Grey","ADAFB0","1124","","798227QJAEI1124","","https://amq-mcq.dam.kering.com/m/19a41567bfa67cbf/Large-798227QJAEI1124_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/7cf8f66d62b52ecf/Large-798227QJAEI1124_R.jpg?v=1 | https://amq-mcq.dam.kering.com/m/3fbfb3f5069d207b/Large-798227QJAEI1124_D.jpg?v=1 | https://amq-mcq.dam.kering.com/m/d243ab3d9b2b752/Large-798227QJAEI1124_E.jpg?v=1 | https://amq-mcq.dam.kering.com/m/29f91104ad97e662/Large-798227QJAEI1124_L.jpg?v=1","F_W_2024","amq_macro_women_ready_to_wear","Dresses","https://www.alexandermcqueen.com/en-us/pr/pinstripe-midi-dress-798227QJAEI1124.html","https://www.alexandermcqueen.com/en-us/pr/pinstripe-midi-dress-798227QJAEI1124.html","https://amq-mcq.dam.kering.com/m/29f91104ad97e662/Large-798227QJAEI1124_L.jpg?v=1","True","USD","0","","$ 2,490","$ 2,490"
"w-ready-to-wear","798498QJAEI1124","False","True","Pinstripe Cutaway Jacket","Grey","ADAFB0","1124","","798498QJAEI1124","","https://amq-mcq.dam.kering.com/m/512f975a9ea48491/Large-798498QJAEI1124_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/7c8e44a5eb69c51d/Large-798498QJAEI1124_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/5ad0afc811944ab0/Large-798498QJAEI1124_D.jpg?v=2 | https://amq-mcq.dam.kering.com/m/6c90d8d8860846a8/Large-798498QJAEI1124_E.jpg?v=2 | https://amq-mcq.dam.kering.com/m/1ff8e93d09caa8a/Large-798498QJAEI1124_L.jpg?v=2","F_W_2024","amq_macro_women_ready_to_wear","Jackets","https://www.alexandermcqueen.com/en-us/pr/pinstripe-cutaway-jacket-798498QJAEI1124.html","https://www.alexandermcqueen.com/en-us/pr/pinstripe-cutaway-jacket-798498QJAEI1124.html","https://amq-mcq.dam.kering.com/m/1ff8e93d09caa8a/Large-798498QJAEI1124_L.jpg?v=2","True","USD","0","","$ 2,790","$ 2,790"
"w-ready-to-wear","798300QJAEI1124","False","True","Pinstripe Pencil Skirt","Grey","ADAFB0","1124","","798300QJAEI1124","","https://amq-mcq.dam.kering.com/m/335738095ec8b019/Large-798300QJAEI1124_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/36a3594deeecc2ec/Large-798300QJAEI1124_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/605cf46a127d8a78/Large-798300QJAEI1124_D.jpg?v=1 | https://amq-mcq.dam.kering.com/m/6a3b6d9e2ebd3170/Large-798300QJAEI1124_E.jpg?v=2 | https://amq-mcq.dam.kering.com/m/18266c33a08d67b9/Large-798300QJAEI1124_L.jpg?v=2","F_W_2024","amq_macro_women_ready_to_wear","Skirts","https://www.alexandermcqueen.com/en-us/pr/pinstripe-pencil-skirt-798300QJAEI1124.html","https://www.alexandermcqueen.com/en-us/pr/pinstripe-pencil-skirt-798300QJAEI1124.html","https://amq-mcq.dam.kering.com/m/18266c33a08d67b9/Large-798300QJAEI1124_L.jpg?v=2","True","USD","0","","$ 1,090","$ 1,090"
"w-ready-to-wear","798500QJAEI1124","False","True","Pinstripe Single-breasted Jacket","Grey","ADAFB0","1124","","798500QJAEI1124","","https://amq-mcq.dam.kering.com/m/6ac1d6ae9377a6ae/Large-798500QJAEI1124_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/264467673e50f76a/Large-798500QJAEI1124_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/3fceb89302448e49/Large-798500QJAEI1124_D.jpg?v=2 | https://amq-mcq.dam.kering.com/m/36c8a248c00f4d98/Large-798500QJAEI1124_E.jpg?v=2 | https://amq-mcq.dam.kering.com/m/369f11e62187dc09/Large-798500QJAEI1124_L.jpg?v=2","F_W_2024","amq_macro_women_ready_to_wear","Jackets","https://www.alexandermcqueen.com/en-us/pr/pinstripe-single-breasted-jacket-798500QJAEI1124.html","https://www.alexandermcqueen.com/en-us/pr/pinstripe-single-breasted-jacket-798500QJAEI1124.html","https://amq-mcq.dam.kering.com/m/369f11e62187dc09/Large-798500QJAEI1124_L.jpg?v=2","True","USD","0","","$ 2,490","$ 2,490"
"w-ready-to-wear","798502QJAEI4100","False","True","Pinstripe Waistcoat","Navy","282D3C","4100","","798502QJAEI4100","","https://amq-mcq.dam.kering.com/m/74a9d2451ce98d16/Large-798502QJAEI4100_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/1c2cf46d1df82f13/Large-798502QJAEI4100_R.jpg?v=1 | https://amq-mcq.dam.kering.com/m/7b732cb81bb3c6ea/Large-798502QJAEI4100_D.jpg?v=1 | https://amq-mcq.dam.kering.com/m/7fb5b766ed9599ed/Large-798502QJAEI4100_E.jpg?v=1 | https://amq-mcq.dam.kering.com/m/6d227e3bcafeb4d5/Large-798502QJAEI4100_L.jpg?v=1","F_W_2024","amq_macro_women_ready_to_wear","Jackets","https://www.alexandermcqueen.com/en-us/pr/pinstripe-waistcoat-798502QJAEI4100.html","https://www.alexandermcqueen.com/en-us/pr/pinstripe-waistcoat-798502QJAEI4100.html","https://amq-mcq.dam.kering.com/m/6d227e3bcafeb4d5/Large-798502QJAEI4100_L.jpg?v=1","True","USD","0","","$ 1,590","$ 1,590"
"w-ready-to-wear","797823QMACS4297","False","True","Turn-up Boyfriend Jeans","Indigo","353A4C","4297","","797823QMACS4297","","https://amq-mcq.dam.kering.com/m/be642e3c829fd18/Large-797823QMACS4297_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/7213001b0bd540ff/Large-797823QMACS4297_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/f4636f9182ba394/Large-797823QMACS4297_D.jpg?v=2 | https://amq-mcq.dam.kering.com/m/4091a471d0c7154/Large-797823QMACS4297_E.jpg?v=2 | https://amq-mcq.dam.kering.com/m/67b73fbcbc360317/Large-797823QMACS4297_L.jpg?v=2","F_W_2024","amq_macro_women_ready_to_wear","Trousers","https://www.alexandermcqueen.com/en-us/pr/turn-up-boyfriend-jeans-797823QMACS4297.html","https://www.alexandermcqueen.com/en-us/pr/turn-up-boyfriend-jeans-797823QMACS4297.html","https://amq-mcq.dam.kering.com/m/67b73fbcbc360317/Large-797823QMACS4297_L.jpg?v=2","True","USD","0","","$ 1,160","$ 1,160"
"w-ready-to-wear","794119QMACU4297","False","True","Cap Sleeve Denim Shirt","Indigo","353A4C","4297","","794119QMACU4297","","https://amq-mcq.dam.kering.com/m/59539aee7ca2e94a/Large-794119QMACU4297_F.jpg?v=1 | https://amq-mcq.dam.kering.com/m/4493370fbcd542d/Large-794119QMACU4297_R.jpg?v=2 | https://amq-mcq.dam.kering.com/m/102727542e83d76b/Large-794119QMACU4297_D.jpg?v=2 | https://amq-mcq.dam.kering.com/m/64bdad369627c601/Large-794119QMACU4297_E.jpg?v=2 | https://amq-mcq.dam.kering.com/m/5c162c435770fab8/Large-794119QMACU4297_L.jpg?v=2","F_W_2024","amq_macro_women_ready_to_wear","Shirts","https://www.alexandermcqueen.com/en-us/pr/cap-sleeve-denim-shirt-794119QMACU4297.html","https://www.alexandermcqueen.com/en-us/pr/cap-sleeve-denim-shirt-794119QMACU4297.html","https://amq-mcq.dam.kering.com/m/5c162c435770fab8/Large-794119QMACU4297_L.jpg?v=2","True","USD","0","","$ 1,290","$ 1,290"
