data_pid,id,name,collection,productSMC,material,customization,packshotType,brand,color,colorId,size,price,discountPrice,coupon,subCategory,category,topCategory,productCategory,macroCategory,microCategory,superMicroCategory,list,stock,productGlobalSMC,images,product_url,filename
796435410B21081,796435410B21081,upcycled cap,F_W_2023/S_S_2024,796435410B21081,,not customizable,image,balenciaga,dark green,1081,,None,495,None,men_accessories_scarves-caps,men_accessories,men,men_accessories_scarves-caps,bal_macro_men_accessories|bal_macro_women_accessories,bal_micro_men_caps|bal_micro_women_caps,bal_super_micro_men_caps|bal_super_micro_women_caps,productList,instock,796435410B21081,"https://balenciaga.dam.kering.com/m/305be12846937e5c/Small-796435410B21081_X.jpg?v=2, https://balenciaga.dam.kering.com/m/18b497ac19b15394/Small-796435410B21081_Y.jpg?v=2, https://balenciaga.dam.kering.com/m/305be12846937e5c/Small-796435410B21081_X.jpg?v=2, https://balenciaga.dam.kering.com/m/18b497ac19b15394/Small-796435410B21081_Y.jpg?v=2, https://balenciaga.dam.kering.com/m/305be12846937e5c/Small-796435410B21081_X.jpg?v=2, https://balenciaga.dam.kering.com/m/18b497ac19b15394/Small-796435410B21081_Y.jpg?v=2",/en-us/upcycled-cap-dark-green-796435410B21081.html,men_accessories.txt
788752410B29860,788752410B29860,political stencil cap,F_W_2023/S_S_2024,788752410B29860,,not customizable,image,balenciaga,off white/black,9860,,None,495,None,all_accessories_scarves-caps,men_accessories,all,all_accessories_scarves-caps,bal_macro_men_accessories|bal_macro_women_accessories,bal_micro_men_caps|bal_micro_women_caps,bal_super_micro_men_caps|bal_super_micro_women_caps,productList,instock,788752410B29860,"https://balenciaga.dam.kering.com/m/84db8c1f06091b0/Small-788752410B29860_X.jpg?v=1, https://balenciaga.dam.kering.com/m/7488c19055986785/Small-788752410B29860_Y.jpg?v=3, https://balenciaga.dam.kering.com/m/5a4011a1277b52b9/Small-788752410B29860_Z.jpg?v=4, https://balenciaga.dam.kering.com/m/84db8c1f06091b0/Small-788752410B29860_X.jpg?v=1, https://balenciaga.dam.kering.com/m/7488c19055986785/Small-788752410B29860_Y.jpg?v=3, https://balenciaga.dam.kering.com/m/5a4011a1277b52b9/Small-788752410B29860_Z.jpg?v=4, https://balenciaga.dam.kering.com/m/84db8c1f06091b0/Small-788752410B29860_X.jpg?v=1, https://balenciaga.dam.kering.com/m/7488c19055986785/Small-788752410B29860_Y.jpg?v=3, https://balenciaga.dam.kering.com/m/5a4011a1277b52b9/Small-788752410B29860_Z.jpg?v=4",/en-us/political-stencil-cap-off-white-black-788752410B29860.html,men_accessories.txt
529192310B21077,529192310B21077,balenciaga cap,F_W_2019/F_W_2020/F_W_2021/STAG_X_STILL_VALID/S_S_2020/S_S_2021,529192310B21077,co,not customizable,image,balenciaga,black/white,1077,,None,450,None,LNY MEN,men_accessories,all-test_private,lny men,bal_macro_men_accessories,bal_micro_men_caps|bal_micro_women_caps,bal_super_micro_men_hats_and_scarves|bal_super_micro_women_hats_and_scarves,productList,instock,529192310B21077,"https://balenciaga.dam.kering.com/m/6a36c357cb8433dc/Small-529192310B21077_X.jpg?v=2, https://balenciaga.dam.kering.com/m/7a3e10c5e4dc905e/Small-529192310B21077_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/6a36c357cb8433dc/Small-529192310B21077_X.jpg?v=2, https://balenciaga.dam.kering.com/m/7a3e10c5e4dc905e/Small-529192310B21077_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/6a36c357cb8433dc/Small-529192310B21077_X.jpg?v=2, https://balenciaga.dam.kering.com/m/7a3e10c5e4dc905e/Small-529192310B21077_Y.jpg?v=1",/en-us/balenciaga-cap-black-white-529192310B21077.html,men_accessories.txt
590758410B21460,590758410B21460,logo cap,20193/F_W_2019/F_W_2020/F_W_2021/S_S_2020/S_S_2021,590758410B21460,co,not customizable,image,balenciaga,lead/black,1460,,None,450,None,all-test_project-private_520,men_accessories,all-test_private,all-test_project-private_520,bal_macro_men_accessories,bal_micro_men_caps|bal_micro_women_caps,bal_super_micro_men_hats_and_scarves|bal_super_micro_women_hats_and_scarves,productList,instock,590758410B21460,"https://balenciaga.dam.kering.com/m/2467e917ef719cf9/Small-590758410B21460_X.jpg?v=1, https://balenciaga.dam.kering.com/m/44e80a29dbec6a4e/Small-590758410B21460_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/2467e917ef719cf9/Small-590758410B21460_X.jpg?v=1, https://balenciaga.dam.kering.com/m/44e80a29dbec6a4e/Small-590758410B21460_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/2467e917ef719cf9/Small-590758410B21460_X.jpg?v=1, https://balenciaga.dam.kering.com/m/44e80a29dbec6a4e/Small-590758410B21460_Y.jpg?v=1",/en-us/logo-cap-lead-black-590758410B21460.html,men_accessories.txt
783094T00071000,783094T00071000,speed sunglasses,F_W_2023/S_S_2024,783094T00071000,,not customizable,image,balenciaga,black,1000,,None,1095,None,discover-men-520series,men_accessories,men,discover-men-520series,bal_macro_men_accessories|bal_macro_women_accessories,bal_micro_men_sunglasses|bal_micro_women_sunglasses,bal_super_micro_men_sunglasses|bal_super_micro_women_sunglasses,productList,instock,783094T00071000,"https://balenciaga.dam.kering.com/m/382c0bd9df7cd4cf/Small-783094T00071000_X.jpg?v=1, https://balenciaga.dam.kering.com/m/709cc36e52d0cac3/Small-783094T00071000_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/61e4e79c7daefd26/Small-783094T00071000_Z.jpg?v=2, https://balenciaga.dam.kering.com/m/382c0bd9df7cd4cf/Small-783094T00071000_X.jpg?v=1, https://balenciaga.dam.kering.com/m/709cc36e52d0cac3/Small-783094T00071000_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/61e4e79c7daefd26/Small-783094T00071000_Z.jpg?v=2, https://balenciaga.dam.kering.com/m/382c0bd9df7cd4cf/Small-783094T00071000_X.jpg?v=1, https://balenciaga.dam.kering.com/m/709cc36e52d0cac3/Small-783094T00071000_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/61e4e79c7daefd26/Small-783094T00071000_Z.jpg?v=2",/en-us/speed-sunglasses-black-783094T00071000.html,men_accessories.txt
790039T00474724,790039T00474724,4g cat sunglasses ,S_S_2024,790039T00474724,,not customizable,image,balenciaga,blue,4724,,None,995,None,men_accessories_all,men_accessories,men,men_accessories_all,bal_macro_men_accessories|bal_macro_women_accessories,bal_micro_men_sunglasses|bal_micro_women_sunglasses,bal_super_micro_men_sunglasses|bal_super_micro_women_sunglasses,productList,instock,790039T00474724,"https://balenciaga.dam.kering.com/m/86a2767fb3a553e/Small-790039T00474724_X.jpg?v=1, https://balenciaga.dam.kering.com/m/426e3b051f69d474/Small-790039T00474724_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/6a87feb49f8b47e2/Small-790039T00474724_Z.jpg?v=2, https://balenciaga.dam.kering.com/m/86a2767fb3a553e/Small-790039T00474724_X.jpg?v=1, https://balenciaga.dam.kering.com/m/426e3b051f69d474/Small-790039T00474724_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/6a87feb49f8b47e2/Small-790039T00474724_Z.jpg?v=2, https://balenciaga.dam.kering.com/m/86a2767fb3a553e/Small-790039T00474724_X.jpg?v=1, https://balenciaga.dam.kering.com/m/426e3b051f69d474/Small-790039T00474724_Y.jpg?v=1, https://balenciaga.dam.kering.com/m/6a87feb49f8b47e2/Small-790039T00474724_Z.jpg?v=2",/en-us/4g-cat-sunglasses--blue-790039T00474724.html,men_accessories.txt
790039T00261000,790039T00261000,4g cat sunglasses ,S_S_2024,790039T00261000,,not customizable,image,balenciaga,black,1000,,None,820,None,men_accessories_all,men_accessories,men,men_accessories_all,bal_macro_men_accessories|bal_macro_women_accessories,bal_micro_men_sunglasses|bal_micro_women_sunglasses,bal_super_micro_men_sunglasses|bal_super_micro_women_sunglasses,productList,instock,790039T00261000,"/on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg",/en-us/4g-cat-sunglasses--black-790039T00261000.html,men_accessories.txt
790039T00475245,790039T00475245,4g cat sunglasses ,S_S_2024,790039T00475245,,not customizable,image,balenciaga,purple,5245,,None,995,None,men_accessories_all,men_accessories,men,men_accessories_all,bal_macro_men_accessories|bal_macro_women_accessories,bal_micro_men_sunglasses|bal_micro_women_sunglasses,bal_super_micro_men_sunglasses|bal_super_micro_women_sunglasses,productList,instock,790039T00475245,"/on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg",/en-us/4g-cat-sunglasses--purple-790039T00475245.html,men_accessories.txt
7956502AA9C1063,7956502AA9C1063,le city charm heart ,F_W_2024,7956502AA9C1063,,not customizable,image,balenciaga,black/green,1063,,None,625,None,women-bags-lecity,men_accessories,women,women-bags-lecity,bal_macro_men_accessories|bal_macro_women_accessories,bal_micro_men_le_city_handbags|bal_micro_women_le_city_handbags,bal_super_micro_men_keyrings|bal_super_micro_women_keyrings,productList,instock,7956502AA9C1063,"/on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg",/en-us/le-city-charm-heart--black-green-7956502AA9C1063.html,men_accessories.txt
7956412AA9A1000,7956412AA9A1000,le city charm eiffel,F_W_2024,7956412AA9A1000,,not customizable,image,balenciaga,black,1000,,None,375,None,women-bags-lecity,men_accessories,women,women-bags-lecity,bal_macro_men_accessories|bal_macro_women_accessories,bal_micro_men_le_city_handbags|bal_micro_women_le_city_handbags,bal_super_micro_men_keyrings|bal_super_micro_women_keyrings,productList,instock,7956412AA9A1000,"/on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg, /on/demandware.static/Sites-BAL-R-NOAM-Site/-/default/dw2441440a/images/image-tile-placeholder.svg",/en-us/le-city-charm-eiffel-black-7956412AA9A1000.html,men_accessories.txt
