product_id,product_url,product_name,price,image_urls,color_options,filename
2229M,https://www.canadagoose.com/us/en/crofton-vest-2229M.html,Crofton Vest,$650,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715721940/product-image/2229M_852.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715721937/product-image/2229M_852_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715721937/product-image/2229M_852_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715721947/product-image/2229M_852_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715721929/product-image/2229M_852_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715721944/product-image/2229M_852_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1667332172/product-image/2229M_852_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1667332181/product-image/2229M_852_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Carbon"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1629318631/product-swatch/958.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Ozone Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1625587112/product-swatch/222.svg""}, {""color"": ""Sagebrush"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1573595283/product-swatch/852.svg""}, {""color"": ""Emblem Gold"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1629477514/product-swatch/219.svg""}]",all_men.html
5608MB,https://www.canadagoose.com/us/en/nanaimo-jacket-black-label-5608MB.html,Nanaimo Jacket Black Label,$575,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1679342462/product-image/5608MB_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1679342462/product-image/5608MB_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1679342463/product-image/5608MB_61_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1679342462/product-image/5608MB_61_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1679342462/product-image/5608MB_61_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1645020823/product-image/5608MB_61_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1645020825/product-image/5608MB_61_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Limestone"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415370/product-swatch/432.svg""}]",all_men.html
2227M,https://www.canadagoose.com/us/en/crofton-hoody-2227M.html,Crofton Hoody,$950,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1713447012/product-image/2227M_852_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1713447012/product-image/2227M_852_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1713447431/product-image/2227M_852_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1713447535/product-image/2227M_852_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1713447030/product-image/2227M_852_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1713447623/product-image/2227M_852_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1713448744/product-image/2227M_852_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Silverbirch"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1560269058/product-swatch/200.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Ozone Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1625587112/product-swatch/222.svg""}, {""color"": ""Sagebrush"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1573595283/product-swatch/852.svg""}, {""color"": ""Glacier Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1669393304/product-swatch/1265.svg""}]",all_men.html
2715M,https://www.canadagoose.com/us/en/hybridge-lite-tech-vest-2715M.html,HyBridge® Lite Tech Vest,$525,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1704901753/product-image/2715M_61.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1704901751/product-image/2715M_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1704901751/product-image/2715M_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1704901745/product-image/2715M_61_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1704901758/product-image/2715M_61_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1634222806/product-image/2715M_61_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1634222808/product-image/2715M_61_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Red"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415141/product-swatch/11.svg""}]",all_men.html
1600M,https://www.canadagoose.com/us/en/beckley-polo-1600M.html,Beckley Polo,$225,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711637100/product-image/1600M_63_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711637100/product-image/1600M_63_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711637102/product-image/1600M_63_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711637120/product-image/1600M_63_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711637118/product-image/1600M_63_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}]",all_men.html
5079M,https://www.canadagoose.com/us/en/lodge-jacket-5079M.html,Lodge Jacket,$795,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715722214/product-image/5079M_63.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715722223/product-image/5079M_63_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715722223/product-image/5079M_63_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715722219/product-image/5079M_63_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715722228/product-image/5079M_63_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1715722232/product-image/5079M_63_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1635525552/product-image/5079M_63_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1635525553/product-image/5079M_63_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}]",all_men.html
4154M,https://www.canadagoose.com/us/en/freestyle-crew-vest-4154M.html,Freestyle Crew Vest,$650,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1702933835/product-image/4154M_63_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1702933835/product-image/4154M_63_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1702933856/product-image/4154M_63_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1702933930/product-image/4154M_63_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1631808529/product-image/4154M_63_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1631808532/product-image/4154M_63_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Graphite"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687529579/product-swatch/66.svg""}, {""color"": ""White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/25.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Ozone Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1625587112/product-swatch/222.svg""}, {""color"": ""Fortune Red"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1669393306/product-swatch/28.svg""}, {""color"": ""Military Green"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557414882/product-swatch/49.svg""}]",all_men.html
2440MB,https://www.canadagoose.com/us/en/faber-hoody-black-label-2440MB.html,Faber Hoody Black Label,$575,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1670528633/product-image/2440MB_200_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1670528633/product-image/2440MB_200_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1670528633/product-image/2440MB_200_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1670528633/product-image/2440MB_200_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1670528636/product-image/2440MB_200_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1670528635/product-image/2440MB_200_e.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1670528639/product-image/2440MB_200_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1670528637/product-image/2440MB_200_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Silverbirch"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1560269058/product-swatch/200.svg""}]",all_men.html
1420M,https://www.canadagoose.com/us/en/emersen-crewneck-t-shirt-1420M.html,Emersen Crewneck T-Shirt,$175,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1684170027/product-image/1420M_432_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/25.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Limestone"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415370/product-swatch/432.svg""}]",all_men.html
7786M,https://www.canadagoose.com/us/en/mens-glacier-trail-sneaker-high-7786M.html,Men's Glacier Trail Sneaker High,$550,"https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1689772916/product-image/7786M_25_a.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg, https://images.canadagoose.com/f_auto,q_auto/cg-global//images/tile-loading/product-tile-loading2.jpg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/25.svg""}, {""color"": ""Ozone Blue/White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1704479033/product-swatch/1368.svg""}]",all_men.html
