product_id,product_name,product_price,product_color,category,image_urls,filename
,Teen Triomphe Bag in shiny calfskin,,,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/188423BF4.38NO_1_LIB_V2.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/188423BF4.38NO_2_LIB_V2.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
,Teen Triomphe Bag in shiny calfskin,,,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/188423BF4.31AN_1_FW23_W_V2.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/188423BF4.31AN_2_FW23_W_V2.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
,Teen Triomphe Bag in shiny calfskin,,,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/188423BF4.24OS_1_SS24_P1_W.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/188423BF4.24OS_2_SS24_P1_W.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
,Teen Triomphe Bag in Triomphe Canvas and Calfskin,,,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/188882BZ4.04LU_1_SS24_P1_W_V3.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/188882BZ4.04LU_2_SS24_P1_W_V3.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
460SB3SMO.38NS,Celine Monochroms Studs Bracelet in Calfskin and Brass with Rhodium Finish; Black / Silver,490 USD,; Black / Silver,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/460SB3SMO.38NS_1_SS24_P1_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/460SB3SMO.38NS_2_SS24_P1_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
460ZW3BLM.03ST,Plein Soleil Bracelet in Calfskin and Brass with Rhodium Finish; Silver / Tan,490 USD,; Silver / Tan,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/460ZW3BLM.03ST_1_SS24_P1_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/460ZW3BLM.03ST_2_SS24_P1_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
460RW3SMO.36BS,Triomphe Stud Clasp Bracelet in Brass with Rhodium Finish and Calfskin; Black/Silver,640 USD,; Black/Silver,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/460RW3SMO.36BS_1_FW23_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/460RW3SMO.36BS_2_FW23_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
460NL3SMO.04TS,Triomphe Clasp Bracelet in Calfskin and Brass with Rhodium Finish; Tan / Silver,570 USD,; Tan / Silver,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/460NL3SMO.04TS_1_FW23_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/460NL3SMO.04TS_2_FW23_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
461BB6ACB.36BS,Triomphe Beach Bracelet in Acrylic and Brass with Rhodium Finish; Black/Silver,395 USD,; Black/Silver,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/461BB6ACB.36BS_1_SS24_P1_M_V2.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/461BB6ACB.36BS_2_SS24_P1_M_V2.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
460PX6BRA.36SI,Triomphe Small Gourmette Bracelet in Brass with Rhodium Finish; Silver,750 USD,; Silver,men_jewellery,"https://twicpics.celine.com/product-prd/images/large/460PX6BRA.36SI_1_FW23_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview, https://twicpics.celine.com/product-prd/images/large/460PX6BRA.36SI_2_FW23_M.jpg?twic=v1/cover=1:1/resize-max=100/output=preview",men_jewellery.html
