product_id,color_id,product_name,product_price,currency,product_color,category,image_urls,product_url,filename,relative_path
,,Teen Triomphe Bag in shiny calfskin,,,,,"https://twicpics.celine.com/product-prd/images/large/188423BF4.38NO_1_LIB_V2.jpg, https://twicpics.celine.com/product-prd/images/large/188423BF4.38NO_2_LIB_V2.jpg",/en-us/celine-shop-women/handbags/triomphe/teen-triomphe-bag-in-shiny-calfskin-188423BF4.38NO.html?kw=188423BF4.38NO&searchcategory=productinsearch,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
,,Teen Triomphe Bag in shiny calfskin,,,,,"https://twicpics.celine.com/product-prd/images/large/188423BF4.31AN_1_FW23_W_V2.jpg, https://twicpics.celine.com/product-prd/images/large/188423BF4.31AN_2_FW23_W_V2.jpg",/en-us/celine-shop-women/handbags/triomphe/teen-triomphe-bag-in-shiny-calfskin-188423BF4.31AN.html?kw=188423BF4.31AN&searchcategory=productinsearch,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
,,Teen Triomphe Bag in shiny calfskin,,,,,"https://twicpics.celine.com/product-prd/images/large/188423BF4.24OS_1_SS24_P1_W.jpg, https://twicpics.celine.com/product-prd/images/large/188423BF4.24OS_2_SS24_P1_W.jpg",/en-us/celine-shop-women/handbags/triomphe/teen-triomphe-bag-in-shiny-calfskin-188423BF4.24OS.html?kw=188423BF4.24OS&searchcategory=productinsearch,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
,,Teen Triomphe Bag in Triomphe Canvas and Calfskin,,,,,"https://twicpics.celine.com/product-prd/images/large/188882BZ4.04LU_1_SS24_P1_W_V3.jpg, https://twicpics.celine.com/product-prd/images/large/188882BZ4.04LU_2_SS24_P1_W_V3.jpg",/en-us/celine-shop-women/handbags/triomphe-canvas/teen-triomphe-bag-in-triomphe-canvas-and-calfskin-188882BZ4.04LU.html?kw=188882BZ4.04LU&searchcategory=productinsearch,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
6PC8P1304.37TT,37TT,COLOGNE CÉLESTEEAU DE COLOGNE 8.5 FL.OZ,315,USD,,BATH AND BODY,"https://twicpics.celine.com/product-prd/images/large/6PC8P1304.37TT_1_SS23_W_V2.jpg, https://twicpics.celine.com/product-prd/images/large/6PC8P1304.37TT_2_SS23_W_V2.jpg",/en-us/celine-haute-parfumerie/bath-and-body/cologne-celeste-eau-de-cologne-8.5-fl.oz-6PC8P1304.37TT.html,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
6PM1P13M4.37TT,37TT,HUILE CÉLESTEPERFUMED OIL FOR BODY AND HAIR 8.5 FL.OZ,195,USD,,BATH AND BODY,"https://twicpics.celine.com/product-prd/images/large/6PM1P13M4.37TT_1_SS23_W_V2.jpg, https://twicpics.celine.com/product-prd/images/large/6PM1P13M4.37TT_2_SS23_W_V2.jpg",/en-us/celine-haute-parfumerie/bath-and-body/huile-celeste-perfumed-oil-for-body-and-hair-8.5-fl.oz-6PM1P13M4.37TT.html,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
6PB1P13B4.37TT,37TT,LAIT CÉLESTE POUR LE BAINPERFUMED BATH MILK 8.5 FL.OZ,195,USD,,BATH AND BODY,"https://twicpics.celine.com/product-prd/images/large/6PB1P13B4.37TT_1_SS23_W_V2.jpg, https://twicpics.celine.com/product-prd/images/large/6PB1P13B4.37TT_2_SS23_W_V2.jpg",/en-us/celine-haute-parfumerie/bath-and-body/lait-celeste-pour-le-bain-perfumed-bath-milk-8.5-fl.oz-6PB1P13B4.37TT.html,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
6PS4X13S4.01XZ,01XZ,PERFUMED SOAPS SETCOLOGNE CÉLESTE 3x100G,105,USD,,BATH AND BODY,"https://twicpics.celine.com/product-prd/images/large/6PS4X13S4.01XZ_1_SUM23_W_V4.jpg, https://twicpics.celine.com/product-prd/images/large/6PS4X13S4.01XZ_2_SUM23_W_V4.jpg",/en-us/celine-haute-parfumerie/bath-and-body/perfumed-soaps-set-cologne-celeste-3x100g-6PS4X13S4.01XZ.html,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
6PS4X03S5.01XZ,01XZ,PERFUMED SOAPS SETLA PEAU NUE 3x100G,105,USD,,BATH AND BODY,"https://twicpics.celine.com/product-prd/images/large/6PS4X03S5.01XZ_1_SPR23_W_V3.jpg, https://twicpics.celine.com/product-prd/images/large/6PS4X03S5.01XZ_2_SPR23_W_V3.jpg",/en-us/celine-haute-parfumerie/bath-and-body/perfumed-soaps-set-la-peau-nue-3x100g-6PS4X03S5.01XZ.html,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
6PS4X06S5.01XZ,01XZ,PERFUMED SOAPS SETEAU DE CALIFORNIE 3x100G,105,USD,,BATH AND BODY,"https://twicpics.celine.com/product-prd/images/large/6PS4X06S5.01XZ_1_SPR23_W_V3.jpg, https://twicpics.celine.com/product-prd/images/large/6PS4X06S5.01XZ_2_SPR23_W_V3.jpg",/en-us/celine-haute-parfumerie/bath-and-body/perfumed-soaps-set-eau-de-californie-3x100g-6PS4X06S5.01XZ.html,_nav=Y0010-2.html,2024-07-10 17-39-54\en-us\celine-haute-parfumerie\bath-and-body\_nav=Y0010-2.html
