"product_id","product_name","brand","price","currency","category","sub_category","color","product_url","image_url"
"45863461FB","Large Bracelet Hobo bag in grained leather","CHLOE","3890","USD","llbgs","Shoulder bag","Dark Khaki","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863461fb.html",""
"45863460IE","Large Bracelet Hobo bag in grained leather","CHLOE","3890","USD","llbgs","Shoulder bag","Black","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863460ie.html",""
"45863463SF","Small Bracelet Hobo bag in grained leather","CHLOE","2850","USD","llbgs","Shoulder bag","Clay Brown","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863463sf.html",""
"45863462RP","Small Bracelet Hobo bag in grained leather","CHLOE","2850","USD","llbgs","Shoulder bag","Black","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863462rp.html",""
"45863464LJ","Small Bracelet Hobo bag in grained leather","CHLOE","2850","USD","llbgs","Shoulder bag","WOODROSE","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863464lj.html","https://www.chloe.com/product_image/45863464LJ/f/w282.jpg"
"45863449QS","Chain Horse shoulder bag in soft leather","CHLOE","4600","USD","llbgs","Shoulder bag","Dark Khaki","https://www.chloe.comhttps://www.chloe.com/us/shoulder-bag_cod45863449qs.html","https://www.chloe.com/product_image/45863449QS/f/w282.jpg"
"45863421LX","Large Woody basket in fair-trade natural fibers","CHLOE","950","USD","llbgs","Tote bag","","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45863421lx.html","https://www.chloe.com/product_image/45863421LX/f/w282.jpg"
"45863422BT","Large Woody basket in fair-trade natural fibers","CHLOE","950","USD","llbgs","Tote bag","DARK NUT","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45863422bt.html","https://www.chloe.com/product_image/45863422BT/f/w282.jpg"
"45851856HI","Large Woody basket in natural fibers","CHLOE","990","USD","llbgs","Tote bag","Light Gold","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45851856hi.html","https://www.chloe.com/product_image/45851856HI/f/w282.jpg"
"45851855RK","Large Woody basket in natural fibers","CHLOE","990","USD","llbgs","Tote bag","","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45851855rk.html","https://www.chloe.com/product_image/45851855RK/f/w282.jpg"
"45822930PM","Small Woody tote bag in natural fibers","CHLOE","850","USD","llbgs","Tote bag","BLUSHY BEIGE","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45822930pm.html","https://www.chloe.com/product_image/45822930PM/f/w282.jpg"
"45863424VG","Small Woody basket in fair-trade natural fibers","CHLOE","850","USD","llbgs","Tote bag","DARK NUT","https://www.chloe.comhttps://www.chloe.com/us/tote-bag_cod45863424vg.html","https://www.chloe.com/product_image/45863424VG/f/w282.jpg"
