data_id,name_prod,product_originalprice_tf,product_discount_tf,product_currentprice_tf,product_instock,product_breadcrumb_label,url,imgs,filename
S71HA1289D13013962,"Jacquarded Cotton Vest, multicolor",1115.00,446.00,669.00,1,"['Home', 'SALE', 'Men', 'Knitwear', 'Jacquarded Cotton Vest']",https://www.dsquared2.com/us/jacquarded-cotton-vest/S71HA1289D13013962.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw6d2eb768/images/S71HA1289D13013962M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw6d2eb768/images/S71HA1289D13013962M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw283ab7ae/images/S71HA1289D13013962B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw43c17add/images/S71HA1289D13013962G1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwdab7b1ae/images/S71HA1289D13013962G2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw443392dc/images/S71HA1289D13013962S.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwc413cc2b/images/S71HA1289D13013962C.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw34d40e2b/images/S71HA1289D13013962L.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S71LB1389S30309470,"Light Everglades Wash Big Brother Jeans, navy",970.00,291.00,679.00,1,"['Home', 'SALE', 'Men', 'Jeans', 'Light Everglades Wash Big Brother Jeans']",https://www.dsquared2.com/us/light-everglades-wash-big-brother-jeans/S71LB1389S30309470.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw4800cfea/images/S71LB1389S30309470M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw4800cfea/images/S71LB1389S30309470M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw1c495a68/images/S71LB1389S30309470B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw2c3175cc/images/S71LB1389S30309470G1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd504e6c7/images/S71LB1389S30309470G2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw96c62a11/images/S71LB1389S30309470S.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw4fa6a821/images/S71LB1389S30309470C.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw9ec33970/images/S71LB1389S30309470L.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S74MU0820S30309470,"Shark Bite Wash Boxer Shorts, navy",1020.00,306.00,714.00,1,"['Home', 'SALE', 'Men', 'Shorts', 'Shark Bite Wash Boxer Shorts']",https://www.dsquared2.com/us/shark-bite-wash-boxer-shorts/S74MU0820S30309470.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw0214d3e2/images/S74MU0820S30309470M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw0214d3e2/images/S74MU0820S30309470M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw08442fa7/images/S74MU0820S30309470B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd37aca63/images/S74MU0820S30309470G1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwef48a226/images/S74MU0820S30309470G2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw1173a74e/images/S74MU0820S30309470S.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw49a6c510/images/S74MU0820S30309470C.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwf8fcef82/images/S74MU0820S30309470LB.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S74GD1242S23009100,"DSquared2 Skater Fit T-Shirt, white",375.00,112.50,262.50,1,"['Home', 'SALE', 'Men', 'T-Shirts & Polo', 'DSquared2 Skater Fit T-Shirt']",https://www.dsquared2.com/us/dsquared2-skater-fit-t-shirt/S74GD1242S23009100.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw83c3b60f/images/S74GD1242S23009100M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw83c3b60f/images/S74GD1242S23009100M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw66716381/images/S74GD1242S23009100B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw8bbb9d1d/images/S74GD1242S23009100G1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw90c89781/images/S74GD1242S23009100G2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw5923d6a0/images/S74GD1242S23009100S.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S74DM0792S35175234," Varsity Shirt, pink",690.00,276.00,414.00,1,"['Home', 'SALE', 'Men', 'Shirts', ' Varsity Shirt']",https://www.dsquared2.com/us/-varsity-shirt/S74DM0792S35175234.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw930ef3b7/images/S74DM0792S35175234M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw930ef3b7/images/S74DM0792S35175234M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwde234f0e/images/S74DM0792S35175234B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwc7006902/images/S74DM0792S35175234G1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw189d05c3/images/S74DM0792S35175234G2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw11328b85/images/S74DM0792S35175234S.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw1578f273/images/S74DM0792S35175234LB.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S74LB1441S30789470,"Medium Iced Spots Wash Bro Jeans, navy",1775.00,532.50,1242.50,1,"['Home', 'SALE', 'Men', 'Jeans', 'Medium Iced Spots Wash Bro Jeans']",https://www.dsquared2.com/us/medium-iced-spots-wash-bro-jeans/S74LB1441S30789470.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd1b838bd/images/S74LB1441S30789470M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd1b838bd/images/S74LB1441S30789470M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw23ad033a/images/S74LB1441S30789470B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwa4feba8a/images/S74LB1441S30789470G1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwa5c11b97/images/S74LB1441S30789470G2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw7e27ddb0/images/S74LB1441S30789470S.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw79597f59/images/S74LB1441S30789470C.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw4960abb2/images/S74LB1441S30789470L.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw8d7a7673/images/S74LB1441S30789470LB.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S74GD1223S23009100,"DSQ2 Cool Fit T-Shirt, white",480.00,144.00,336.00,1,"['Home', 'SALE', 'Men', 'T-Shirts & Polo', 'DSQ2 Cool Fit T-Shirt']",https://www.dsquared2.com/us/dsq2-cool-fit-t-shirt/S74GD1223S23009100.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd8d3c3bb/images/S74GD1223S23009100M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd8d3c3bb/images/S74GD1223S23009100M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwff0f9b58/images/S74GD1223S23009100B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw5ef438d8/images/S74GD1223S23009100G1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwfaaca3b7/images/S74GD1223S23009100G2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw57eb80e3/images/S74GD1223S23009100S.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S74LB1439S30872470,"Medium Mended Rips Wash Skater Jeans, navy",1180.00,354.00,826.00,1,"['Home', 'SALE', 'Men', 'Jeans', 'Medium Mended Rips Wash Skater Jeans']",https://www.dsquared2.com/us/medium-mended-rips-wash-skater-jeans/S74LB1439S30872470.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd0317a5b/images/S74LB1439S30872470M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd0317a5b/images/S74LB1439S30872470M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw3bf98b6d/images/S74LB1439S30872470B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd7984f90/images/S74LB1439S30872470G1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwf0c607a2/images/S74LB1439S30872470G2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw0b240c72/images/S74LB1439S30872470S.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw27dce049/images/S74LB1439S30872470C.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S74GU0772S25463860M,"Cipro Fit Crewneck Sweatshirt, grey melange",880.00,352.00,528.00,1,"['Home', 'SALE', 'Men', 'Sweatshirts', 'Cipro Fit Crewneck Sweatshirt']",https://www.dsquared2.com/us/cipro-fit-crewneck-sweatshirt/S74GU0772S25463860M.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwc18bf3eb/images/S74GU0772S25463860MM.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwc18bf3eb/images/S74GU0772S25463860MM.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwacbd0c55/images/S74GU0772S25463860MB.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw04a7244e/images/S74GU0772S25463860MG1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwcfbf4e7e/images/S74GU0772S25463860MG2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw27bdf485/images/S74GU0772S25463860MS.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw6e804822/images/S74GU0772S25463860MLB.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S74KB0881S39021111,"Cool Guy Pants, stone",735.00,0.00,735.00,1,"['Home', 'Men', 'Ready To Wear', 'Trousers', 'Cool Guy Pants']",https://www.dsquared2.com/us/cool-guy-pants/S74KB0881S39021111.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwfcbfdda3/images/S74KB0881S39021111M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwfcbfdda3/images/S74KB0881S39021111M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw46b9dd7d/images/S74KB0881S39021111B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw4efbd7ad/images/S74KB0881S39021111G1.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwc9661cbb/images/S74KB0881S39021111G2.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dw8e39ca09/images/S74KB0881S39021111S.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwfc759d72/images/S74KB0881S39021111C.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwe1f28648/images/S74KB0881S39021111LB.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
S71DM0688S35175801,"Rugby Hybrid Oversize Shirt, multicolor",905.00,362.00,543.00,1,"['Home', 'SALE', 'Men', 'Shirts', 'Rugby Hybrid Oversize Shirt']",https://www.dsquared2.com/us/rugby-hybrid-oversize-shirt/S71DM0688S35175801.html,"https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd5ec850a/images/S71DM0688S35175801M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwd5ec850a/images/S71DM0688S35175801M.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwe1d62c13/images/S71DM0688S35175801B.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dwe774c70d/images/S71DM0688S35175801S.jpg?sw=476&sh=714&sm=fit&q=65, https://www.dsquared2.com/dw/image/v2/BJTL_PRD/on/demandware.static/-/Sites-dsquared2-master-catalog/default/dweb925a99/images/S71DM0688S35175801LB.jpg?sw=476&sh=714&sm=fit&q=65",all_mens.html
