product_id,category,product_name,description,price,main_image_url,additional_image_url,product_details_url,filename
FXQ768ALHEF0VAT,mens-accessories,Hat,FF jacquard fabric baseball cap,$590.00,https://static.fendi.com/dam/is/image/fendi/FXQ768ALHEF0VAT_01?wid=892&hei=892&hash=dbc6189bda6211171137d596ace4c127-1833cbaf930&sw=892&sh=892,https://static.fendi.com/dam/is/image/fendi/FXQ768ALHEF0VAT_99?wid=892&hei=892&hash=3d16d48f39d9425823a42f6e849e46bc-18ea39f02f8&sw=892&sh=892,https://www.fendi.com/us-en/gift-ideas/father-s-day-gifts/hat-ff-jacquard-fabric-baseball-cap-fxq768alhef0vat,mens-accessories.html
FXQ768ALHEF0RBB,mens-accessories,Hat,Blue FF jacquard baseball cap,$590.00,https://static.fendi.com/dam/is/image/fendi/FXQ768ALHEF0RBB_01?wid=892&hei=892&hash=946989cc24deb81518242237a06fe0a0-18f2c63ef80&sw=892&sh=892,https://static.fendi.com/dam/is/image/fendi/FXQ768ALHEF0RBB_99?wid=892&hei=892&hash=baf05a47315bbea1a52362e0352d4cb1-18f5c225360&sw=892&sh=892,https://www.fendi.com/us-en/man/new-in/hat-blue-ff-jacquard-baseball-cap-fxq768alhef0rbb,mens-accessories.html
FXQ969AS6AF1K0W,mens-accessories,Hat,White cotton baseball cap,$550.00,https://static.fendi.com/dam/is/image/fendi/FXQ969AS6AF1K0W_01?wid=892&hei=892&hash=9e123e4a04a09bb8e9261f436cb14a1f-18f2c746432&sw=892&sh=892,https://static.fendi.com/dam/is/image/fendi/FXQ969AS6AF1K0W_99?wid=892&hei=892&hash=9f955f16a3836351867bf7b86ca8a44a-18f5ac9b6d3&sw=892&sh=892,https://www.fendi.com/us-en/man/new-in/hat-white-cotton-baseball-cap-fxq969as6af1k0w,mens-accessories.html
FXQ768ALHEF1ED9,mens-accessories,Hat,FF jacquard fabric baseball cap,$590.00,https://static.fendi.com/dam/is/image/fendi/FXQ768ALHEF1ED9_01?wid=892&hei=892&hash=997acdf6fc4f549cd006664d6ea37ac9-1824a92d8d0&sw=892&sh=892,https://static.fendi.com/dam/is/image/fendi/FXQ768ALHEF1ED9_99?wid=892&hei=892&hash=d5da8caa253d0e334695d6b4e1884b50-18bdc8366e8&sw=892&sh=892,https://www.fendi.com/us-en/man/essentials-for-men/hat-ff-jacquard-fabric-baseball-cap-fxq768alhef1ed9,mens-accessories.html
7C0424AGR9F18I0,mens-accessories,Squared FF belt,Black leather reversible belt,$550.00,https://static.fendi.com/dam/is/image/fendi/7C0424AGR9F18I0_01?wid=892&hei=892&hash=054e550dd8628352d22fdf007389e800-186cc790668&sw=892&sh=892,https://static.fendi.com/dam/is/image/fendi/7C0424AGR9F18I0_99?wid=892&hei=892&hash=b69ca18553594ec0d3be0aa8e7db13e1-18d833ab418&sw=892&sh=892,https://www.fendi.com/us-en/man/accessories/squared-ff-belt-black-leather-reversible-belt-7c0424agr9f18i0,mens-accessories.html
7AL086ASLXF1MN2,mens-accessories,Fendi x Devialet,Portable speaker in brown FF fabric,"$3,100.00",https://static.fendi.com/dam/is/image/fendi/7AL086ASLXF1MN2_01?wid=892&hei=892&hash=11012eefe858bfc881c7a97ea79caf9a-18f3303ef4c&sw=892&sh=892,https://static.fendi.com/dam/is/image/fendi/7AL086ASLXF1MN2_06?wid=892&hei=892&hash=34bfd600c09a55915f9823d723dadd9d-18f3303ef71&sw=892&sh=892,https://www.fendi.com/us-en/gift-ideas/father-s-day-gifts/fendi-x-devialet-portable-speaker-in-brown-ff-fabric-7al086aslxf1mn2,mens-accessories.html
7C0424AGR9F0GXN,mens-accessories,Squared FF belt,Black leather reversible belt,$550.00,https://static.fendi.com/dam/is/image/fendi/7C0424AGR9F0GXN_01?wid=892&hei=892&hash=a4c5716f0e572546fa7a4f0103cfbbab-186cc790a50&sw=892&sh=892,https://static.fendi.com/dam/is/image/fendi/7C0424AGR9F0GXN_99?wid=892&hei=892&hash=e7141e086aa5cec7a77f07056604cc59-18dd56b71c8&sw=892&sh=892,https://www.fendi.com/us-en/man/accessories/squared-ff-belt-black-leather-reversible-belt-7c0424agr9f0gxn,mens-accessories.html
FOL534V1PF0QA1,mens-accessories,Fendigraphy,Black sunglasses,$460.00,https://static.fendi.com/dam/is/image/fendi/FOL534V1PF0QA1_01?wid=892&hei=892&hash=6f5bcba700764a42d0a56fb8c890849f-181b3b8b0d8&sw=892&sh=892,https://static.fendi.com/dam/is/image/fendi/FOL534V1PF0QA1_99?wid=892&hei=892&hash=85c174d8b0b0b7d7b62198fceda68aee-18f584bcdd0&sw=892&sh=892,https://www.fendi.com/us-en/man/essentials-for-men/fendigraphy-black-sunglasses-fol534v1pf0qa1,mens-accessories.html
FXQ801ALHDF0VAT,mens-accessories,Hat,FF jacquard fabric bucket hat,$620.00,https://static.fendi.com/dam/is/image/fendi/FXQ801ALHDF0VAT_01?wid=1000&hei=1000&hash=4eaa3c2872cde90e89911ad5a65024fc-181b38e0d8b,https://static.fendi.com/dam/is/image/fendi/FXQ801ALHDF0VAT_99?wid=1000&hei=1000&hash=147c1994d9bf037c19cd07fc83db0a5c-18d833abfd0,https://www.fendi.com/us-en/man/accessories/hat-ff-jacquard-fabric-bucket-hat-fxq801alhdf0vat,mens-accessories.html
FXQ801ALHDF0RBB,mens-accessories,Hat,Blue fabric bucket hat,$620.00,https://static.fendi.com/dam/is/image/fendi/FXQ801ALHDF0RBB_01?wid=1000&hei=1000&hash=c4e64c74623754d83fae24cc0d0f6e6e-18f2c50b73a,https://static.fendi.com/dam/is/image/fendi/FXQ801ALHDF0RBB_02?wid=1000&hei=1000&hash=4068ecd6ed9dab8ebcb587889f354044-18f2c63ee48,https://www.fendi.com/us-en/man/accessories/hat-blue-fabric-bucket-hat-fxq801alhdf0rbb,mens-accessories.html
