product_id,product_url,product_name,price,image_urls,color_options,filename
No ID,https://www.canadagoose.com/us/en/crofton-vest-2229M.html,Crofton Vest,$650,No images,"[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Carbon"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1629318631/product-swatch/958.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Ozone Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1625587112/product-swatch/222.svg""}, {""color"": ""Sagebrush"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1573595283/product-swatch/852.svg""}, {""color"": ""Emblem Gold"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1629477514/product-swatch/219.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/nanaimo-jacket-black-label-5608MB.html,Nanaimo Jacket Black Label,$575,No images,"[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Limestone"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415370/product-swatch/432.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/crofton-hoody-2227M.html,Crofton Hoody,$950,No images,"[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Silverbirch"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1560269058/product-swatch/200.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Ozone Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1625587112/product-swatch/222.svg""}, {""color"": ""Sagebrush"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1573595283/product-swatch/852.svg""}, {""color"": ""Glacier Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1669393304/product-swatch/1265.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/hybridge-lite-tech-vest-2715M.html,HyBridge® Lite Tech Vest,$525,No images,"[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Red"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415141/product-swatch/11.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/beckley-polo-1600M.html,Beckley Polo,$225,https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg,"[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/lodge-jacket-5079M.html,Lodge Jacket,$795,No images,"[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/freestyle-crew-vest-4154M.html,Freestyle Crew Vest,$650,No images,"[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Graphite"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687529579/product-swatch/66.svg""}, {""color"": ""White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/25.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Ozone Blue"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1625587112/product-swatch/222.svg""}, {""color"": ""Fortune Red"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1669393306/product-swatch/28.svg""}, {""color"": ""Military Green"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557414882/product-swatch/49.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/faber-hoody-black-label-2440MB.html,Faber Hoody Black Label,$575,No images,"[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Silverbirch"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1560269058/product-swatch/200.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/emersen-crewneck-t-shirt-1420M.html,Emersen Crewneck T-Shirt,$175,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1684170023/product-image/1420M_432.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1684170027/product-image/1420M_432_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1684170024/product-image/1420M_432_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1684170033/product-image/1420M_432_o.png, https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/25.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}, {""color"": ""Limestone"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415370/product-swatch/432.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/mens-glacier-trail-sneaker-high-7786M.html,Men's Glacier Trail Sneaker High,$550,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1688486330/product-image/7786M_25.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1689772916/product-image/7786M_25_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1688486327/product-image/7786M_25_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1688486327/product-image/7786M_25_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1688486327/product-image/7786M_25_d.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1688486328/product-image/7786M_25_e.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1688486327/product-image/7786M_25_f.jpg, https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/25.svg""}, {""color"": ""Ozone Blue/White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1704479033/product-swatch/1368.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/rosseau-%C2%BC-zip-sweater-7090M.html,Rosseau ¼ Zip Sweater,$475,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028632/product-image/7090M_432.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028632/product-image/7090M_432_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028632/product-image/7090M_432_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028633/product-image/7090M_432_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028634/product-image/7090M_432_p.png, https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg","[{""color"": ""Limestone"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415370/product-swatch/432.svg""}, {""color"": ""Ozone Blue Heather"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1643047134/product-swatch/1026.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/science-research-hoody-6700M.html,Science Research Hoody,$575,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030574/product-image/6700M_433.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1632335345/product-image/6700M_433_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030578/product-image/6700M_433_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030581/product-image/6700M_433_c.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030586/product-image/6700M_433_f.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030592/product-image/6700M_433_g.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030593/product-image/6700M_433_h.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030596/product-image/6700M_433_i.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1633030598/product-image/6700M_433_j.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1703175230/product-image/6700M_433_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1703175230/product-image/6700M_433_p.png, https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg","[{""color"": ""North Star White"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1687454294/product-swatch/433.svg""}, {""color"": ""Red"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415141/product-swatch/11.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/killarney-pant-7500M.html,Killarney Pant,$425,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028731/product-image/7500M_61.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028731/product-image/7500M_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028731/product-image/7500M_61_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1711028731/product-image/7500M_61_o.png, https://images.canadagoose.com/cg-global/images/pdp-images/TEI-1.svg","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}]",all_men.html
No ID,https://www.canadagoose.com/us/en/lawrence-puffer-vest-2804M.html,Lawrence Puffer Vest,$795,"https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286411/product-image/2804M_61.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286411/product-image/2804M_61_a.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286411/product-image/2804M_61_b.jpg, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286415/product-image/2804M_61_o.png, https://images.canadagoose.com/image/upload/w_580,c_scale,f_auto,q_auto/v1687286414/product-image/2804M_61_p.png","[{""color"": ""Black"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1557415280/product-swatch/61.svg""}, {""color"": ""Atlantic Navy"", ""image"": ""https://images.canadagoose.com/image/upload/w_104,h_26,c_scale,q_auto/v1590003302/product-swatch/63.svg""}]",all_men.html
