category,product_name,product_id,price,discount_price,product_url,image_urls,color_name,currency,filename,relative_path
women-clothing-shirts,JACKET IN TIGRI,GI0001DCB13211LM022105,875,,https://us.herno.com/en/women/outerwear/shackets/jacket-in-tigri-camel-GI0001DCB13211LM022105.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw53372f1d/images/zoom/GI0001DCB13211LM02_2105_0.jpg?sw=710&sh=900&sm=fit,Camel,USD,barcelona_collection.html,barcelona_collection.html
women-clothing-knitwear-shirts,SPRING ULTRALIGHT SCUBA SHIRT,JPL002DCB12509SM021000,645,,https://us.herno.com/en/women/knitwear/shirts/spring-ultralight-scuba-shirt-white-JPL002DCB12509SM021000.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw688bb8f1/images/zoom/JPL002DCB12509SM02_1000_0.jpg?sw=710&sh=900&sm=fit,White,USD,barcelona_collection.html,barcelona_collection.html
men-clothing-outerwear-shirts,JACKET IN TIGRI,GI0004UCB13211M022105,1.015,,https://us.herno.com/en/men/outerwear/shackets/jacket-in-tigri-camel-GI0004UCB13211M022105.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwa34bcaec/images/zoom/GI0004UCB13211M02_2105_0.jpg?sw=710&sh=900&sm=fit,Camel,USD,barcelona_collection.html,barcelona_collection.html
men-clothing-knitwear-shirts,SPRING ULTRALIGHT SCUBA SHIRT,JPL002UCB12509SM021000,645,,https://us.herno.com/en/men/knitwear/shirts/spring-ultralight-scuba-shirt-white-JPL002UCB12509SM021000.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw5c18ec24/images/zoom/JPL002UCB12509SM02_1000_0.jpg?sw=710&sh=900&sm=fit,White,USD,barcelona_collection.html,barcelona_collection.html
women-apparel-trousers,TROUSERS IN LIGHT NYLON STRETCH,PT0005DCB12431SM029201,435,,https://us.herno.com/en/women/clothing/trousers/trousers-in-light-nylon-stretch-blue-PT0005DCB12431SM029201.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwac26226e/images/zoom/PT0005DCB12431SM02_9201_0.jpg?sw=710&sh=900&sm=fit,Blue,USD,barcelona_collection.html,barcelona_collection.html
men-apparel-trousers,TROUSERS IN LIGHT COTTON STRETCH,PT0007UCB13164M029200,460,,https://us.herno.com/en/men/clothing/trousers/trousers-in-light-cotton-stretch-navy-blue-PT0007UCB13164M029200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw60303d76/images/zoom/PT0007UCB13164M02_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,barcelona_collection.html,barcelona_collection.html
men-accessories-hats,BALACLAVA IN INFINITY,BER003UCB70048M029200,230,,https://us.herno.com/en/men/accessories/hats/balaclava-in-infinity-navy-blue-BER003UCB70048M029200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw274a17b6/images/zoom/BER003UCB70048M02_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,barcelona_collection.html,barcelona_collection.html
men-accessories-hats,BALACLAVA IN INFINITY,BER003UCB70048M029300,230,,https://us.herno.com/en/men/accessories/hats/balaclava-in-infinity-black-BER003UCB70048M029300.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw46438182/images/zoom/BER003UCB70048M02_9300_0.jpg?sw=710&sh=900&sm=fit,Black,USD,barcelona_collection.html,barcelona_collection.html
women-accessories,TIE IN EASY SUIT STRETCH,CR0001DCB12545SM029300,195,,https://us.herno.com/en/women/accessories/tie-in-easy-suit-stretch-black-CR0001DCB12545SM029300.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwb49c1bcf/images/zoom/CR0001DCB12545SM02_9300_0.jpg?sw=710&sh=900&sm=fit,Black,USD,barcelona_collection.html,barcelona_collection.html
men-clothing-accessories,TIE IN EASY SUIT STRETCH,CR0001UCB12545SM029200,195,,https://us.herno.com/en/men/accessories/tie-in-easy-suit-stretch-navy-blue-CR0001UCB12545SM029200.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dw01deca6e/images/zoom/CR0001UCB12545SM02_9200_0.jpg?sw=710&sh=900&sm=fit,Navy Blue,USD,barcelona_collection.html,barcelona_collection.html
women-clothing-jackets-blazers,WOMEN’S EASY SUIT STRETCH BLAZER,GA0002DCB12545SM029300,1.185,,https://us.herno.com/en/women/outerwear/blazers/women%E2%80%99s-easy-suit-stretch-blazer-black-GA0002DCB12545SM029300.html,https://us.herno.com/dw/image/v2/BGRP_PRD/on/demandware.static/-/Sites-33/default/dwa0767be1/images/zoom/GA0002DCB12545SM02_9300_0.jpg?sw=710&sh=900&sm=fit,Black,USD,barcelona_collection.html,barcelona_collection.html
