user_category,product_url,product_name,price,discounted_price,image_urls,sizes,availability,label,filename
accessories,/products/ce011200m004a23nl-lecce-belt-natural,Lecce Belt,210,,"//us.isabelmarant.com/cdn/shop/files/00MCE0112-00M004A-23NL-F.jpg?v=1712333409&width=600, //us.isabelmarant.com/cdn/shop/files/00MCE0112-00M004A-23NL-D.jpg?v=1712333404&width=600","S, M, L, XL","available, available, not available, not available",,accessories.html
accessories,/products/cu001xfaa2c08abkbk-haley-hat-black-black,Haley Hat,210,,"//us.isabelmarant.com/cdn/shop/files/23ECU001XFA-A2C08A-BKBK-F.jpg?v=1712574744&width=1200, //us.isabelmarant.com/cdn/shop/files/23ECU001XFA-A2C08A-BKBK-D.jpg?v=1712574739&width=1200","56, 57, 58","available, available, not available",,accessories.html
accessories,/products/cu001xhaa2c04jecbk-haley-hat-ecru-and-black,Haley Hat,210,,"//us.isabelmarant.com/cdn/shop/files/23ECU001XHA-A2C04J-ECBK-F.jpg?v=1713603503&width=1200, //us.isabelmarant.com/cdn/shop/files/23ECU001XHA-A2C04J-ECBK-D.jpg?v=1713603505&width=1200","57, 58, 59","available, available, available",,accessories.html
accessories,/products/cu049xfab1c11a23ec-halena-hat-ecru,Halena Hat,275,,"//us.isabelmarant.com/cdn/shop/files/24PCU049XFA-B1C11A-23EC-F.jpg?v=1712343820&width=480, //us.isabelmarant.com/cdn/shop/files/24PCU049XFA-B1C11A-23EC-D.jpg?v=1712343818&width=480","56, 57, 58","not available, available, not available",,accessories.html
accessories,/products/cu049xfab1c11a01bk-halena-hat-black,Halena Hat,275,,"//us.isabelmarant.com/cdn/shop/files/24PCU049XFA-B1C11A-01BK-F.jpg?v=1713603675&width=480, //us.isabelmarant.com/cdn/shop/files/24PCU049XFA-B1C11A-01BK-D.jpg?v=1713603675&width=480","56, 57, 58","available, available, available",,accessories.html
accessories,/products/cu058xfbb2c05a02fk-bergen-hat-black,Bergen Hat,275,,"//us.isabelmarant.com/cdn/shop/files/24ECU058XFB-B2C05A-02FK-F.jpg?v=1712751807&width=1200, //us.isabelmarant.com/cdn/shop/files/24ECU058XFB-B2C05A-02FK-D.jpg?v=1712751807&width=1200","56, 57, 58","available, available, available",,accessories.html
accessories,/products/cu058xfbb2c05a30bu-bergen-hat-blue,Bergen Hat,275,,"//us.isabelmarant.com/cdn/shop/files/24ECU058XFB-B2C05A-30BU-F.jpg?v=1712751883&width=1200, //us.isabelmarant.com/cdn/shop/files/24ECU058XFB-B2C05A-30BU-D.jpg?v=1712751883&width=1200","56, 57, 58","not available, available, available",,accessories.html
accessories,/products/cu058xfbb2c05a23ec-bergen-hat-ecru,Bergen Hat,275,,"//us.isabelmarant.com/cdn/shop/files/24ECU058XFB-B2C05A-23EC-F.jpg?v=1712751789&width=1200, //us.isabelmarant.com/cdn/shop/files/24ECU058XFB-B2C05A-23EC-D.jpg?v=1712751759&width=1200",,,,accessories.html
accessories,/products/cq001xfba1c17a30lu-tyron-cap-light-blue,Tyron Cap,195,117,"//us.isabelmarant.com/cdn/shop/files/24PCQ001XFB-A1C17A-30LU-F.jpg?v=1713603580&width=480, //us.isabelmarant.com/cdn/shop/files/23PCQ001XFB-A1C17A-30LU-F.jpg?v=1712574884&width=1200","57, 59","available, available",,accessories.html
accessories,/products/cq001xfbb1c03a01bk-tyron-cap-black,Tyron Cap,245,147,"//us.isabelmarant.com/cdn/shop/files/24PCQ001XFB-B1C03A-01BK-F.jpg?v=1713603592&width=480, //us.isabelmarant.com/cdn/shop/files/24PCQ001XFB-B1C03A-01BK-D.jpg?v=1713603592&width=480","57, 59","available, available",,accessories.html
accessories,/products/co0080faa3b18bnask-chumani-necklace-navy-sky,Chumani Necklace,180,108,"//us.isabelmarant.com/cdn/shop/files/24PCO0080FA-A3B18B-NASK-F.jpg?v=1712343795&width=480, //us.isabelmarant.com/cdn/shop/files/24PCO0080FA-A3B18B-NASK-D.jpg?v=1712343790&width=480",,,,accessories.html
accessories,/products/cu001xhaa2c04jbkbk-haley-hat-black-black,Haley Hat,210,,"//us.isabelmarant.com/cdn/shop/files/23ACU001XHA-A2C04J-BKBK-F.jpg?v=1712340710&width=480, //us.isabelmarant.com/cdn/shop/files/23ECU001XHA-A2C04J-BKBK-F.jpg?v=1712574746&width=1200","57, 58, 59","available, available, available",,accessories.html
accessories,/products/cq001xfba2c08abkbk-tyron-cap-black-black,Tyron Cap,210,,"//us.isabelmarant.com/cdn/shop/files/23ECQ001XFB-A2C08A-BKBK-F.jpg?v=1712574735&width=1200, //us.isabelmarant.com/cdn/shop/files/23ECQ001XFB-A2C08A-BKBK-D.jpg?v=1712574733&width=1200","57, 59","available, available",,accessories.html
accessories,/products/bg004400m004b01bk-casablanca-ring-black,Casablanca Ring,75,,"//us.isabelmarant.com/cdn/shop/files/00MBG0044-00M004B-01BK-F.jpg?v=1712574626&width=1200, //us.isabelmarant.com/cdn/shop/files/00MBG0044-00M004B-01BK-D.jpg?v=1712574621&width=1200",,,,accessories.html
accessories,/products/bg003400m004b23ec-casablanca-ring-set-ecru,Casablanca Ring Set,170,,"//us.isabelmarant.com/cdn/shop/files/00MBG0034-00M004B-23EC-F.jpg?v=1712574624&width=1200, //us.isabelmarant.com/cdn/shop/files/00MBG0034-00M004B-23EC-D.jpg?v=1712574620&width=1200",,,,accessories.html
accessories,/products/ce011cfaa1b47ackbk-lecce-belt-beige-and-black,Lecce Belt,295,,"//us.isabelmarant.com/cdn/shop/files/23ACE011CFA-A1B47A-CKBK-F.jpg?v=1712340610&width=480, //us.isabelmarant.com/cdn/shop/files/23PCE011CFA-A1B47A-CKBK-F.jpg?v=1712574867&width=1200","S, M, L, XL","available, available, available, not available",,accessories.html
accessories,/products/ct038jfab1c08a86ma-donel-socks-mauve,Donel Socks,75,45,"//us.isabelmarant.com/cdn/shop/files/24PCT038JFA-B1C08A-86MA-F.jpg?v=1712343809&width=480, //us.isabelmarant.com/cdn/shop/files/24PCT038JFA-B1C08A-86MA-D.jpg?v=1712343807&width=480",,,,accessories.html
