category,name,product_id,product_url,image_url,other_images,full_price,discount_price,stock,color,tag(s),filename
c-accessories,'KENZO Utility' embroidered cotton hat,FE68AC414F41.99,https://www.kenzo.com/en-us/kenzo-utility-embroidered-cotton-hat/FE68AC414F41.99.html,https://media.kenzo.com/b2cprd/FE68AC414F41.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE68AC414F41.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 170.00,,,,,c-accessories.html
c-accessories,'KENZO Utility' embroidered cotton cap,FE68AC411F41.99,https://www.kenzo.com/en-us/kenzo-utility-embroidered-cotton-cap/FE68AC411F41.99.html,https://media.kenzo.com/b2cprd/FE68AC411F41.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE68AC411F41.99_H_01.jpg?twic=v1/cover=4:5/resize=706,$ 145.00,,,,,c-accessories.html
c-accessories,'KENZOGRAM' cap,FD65AC501FW1.99,https://www.kenzo.com/en-us/kenzogram-cap/FD65AC501FW1.99.html,https://media.kenzo.com/b2cprd/FD65AC501FW1.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65AC501FW1.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 145.00,,Back in Stock,,,c-accessories.html
c-accessories,'KENZOGRAM' shoulder bag,FE55SA518FW1.99,https://www.kenzo.com/en-us/kenzogram-shoulder-bag/FE55SA518FW1.99.html,https://media.kenzo.com/b2cprd/FE55SA518FW1.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SA518FW1.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 350.00,,Out of Stock,,,c-accessories.html
c-accessories,'KENZOGRAM' backpack,FD65SA503FW1.99,https://www.kenzo.com/en-us/kenzogram-backpack/FD65SA503FW1.99.html,https://media.kenzo.com/b2cprd/FD65SA503FW1.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65SA503FW1.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 470.00,,Back in Stock,,,c-accessories.html
c-accessories,'KENZOGRAM' belt bag,FD65SA507FW1.99,https://www.kenzo.com/en-us/kenzogram-belt-bag/FD65SA507FW1.99.html,https://media.kenzo.com/b2cprd/FD65SA507FW1.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65SA507FW1.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 350.00,,,,,c-accessories.html
c-accessories,'KENZO Paris' large pouch,FD65PM502FW1.99,https://www.kenzo.com/en-us/kenzo-paris-large-pouch/FD65PM502FW1.99.html,https://media.kenzo.com/b2cprd/FD65PM502FW1.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65PM502FW1.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 205.00,,,,,c-accessories.html
c-accessories,'KENZO Utility' small tote bag in canvas,FE68SA910F36.99,https://www.kenzo.com/en-us/kenzo-utility-small-tote-bag-in-canvas/FE68SA910F36.99.html,https://media.kenzo.com/b2cprd/FE68SA910F36.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE68SA910F36.99_F_01.jpg?twic=v1/cover=4:5/resize=706,$ 325.00,,Out of Stock,"ecru, black",,c-accessories.html
c-accessories,'KENZO Utility' canvas tote bag,FE58SA901F35.99,https://www.kenzo.com/en-us/kenzo-utility-canvas-tote-bag/FE58SA901F35.99.html,https://media.kenzo.com/b2cprd/FE58SA901F35.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58SA901F35.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 445.00,,,,,c-accessories.html
c-accessories,Small 'KENZO Utility' canvas tote bag,FE58SA910F35.99,https://www.kenzo.com/en-us/small-kenzo-utility-canvas-tote-bag/FE58SA910F35.99.html,https://media.kenzo.com/b2cprd/FE58SA910F35.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58SA910F35.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 325.00,,Back in Stock,"ecru, black",,c-accessories.html
c-accessories,'KENZO Utility' large canvas pouch,FE58PM902F35.99,https://www.kenzo.com/en-us/kenzo-utility-large-canvas-pouch/FE58PM902F35.99.html,https://media.kenzo.com/b2cprd/FE58PM902F35.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58PM902F35.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 275.00,,Back in Stock,"ecru, black",,c-accessories.html
c-accessories,'KENZO Boke' leather handbag,FE52SA418L04.99,https://www.kenzo.com/en-us/kenzo-boke-leather-handbag/FE52SA418L04.99.html,https://media.kenzo.com/b2cprd/FE52SA418L04.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE52SA418L04.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 710.00,,,"blush, dark camel, black, +1 more",,c-accessories.html
c-accessories,'KENZO Tag' cotton cap,FE58AC711F32.99,https://www.kenzo.com/en-us/kenzo-tag-cotton-cap/FE58AC711F32.99.html,https://media.kenzo.com/b2cprd/FE58AC711F32.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58AC711F32.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 145.00,,Back in Stock,"beige, black",,c-accessories.html
c-accessories,Large 'KENZO Emboss' leather pouch,FE58PM822L44.99,https://www.kenzo.com/en-us/large-kenzo-emboss-leather-pouch/FE58PM822L44.99.html,https://media.kenzo.com/b2cprd/FE58PM822L44.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58PM822L44.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 290.00,,Back in Stock,,,c-accessories.html
c-accessories,'KENZO Emboss' leather wallet,FE58PM803L44.99,https://www.kenzo.com/en-us/kenzo-emboss-leather-wallet/FE58PM803L44.99.html,https://media.kenzo.com/b2cprd/FE58PM803L44.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58PM803L44.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 250.00,,Back in Stock,,,c-accessories.html
c-accessories,'KENZO Emboss' leather card holder,FE58PM820L44.99,https://www.kenzo.com/en-us/kenzo-emboss-leather-card-holder/FE58PM820L44.99.html,https://media.kenzo.com/b2cprd/FE58PM820L44.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58PM820L44.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 145.00,,,,,c-accessories.html
c-accessories,'KENZO Varsity' embroidered rucksack,FE55SA613F27.99,https://www.kenzo.com/en-us/kenzo-varsity-embroidered-rucksack/FE55SA613F27.99.html,https://media.kenzo.com/b2cprd/FE55SA613F27.99_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SA613F27.99_P_02.jpg?twic=v1/cover=4:5/resize=706,$ 470.00,,Back in Stock,,,c-accessories.html
