"category","product_id","price","currency","imageUrls","name","material","colors","url"
"L1_MEN","FAO0281_F5RZ","1675.0","USD","['https://media.loropiana.com/HYBRIS/FAO/FAO0281/4ADF634C-B901-4EB3-AE59-B1F8EBCEDF01/FAO0281_F5RZ_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0281/AC263BF6-98C9-4BE7-92F3-9095982D6A5A/FAO0281_F5RZ_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0281/67685204-3F09-470E-8D37-9D6E70FA11DA/FAO0281_F5RZ_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0281/FCF1C158-DC94-4D51-BB58-12E0BFA21F38/FAO0281_F5RZ_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0281/45549BE9-2869-4C02-B443-ED3BCCCB1487/FAO0281_F5RZ_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0281/1958547C-D5AC-485C-A2DC-4148952963C4/FAO0281_F5RZ_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0281/0E98A9FF-987C-4E3E-BE50-0BCE09442201/FAO0281_F5RZ_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0281/19788619-D3CF-4EA7-BE4F-74C307D4A726/FAO0281_F5RZ_SMALL.jpg']","Uji Overshirt","Linen, Silk","['F5RZ|Floating Torii+Tapioca+Blue|https://media.loropiana.com/HYBRIS/FAO/FAO0281/4FAE7554-A9E9-4A4A-BFDE-DB68F0093042/FAO0281_F5RZ_BISCOTTO.jpg']","https:/p/man/shirts/uji-overshirt-FAO0281?colorCode=F5RZ"
"L1_MEN","FAO0242_F5RZ","1450.0","USD","['https://media.loropiana.com/HYBRIS/FAO/FAO0242/D7D6AF10-183B-48DD-81AF-302AA4FD7254/FAO0242_F5RZ_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0242/85D222E5-265E-445C-90F4-9CFABE25BAC1/FAO0242_F5RZ_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0242/008DCC4E-7B02-44B8-8EB3-98A05FE11667/FAO0242_F5RZ_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0242/02405105-AD2B-4D88-B7CE-E513C69E287E/FAO0242_F5RZ_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0242/948D11D4-CE0D-40DF-B710-AA399CFACC71/FAO0242_F5RZ_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0242/F9CA9E58-2A51-412B-83F9-80EB403F5E78/FAO0242_F5RZ_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0242/E19B59A2-CB7C-4178-9F04-36DF422294A0/FAO0242_F5RZ_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0242/F16D82D0-1D2C-421C-8F02-E36AC83AA009/FAO0242_F5RZ_SMALL.jpg']","Akanko Pants","Linen, Silk","['F5RZ|Floating Torii+Tapioca+Blue|https://media.loropiana.com/HYBRIS/FAO/FAO0242/4FAE7554-A9E9-4A4A-BFDE-DB68F0093042/FAO0242_F5RZ_BISCOTTO.jpg']","https:/p/man/trousers-and-bermudas/akanko-pants-FAO0242?colorCode=F5RZ"
"L1_MEN","FAN8684_F5RK","1250.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN8684/2D8B33D9-5D65-4119-A752-DEFC3AF8D7B5/FAN8684_F5RK_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN8684/59128EA9-F3DD-4FFB-A7C5-FB0AD365E330/FAN8684_F5RK_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN8684/4DACC197-C95D-444A-991C-02EA5BF68EDD/FAN8684_F5RK_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN8684/DB32997E-6160-4700-A977-A433EB17B51C/FAN8684_F5RK_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN8684/800504E7-BA07-4E04-9617-83AA59CD0765/FAN8684_F5RK_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN8684/68E3A94B-AC56-4B4B-9E43-B050B8F0D3B6/FAN8684_F5RK_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN8684/3D5052BA-6D47-43B5-93F8-16ABB21F3370/FAN8684_F5RK_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN8684/92B52783-1F02-4442-9734-2E67A8AB1B2F/FAN8684_F5RK_SMALL.jpg']","Shinano Shirt","Linen","['F5RK|Ginseng+White|https://media.loropiana.com/HYBRIS/FAN/FAN8684/E701752C-8F16-42B6-9266-A23777F441D0/FAN8684_F5RK_BISCOTTO.jpg', 'F5RL|Kokuto Sugar+Ginseng|https://media.loropiana.com/HYBRIS/FAN/FAN8684/785DE55A-70D3-4996-9CDF-593FF3BE2178/FAN8684_F5RL_BISCOTTO.jpg']","https:/p/man/shirts/shinano-shirt-FAN8684?colorCode=F5RK"
"L1_MEN","FAO0261_D147","950.0","USD","['https://media.loropiana.com/HYBRIS/FAO/FAO0261/79E90AC2-193D-4181-A6DC-0DAD8B50ECA2/FAO0261_D147_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0261/926441E4-00CD-4989-89D7-4F666D3242E8/FAO0261_D147_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0261/AB4CA3C8-9FEB-4E56-9E47-6179B0C0C663/FAO0261_D147_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0261/7C3CAD9A-79AB-4907-BDC2-16300718DA42/FAO0261_D147_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0261/FBA700E3-2D22-48F9-B1C9-EE17029BC5EE/FAO0261_D147_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0261/56961C98-8FEA-46DB-AE6A-090DC92012A6/FAO0261_D147_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0261/FE80AA2A-B5BD-4942-AD82-FA50131D290E/FAO0261_D147_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0261/08B56A58-02BF-4BE8-947E-105E367C9B9B/FAO0261_D147_SMALL.jpg']","Reinga Shorts","Linen","['D147|Corn|https://media.loropiana.com/HYBRIS/FAO/FAO0261/802E8084-6FD3-4BB0-A240-A37C3B2A64CE/FAO0261_D147_BISCOTTO.jpg', 'WL54|Deep Transatlantic Blue|https://media.loropiana.com/HYBRIS/FAO/FAO0261/45D44940-9D76-4D53-8317-9A978A394934/FAO0261_WL54_BISCOTTO.jpg']","https:/p/man/trousers-and-bermudas/reinga-shorts-FAO0261?colorCode=D147"
"L1_MEN","FAO0236_H0OG","2775.0","USD","['https://media.loropiana.com/HYBRIS/FAO/FAO0236/7C1C2EFB-E866-45E9-BF36-2CAE5DA79F40/FAO0236_H0OG_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0236/293A90B2-D2E1-4B5C-A9CF-D871D61EE559/FAO0236_H0OG_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0236/F4C372FE-A287-4D69-90AC-64BC011AAE1B/FAO0236_H0OG_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0236/D2DB71A5-1843-410F-8A65-6C9142626F32/FAO0236_H0OG_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0236/D30BBFD6-0C33-4077-A68A-6EA4FBBDC2CE/FAO0236_H0OG_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0236/B40AACDF-4C42-4AA4-870A-708421E46FEF/FAO0236_H0OG_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0236/31293E2B-25B9-45E7-8942-AC0C7C598E2D/FAO0236_H0OG_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0236/EE445056-0981-436C-B998-EB35960CC680/FAO0236_H0OG_SMALL.jpg']","Spagna Jacket","Linen","['H0OG|Kokuto Sugar|https://media.loropiana.com/HYBRIS/FAO/FAO0236/BE3BF2C4-EB8A-4287-8549-9487ED6DD7FB/FAO0236_H0OG_BISCOTTO.jpg', 'W12T|Kurume Blue|https://media.loropiana.com/HYBRIS/FAO/FAO0236/E3D66D9C-1EAE-4267-9D86-B58535615221/FAO0236_W12T_BISCOTTO.jpg']","https:/p/man/icons/spagna-jacket-FAO0236?colorCode=H0OG"
"L1_MEN","FAN9600_A0GC","1900.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN9600/40DADCC0-8675-46C0-8174-1D970DA4446D/FAN9600_A0GC_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9600/DFB6AE6F-F1A7-429D-B712-CF69D9B48123/FAN9600_A0GC_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9600/5F75D5E2-EAF2-48E1-A3FA-7BDF9515A645/FAN9600_A0GC_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9600/A9B8FF43-2A13-4376-BDE6-EC79F7D865F9/FAN9600_A0GC_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9600/DACBD687-0CCD-467E-B1C5-530D295C6AC8/FAN9600_A0GC_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9600/BC602E4F-42CD-4CA4-84AD-7A60C6B46959/FAN9600_A0GC_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9600/31E94184-9258-45DF-B8CE-A3C25665EDA7/FAN9600_A0GC_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN9600/0914A7C1-EFF4-47BF-8CE2-0EA2D6C1689A/FAN9600_A0GC_SMALL.jpg']","Hotaka Overshirt","Cotton, Linen, Silk","['A0GC|NATURAL DUNE|https://media.loropiana.com/HYBRIS/FAN/FAN9600/67F6BB3B-D188-4CFC-AEEF-7B7B8A3B0728/FAN9600_A0GC_BISCOTTO.jpg', 'W12T|Kurume Blue|https://media.loropiana.com/HYBRIS/FAN/FAN9600/F101A7C7-3D56-44DC-A5DD-9F4FFBAC34AB/FAN9600_W12T_BISCOTTO.jpg']","https:/p/resort-selection/man/hotaka-overshirt-FAN9600?colorCode=A0GC"
"L1_MEN","FAO0247_F5RY","1250.0","USD","['https://media.loropiana.com/HYBRIS/FAO/FAO0247/377D924A-3BB4-4965-B1E6-E84E8A261B75/FAO0247_F5RY_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0247/802F19DF-721E-405C-9426-18231960A34E/FAO0247_F5RY_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0247/C2C2A83E-8CA9-4853-91E1-D18859590CD7/FAO0247_F5RY_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0247/B40A38AF-2D95-446A-844A-B56DE96771AD/FAO0247_F5RY_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0247/C693261D-CB47-4B88-AD06-4BFA4FE4ED69/FAO0247_F5RY_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0247/A3E4737E-14CD-493E-AFEA-06E47B2AEDAF/FAO0247_F5RY_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0247/EC44D147-282C-4654-A028-C967381316F0/FAO0247_F5RY_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0247/0F5AC8CD-64E8-4E6A-80CE-DC9C95157A37/FAO0247_F5RY_SMALL.jpg']","Elia Shirt","Linen, Silk","['F5RY|Ceramic Vase+Dry Kombu+Nougat|https://media.loropiana.com/HYBRIS/FAO/FAO0247/2A1E76FE-E94B-477F-A781-D8168F930755/FAO0247_F5RY_BISCOTTO.jpg']","https:/p/man/shirts/elia-shirt-FAO0247?colorCode=F5RY"
"L1_MEN","FAO0243_F5RY","1450.0","USD","['https://media.loropiana.com/HYBRIS/FAO/FAO0243/CC9EE488-4160-47F4-8C7E-B7554064F7F5/FAO0243_F5RY_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0243/A9636192-F78A-4586-A8F6-6B755C89F978/FAO0243_F5RY_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0243/67CC61F7-5242-45F6-B2D2-D82B723CFB3B/FAO0243_F5RY_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0243/A59CD8BD-7A48-4993-AE7B-6B6001A583A3/FAO0243_F5RY_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0243/A7971661-6B75-4159-ABAF-D812D508D593/FAO0243_F5RY_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0243/35627E63-9D3F-4EAA-A967-955DE1D5E131/FAO0243_F5RY_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0243/B988ED2E-DD10-466E-BE80-25CA4302B9A4/FAO0243_F5RY_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAO/FAO0243/0B03CF89-0EE2-41C6-BE3F-5C205596FD14/FAO0243_F5RY_SMALL.jpg']","Akanko Pants","Linen, Silk","['F5RY|Ceramic Vase+Dry Kombu+Nougat|https://media.loropiana.com/HYBRIS/FAO/FAO0243/2A1E76FE-E94B-477F-A781-D8168F930755/FAO0243_F5RY_BISCOTTO.jpg']","https:/p/man/trousers-and-bermudas/akanko-pants-FAO0243?colorCode=F5RY"
"L1_MEN","FAN0468_D0OO","2250.0","USD","['https://media.loropiana.com/HYBRIS/FAN/FAN0468/50F8F2DD-D683-4A78-A00E-B07F52D85BF1/FAN0468_D0OO_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN0468/68F41FB6-BA56-4082-8C2F-B3A474245562/FAN0468_D0OO_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN0468/2362251D-555A-447A-8927-EC4F8421731E/FAN0468_D0OO_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN0468/F317F760-FC56-4F72-9076-24E0CEA3A907/FAN0468_D0OO_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAN/FAN0468/79C3C076-C753-4F94-BDDE-F438AD69BA37/FAN0468_D0OO_MEDIUM.jpg']","Kalama Overshirt","Linen","['D0OO|Multicolor|https://media.loropiana.com/HYBRIS/FAN/FAN0468/7E4E50F4-F30E-4C71-B637-A34B494B1BA1/FAN0468_D0OO_BISCOTTO.jpg', 'W12T|Kurume Blue|https://media.loropiana.com/HYBRIS/FAN/FAN0468/36A81A23-4660-4150-A275-F5F0973D9E53/FAN0468_W12T_BISCOTTO.jpg']","https:/p/man/outerwear-jackets/kalama-overshirt-FAN0468?colorCode=D0OO"
"L1_MEN","FAF2545_R0C2","800.0","USD","['https://media.loropiana.com/HYBRIS/FAF/FAF2545/7F42F3DA-5468-4C73-AD10-CCF35238BA75/FAF2545_R0C2_ICON.jpg', 'https://media.loropiana.com/HYBRIS/FAF/FAF2545/AE45C9C8-0FDE-4FCD-B0E5-429FCF4F2387/FAF2545_R0C2_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAF/FAF2545/8D793470-F577-482B-ABCB-A84B8E7BA24D/FAF2545_R0C2_SMALL.jpg', 'https://media.loropiana.com/HYBRIS/FAF/FAF2545/D8C434CC-0D83-4726-B489-A6FBD7355ACD/FAF2545_R0C2_THUMBNAIL.jpg', 'https://media.loropiana.com/HYBRIS/FAF/FAF2545/FECE5878-89BA-4D29-A863-71D395D0938D/FAF2545_R0C2_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAF/FAF2545/17A90BBE-FD31-448F-AF5E-ABB2D0F69242/FAF2545_R0C2_LARGE.jpg', 'https://media.loropiana.com/HYBRIS/FAF/FAF2545/D8F9D02C-245A-4191-95BF-8E71B2C474B6/FAF2545_R0C2_MEDIUM.jpg', 'https://media.loropiana.com/HYBRIS/FAF/FAF2545/A0088531-F72D-4EDD-A1CE-3AF14683D059/FAF2545_R0C2_SMALL.jpg']","André Shirt","Linen","['1005|Optical White|https://media.loropiana.com/HYBRIS/FAF/FAF2545/D3DB2863-686B-40CB-A105-A826054CB9B8/FAF2545_1005_BISCOTTO.jpg', '303I|Light Baby Rose|https://media.loropiana.com/HYBRIS/FAF/FAF2545/705702D4-647C-464C-93C9-DE746B50A031/FAF2545_303I_BISCOTTO.jpg', '5J42|Landscape Green|https://media.loropiana.com/HYBRIS/FAF/FAF2545/9DA2EC22-D4EE-40F2-9C90-F25FD306865A/FAF2545_5J42_BISCOTTO.jpg', '60E2|SPRING SKY|https://media.loropiana.com/HYBRIS/FAF/FAF2545/87CDEE04-3CC4-44EC-AEAC-ABB800CC7E5F/FAF2545_60E2_BISCOTTO.jpg', '60HJ|Blue Eyes Flower|https://media.loropiana.com/HYBRIS/FAF/FAF2545/5B2B78FB-27B2-4AE4-8873-09127CF40A40/FAF2545_60HJ_BISCOTTO.jpg', 'D0CP|GRAIN BEIGE|https://media.loropiana.com/HYBRIS/FAF/FAF2545/00E11B70-C8D6-4BCE-A210-099C77EDF30D/FAF2545_D0CP_BISCOTTO.jpg', 'E0B5|Ginseng|https://media.loropiana.com/HYBRIS/FAF/FAF2545/B06DBD19-BB13-4FC0-A7D8-1AABE7FAD1A8/FAF2545_E0B5_BISCOTTO.jpg', 'HE94|Jute|https://media.loropiana.com/HYBRIS/FAF/FAF2545/65F77139-EDEE-472E-97A7-DCBCD734A683/FAF2545_HE94_BISCOTTO.jpg', 'MD58|PELICAN GRAY|https://media.loropiana.com/HYBRIS/FAF/FAF2545/B84E6C70-E57B-432A-B1FD-9B61715525D6/FAF2545_MD58_BISCOTTO.jpg', 'R0C2|Manioc Root|https://media.loropiana.com/HYBRIS/FAF/FAF2545/CC5A956D-1D1E-4637-8CA9-E48772540311/FAF2545_R0C2_BISCOTTO.jpg', 'W000|Navy Blue|https://media.loropiana.com/HYBRIS/FAF/FAF2545/5C5B3E7F-DA6A-4321-92E3-49D84AF8F376/FAF2545_W000_BISCOTTO.jpg', 'W12T|Kurume Blue|https://media.loropiana.com/HYBRIS/FAF/FAF2545/0A8E396C-26D9-4539-8A76-ECF92BC88A61/FAF2545_W12T_BISCOTTO.jpg', 'WE71|Fresh Indigo|https://media.loropiana.com/HYBRIS/FAF/FAF2545/CC2FACAC-28B8-4092-9E55-859D7987883B/FAF2545_WE71_BISCOTTO.jpg', 'WF11|Infinity|https://media.loropiana.com/HYBRIS/FAF/FAF2545/49C975E9-817D-4B83-AF32-057963E7673F/FAF2545_WF11_BISCOTTO.jpg', 'WF29|Stillwater Blue|https://media.loropiana.com/HYBRIS/FAF/FAF2545/8E40F5A5-E275-48E9-9AB4-CFC9E425FF47/FAF2545_WF29_BISCOTTO.jpg', 'WH70|Dark Eclipse|https://media.loropiana.com/HYBRIS/FAF/FAF2545/3E19177F-520D-4A8F-BAD8-6DAE6B77AA8C/FAF2545_WH70_BISCOTTO.jpg']","https:/p/man/shirts/andre-shirt-FAF2545?colorCode=R0C2"
