product_id,product_name,original_price,discounted_price,category,image_urls,product_url,filename
ABMA1268A0TCX2800W01,White cady A-line dress with Marni mending,"$ 1,295",$ 777,,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf6481db2/images/large/ABMA1268A0_TCX28_00W01_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf6481db2/images/large/ABMA1268A0_TCX28_00W01_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf6481db2/images/large/ABMA1268A0_TCX28_00W01_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf6481db2/images/large/ABMA1268A0_TCX28_00W01_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf88a0e09/images/large/ABMA1268A0_TCX28_00W01_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf88a0e09/images/large/ABMA1268A0_TCX28_00W01_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf88a0e09/images/large/ABMA1268A0_TCX28_00W01_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwf88a0e09/images/large/ABMA1268A0_TCX28_00W01_E.jpg?sw=768&q=80 768w",/en-us/dresses-ABMA1268A0TCX2800W01.html,women_ready_to_wear.html
ABMD0215Q0UFV677CHC13,Pink and blue checked techno knit A-line dress,"$ 2,600","$ 1,560",,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw43681a6f/images/large/ABMD0215Q0_UFV677_CHC13_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw43681a6f/images/large/ABMD0215Q0_UFV677_CHC13_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw43681a6f/images/large/ABMD0215Q0_UFV677_CHC13_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw43681a6f/images/large/ABMD0215Q0_UFV677_CHC13_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwc9cf5b22/images/large/ABMD0215Q0_UFV677_CHC13_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwc9cf5b22/images/large/ABMD0215Q0_UFV677_CHC13_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwc9cf5b22/images/large/ABMD0215Q0_UFV677_CHC13_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwc9cf5b22/images/large/ABMD0215Q0_UFV677_CHC13_E.jpg?sw=768&q=80 768w",/en-us/dresses-ABMD0215Q0UFV677CHC13.html,women_ready_to_wear.html
ABMA1263A0UTC379NON99,Black and white cady balloon dress with Nocturnal print,"$ 2,600","$ 1,560",,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw1c1842d0/images/large/ABMA1263A0_UTC379_NON99_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw1c1842d0/images/large/ABMA1263A0_UTC379_NON99_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw1c1842d0/images/large/ABMA1263A0_UTC379_NON99_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw1c1842d0/images/large/ABMA1263A0_UTC379_NON99_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw95e2af8e/images/large/ABMA1263A0_UTC379_NON99_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw95e2af8e/images/large/ABMA1263A0_UTC379_NON99_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw95e2af8e/images/large/ABMA1263A0_UTC379_NON99_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw95e2af8e/images/large/ABMA1263A0_UTC379_NON99_E.jpg?sw=768&q=80 768w",/en-us/dresses-ABMA1263A0UTC379NON99.html,women_ready_to_wear.html
ABMA1163A0UTC327IDV15,Yellow cady cocoon dress with Idyll print,"$ 2,200","$ 1,320",,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dweda9a86f/images/large/ABMA1163A0_UTC327_IDV15_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dweda9a86f/images/large/ABMA1163A0_UTC327_IDV15_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dweda9a86f/images/large/ABMA1163A0_UTC327_IDV15_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dweda9a86f/images/large/ABMA1163A0_UTC327_IDV15_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw4c539e26/images/large/ABMA1163A0_UTC327_IDV15_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw4c539e26/images/large/ABMA1163A0_UTC327_IDV15_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw4c539e26/images/large/ABMA1163A0_UTC327_IDV15_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw4c539e26/images/large/ABMA1163A0_UTC327_IDV15_E.jpg?sw=768&q=80 768w",/en-us/dresses-ABMA1163A0UTC327IDV15.html,women_ready_to_wear.html
GOMA0605A0UTP758IDV15,Yellow taffeta high-waisted skirt with Idyll print,"$ 1,295",$ 777,,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwfdaa82ba/images/large/GOMA0605A0_UTP758_IDV15_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwfdaa82ba/images/large/GOMA0605A0_UTP758_IDV15_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwfdaa82ba/images/large/GOMA0605A0_UTP758_IDV15_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwfdaa82ba/images/large/GOMA0605A0_UTP758_IDV15_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwfffd3ad4/images/large/GOMA0605A0_UTP758_IDV15_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwfffd3ad4/images/large/GOMA0605A0_UTP758_IDV15_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwfffd3ad4/images/large/GOMA0605A0_UTP758_IDV15_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dwfffd3ad4/images/large/GOMA0605A0_UTP758_IDV15_E.jpg?sw=768&q=80 768w",/en-us/skirts-GOMA0605A0UTP758IDV15.html,women_ready_to_wear.html
ABMA1162A0UTP758IDV15,Yellow taffeta midi dress with Idyll print,"$ 2,500","$ 1,500",,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6961006b/images/large/ABMA1162A0_UTP758_IDV15_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6961006b/images/large/ABMA1162A0_UTP758_IDV15_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6961006b/images/large/ABMA1162A0_UTP758_IDV15_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6961006b/images/large/ABMA1162A0_UTP758_IDV15_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw29bb0778/images/large/ABMA1162A0_UTP758_IDV15_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw29bb0778/images/large/ABMA1162A0_UTP758_IDV15_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw29bb0778/images/large/ABMA1162A0_UTP758_IDV15_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw29bb0778/images/large/ABMA1162A0_UTP758_IDV15_E.jpg?sw=768&q=80 768w",/en-us/dresses-ABMA1162A0UTP758IDV15.html,women_ready_to_wear.html
TTMA0289A0UTC378MBV45,White poplin sleeveless top with Mystical Bloom print,$ 735,$ 441,,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6f5dafe7/images/large/TTMA0289A0_UTC378_MBV45_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6f5dafe7/images/large/TTMA0289A0_UTC378_MBV45_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6f5dafe7/images/large/TTMA0289A0_UTC378_MBV45_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6f5dafe7/images/large/TTMA0289A0_UTC378_MBV45_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw02c7b4f5/images/large/TTMA0289A0_UTC378_MBV45_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw02c7b4f5/images/large/TTMA0289A0_UTC378_MBV45_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw02c7b4f5/images/large/TTMA0289A0_UTC378_MBV45_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw02c7b4f5/images/large/TTMA0289A0_UTC378_MBV45_E.jpg?sw=768&q=80 768w",/en-us/shirts-TTMA0289A0UTC378MBV45.html,women_ready_to_wear.html
GOMA0647A0UTC378MBV45,White poplin skirt with Mystical Bloom print,$ 995,$ 597,,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw2ae5c488/images/large/GOMA0647A0_UTC378_MBV45_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw2ae5c488/images/large/GOMA0647A0_UTC378_MBV45_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw2ae5c488/images/large/GOMA0647A0_UTC378_MBV45_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw2ae5c488/images/large/GOMA0647A0_UTC378_MBV45_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw701736ca/images/large/GOMA0647A0_UTC378_MBV45_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw701736ca/images/large/GOMA0647A0_UTC378_MBV45_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw701736ca/images/large/GOMA0647A0_UTC378_MBV45_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw701736ca/images/large/GOMA0647A0_UTC378_MBV45_E.jpg?sw=768&q=80 768w",/en-us/skirts-GOMA0647A0UTC378MBV45.html,women_ready_to_wear.html
ABMA1262A0UTC375ABB44,Blue cotton A-line dress with collage print,"$ 1,550",$ 930,,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw9346ef34/images/large/ABMA1262A0_UTC375_ABB44_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw9346ef34/images/large/ABMA1262A0_UTC375_ABB44_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw9346ef34/images/large/ABMA1262A0_UTC375_ABB44_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw9346ef34/images/large/ABMA1262A0_UTC375_ABB44_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6fb45cf3/images/large/ABMA1262A0_UTC375_ABB44_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6fb45cf3/images/large/ABMA1262A0_UTC375_ABB44_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6fb45cf3/images/large/ABMA1262A0_UTC375_ABB44_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6fb45cf3/images/large/ABMA1262A0_UTC375_ABB44_E.jpg?sw=768&q=80 768w",/en-us/dresses-ABMA1262A0UTC375ABB44.html,women_ready_to_wear.html
CAMA0585A0UTC377REC14,Pink poplin sleeveless shirt with Requiem print,$ 795,$ 477,,"https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw33ad72c4/images/large/CAMA0585A0_UTC377_REC14_F.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw33ad72c4/images/large/CAMA0585A0_UTC377_REC14_F.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw33ad72c4/images/large/CAMA0585A0_UTC377_REC14_F.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw33ad72c4/images/large/CAMA0585A0_UTC377_REC14_F.jpg?sw=768&q=80 768w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6c577ce2/images/large/CAMA0585A0_UTC377_REC14_E.jpg?sw=256&q=80 256w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6c577ce2/images/large/CAMA0585A0_UTC377_REC14_E.jpg?sw=384&q=80 384w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6c577ce2/images/large/CAMA0585A0_UTC377_REC14_E.jpg?sw=512&q=80 512w, https://www.marni.com/dw/image/v2/AAPK_PRD/on/demandware.static/-/Sites-marni-master-catalog/default/dw6c577ce2/images/large/CAMA0585A0_UTC377_REC14_E.jpg?sw=768&q=80 768w",/en-us/shirts-CAMA0585A0UTC377REC14.html,women_ready_to_wear.html
