product_id,product_name,price,category,image_urls,product_url,sale_price,original_price,discount,filename
None,Logo Track Jacket,$685,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-logo-track-jacket_22030552_52306887_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-logo-track-jacket_22030552_52306884_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-logo-track-jacket_22030552_52306881_2048.jpg",https://www.palmangels.com/en-us/shopping/logo-track-jacket-22030552,$445,$685,-35%,men_all_products_1.html
None,Logo Track Pants,$575,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-logo-track-pants_22030563_52968603_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-logo-track-pants_22030563_52968594_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-logo-track-pants_22030563_52968595_2048.jpg",https://www.palmangels.com/en-us/shopping/logo-track-pants-22030563,$374,$575,-35%,men_all_products_1.html
None,Logo Cap,$225,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-logo-cap_22030597_52399044_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-logo-cap_22030597_52399041_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-logo-cap_22030597_52399043_2048.jpg",https://www.palmangels.com/en-us/shopping/logo-cap-22030597,$146,$225,-35%,men_all_products_1.html
None,Pa 4 Sneakers,$620,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-pa-4-sneakers_22030590_52307097_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-pa-4-sneakers_22030590_52307098_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-pa-4-sneakers_22030590_52307100_2048.jpg",https://www.palmangels.com/en-us/shopping/pa-4-sneakers-22030590,,$620,,men_all_products_1.html
None,Back Foggy PA Hoodie,$660,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-back-foggy-pa-hoodie_21777406_51849850_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-back-foggy-pa-hoodie_21777406_51849830_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-back-foggy-pa-hoodie_21777406_51849847_2048.jpg",https://www.palmangels.com/en-us/shopping/back-foggy-pa-hoodie-21777406,$429,$660,-35%,men_all_products_1.html
None,Foggy PA T-Shirt,$490,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-foggy-pa-t-shirt_21777401_51849645_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-foggy-pa-t-shirt_21777401_51849622_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-foggy-pa-t-shirt_21777401_51849643_2048.jpg",https://www.palmangels.com/en-us/shopping/foggy-pa-t-shirt-21777401,$319,$490,-35%,men_all_products_1.html
None,Burning Monogram T-Shirt,$495,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-burning-monogram-t-shirt_21773705_51846944_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-burning-monogram-t-shirt_21773705_51846929_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-burning-monogram-t-shirt_21773705_51846919_2048.jpg",https://www.palmangels.com/en-us/shopping/burning-monogram-t-shirt-21773705,$322,$495,-35%,men_all_products_1.html
None,Burning Monogram Swimshorts,$435,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-burning-monogram-swimshorts_21773734_51847912_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-burning-monogram-swimshorts_21773734_51847890_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-burning-monogram-swimshorts_21773734_51847892_2048.jpg",https://www.palmangels.com/en-us/shopping/burning-monogram-swimshorts-21773734,$283,$435,-35%,men_all_products_1.html
None,Monogram Spray City T-Shirt Los Angels,$295,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-monogram-spray-city-t-shirt-los-angels_22030624_53217654_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-monogram-spray-city-t-shirt-los-angels_22030624_53217650_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-monogram-spray-city-t-shirt-los-angels_22030624_53217647_2048.jpg",https://www.palmangels.com/en-us/shopping/monogram-spray-city-t-shirt-los-angels-22030624,,$295,,men_all_products_1.html
None,Monogram Spray City T-Shirt Paris,$295,men_all_products_1,"https://cdn-images.farfetch-contents.com/palm-angels-monogram-spray-city-t-shirt-paris_22030627_53217690_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-monogram-spray-city-t-shirt-paris_22030627_53217684_2048.jpg, https://cdn-images.farfetch-contents.com/palm-angels-monogram-spray-city-t-shirt-paris_22030627_53217682_2048.jpg",https://www.palmangels.com/en-us/shopping/monogram-spray-city-t-shirt-paris-22030627,,$295,,men_all_products_1.html
