data_pid,id,name,collection,productSMC,material,customization,packshotType,brand,color,colorId,size,price,discountPrice,coupon,subCategory,category,topCategory,productCategory,macroCategory,microCategory,superMicroCategory,list,stock,productGlobalSMC,images,product_url,filename
697941AAAMD1000,697941AAAMD1000,paris vii large flat hobo bag in smooth leather,F_W_2022/F_W_2023/F_W_2024/S_S_2022/S_S_2023/S_S_2024,697941AAAMD1000,,not customizable,image,saint laurent,black,1000,,None,3150,None,view-all-handbags-women,women_jewelry,shop-women,view-all-handbags-women,ysl_macro_women_handbags,ysl_micro_women_handbag_hobo,ysl_super_micro_women_shoulder_bags,,instock,697941AAAMD1000,https://saint-laurent.dam.kering.com/m/1ef2a8ae21db1602/Thumbnail-697941AAAMD1000_A.jpg?v=1,/en-us/all-handbags/paris-vii-large-flat-hobo-bag-in-smooth-leather-697941AAAMD1000.html,women_jewelry.html
758343BL44E1000,758343BL44E1000,double-wrap id bracelet in leather and metal,F_W_2023/F_W_2024/S_S_2024/S_S_2025,758343BL44E1000,,not customizable,image,saint laurent,black and oxidized nickel,1000,,None,350,None,view-all-jewellry-men,women_jewelry,shop-men,view-all-jewellry-men,ysl_macro_men_jewelry,ysl_micro_men_leather_bracelet,ysl_super_micro_men_leather_bracelets,,instock,758343BL44E1000,https://saint-laurent.dam.kering.com/m/494914e8be1fe1e9/Thumbnail-758343BL44E1000_A.jpg?v=2,/en-us/leather-bracelets/double-wrap-id-bracelet-in-leather-and-metal-758343BL44E1000.html,women_jewelry.html
697941AAAMD1000,697941AAAMD1000,paris vii large flat hobo bag in smooth leather,F_W_2022/F_W_2023/F_W_2024/S_S_2022/S_S_2023/S_S_2024,697941AAAMD1000,,not customizable,image,saint laurent,black,1000,,None,3150,None,view-all-handbags-women,women_jewelry,shop-women,view-all-handbags-women,ysl_macro_women_handbags,ysl_micro_women_handbag_hobo,ysl_super_micro_women_shoulder_bags,,instock,697941AAAMD1000,https://saint-laurent.dam.kering.com/m/1ef2a8ae21db1602/Thumbnail-697941AAAMD1000_A.jpg?v=1,/en-us/all-handbags/paris-vii-large-flat-hobo-bag-in-smooth-leather-697941AAAMD1000.html,women_jewelry.html
758343BL44E1000,758343BL44E1000,double-wrap id bracelet in leather and metal,F_W_2023/F_W_2024/S_S_2024/S_S_2025,758343BL44E1000,,not customizable,image,saint laurent,black and oxidized nickel,1000,,None,350,None,view-all-jewellry-men,women_jewelry,shop-men,view-all-jewellry-men,ysl_macro_men_jewelry,ysl_micro_men_leather_bracelet,ysl_super_micro_men_leather_bracelets,,instock,758343BL44E1000,https://saint-laurent.dam.kering.com/m/494914e8be1fe1e9/Thumbnail-758343BL44E1000_A.jpg?v=2,/en-us/leather-bracelets/double-wrap-id-bracelet-in-leather-and-metal-758343BL44E1000.html,women_jewelry.html
712345Y15268066,712345Y15268066,cassandre charm bracelet in metal and rhinestone,F_W_2022/F_W_2024/S_S_2024/S_S_2025,712345Y15268066,,not customizable,image,saint laurent,crystal and gold,8066,,None,475,None,kg-w-gifts,women_jewelry,test-not-online,kg-w-gifts,ysl_macro_women_jewelry,ysl_micro_women_bracelets,ysl_super_micro_women_cuffs_and_bracelet,YSL_PRODUCT LIST PAGE,instock,712345Y15268066,"https://saint-laurent.dam.kering.com/m/15b5a4620ba8dd61/Thumbnail-712345Y15268066_A.jpg?v=1, https://saint-laurent.dam.kering.com/m/15b5a4620ba8dd61/Medium-712345Y15268066_A.jpg?v=1, https://saint-laurent.dam.kering.com/m/7455eb3abb02f71/Large-712345Y15268066_B.jpg?v=1, https://saint-laurent.dam.kering.com/m/15b5a4620ba8dd61/Large-712345Y15268066_A.jpg?v=1, https://saint-laurent.dam.kering.com/m/7455eb3abb02f71/Small-712345Y15268066_B.jpg?v=1, https://saint-laurent.dam.kering.com/m/7455eb3abb02f71/Small_thumbnail-712345Y15268066_B.jpg?v=1, https://saint-laurent.dam.kering.com/m/7455eb3abb02f71/Thumbnail-712345Y15268066_B.jpg?v=1, https://saint-laurent.dam.kering.com/m/7455eb3abb02f71/Medium-712345Y15268066_B.jpg?v=1, https://saint-laurent.dam.kering.com/m/15b5a4620ba8dd61/Small-712345Y15268066_A.jpg?v=1, https://saint-laurent.dam.kering.com/m/15b5a4620ba8dd61/Small_thumbnail-712345Y15268066_A.jpg?v=1",/en-us/cny-collection/cassandre-charm-bracelet-in-metal-and-rhinestone-712345Y15268066.html,women_jewelry.html
635533Y15008096,635533Y15008096,cassandre charm bracelet in metal,F_W_2020/F_W_2021/F_W_2022/F_W_2024/S_S_2021/S_S_2022/S_S_2023,635533Y15008096,,not customizable,image,saint laurent,rose gold,8096,,None,395,None,iconic-jewerly-jp,women_jewelry,shop-women,iconic-jewerly-jp,ysl_macro_women_jewelry,ysl_micro_women_bracelets,,YSL_PRODUCT LIST PAGE,instock,635533Y15008096,"https://saint-laurent.dam.kering.com/m/5891fd374d80056f/Small_thumbnail-635533Y15008096_A.jpg?v=2, https://saint-laurent.dam.kering.com/m/5891fd374d80056f/Medium-635533Y15008096_A.jpg?v=2, https://saint-laurent.dam.kering.com/m/5891fd374d80056f/Small-635533Y15008096_A.jpg?v=2, https://saint-laurent.dam.kering.com/m/5891fd374d80056f/Thumbnail-635533Y15008096_A.jpg?v=2, https://saint-laurent.dam.kering.com/m/5891fd374d80056f/Large-635533Y15008096_A.jpg?v=2",/en-us/cuffs-and-bracelets/cassandre-charm-bracelet-in-metal-635533Y15008096.html,women_jewelry.html
701950Y15269137,701950Y15269137,cassandre heart charm bracelet in metal and rhinestone,F_W_2022/F_W_2023/F_W_2024/S_S_2021/S_S_2022/S_S_2023/S_S_2024/S_S_2025,701950Y15269137,,not customizable,image,saint laurent,aged brass gold,9137,,None,475,None,kg-w-gifts,women_jewelry,test-not-online,kg-w-gifts,ysl_macro_women_jewelry,ysl_micro_women_bracelets,ysl_super_micro_women_cuffs_and_bracelet,YSL_PRODUCT LIST PAGE,instock,701950Y15269137,"https://saint-laurent.dam.kering.com/m/486800d280fbbc36/Thumbnail-701950Y15269137_B.jpg?v=2, https://saint-laurent.dam.kering.com/m/41faf292c91728b0/Thumbnail-701950Y15269137_A.jpg?v=2, https://saint-laurent.dam.kering.com/m/41faf292c91728b0/Medium-701950Y15269137_A.jpg?v=2, https://saint-laurent.dam.kering.com/m/41faf292c91728b0/Small_thumbnail-701950Y15269137_A.jpg?v=2, https://saint-laurent.dam.kering.com/m/486800d280fbbc36/Small-701950Y15269137_B.jpg?v=2, https://saint-laurent.dam.kering.com/m/41faf292c91728b0/Small-701950Y15269137_A.jpg?v=2, https://saint-laurent.dam.kering.com/m/486800d280fbbc36/Medium-701950Y15269137_B.jpg?v=2, https://saint-laurent.dam.kering.com/m/486800d280fbbc36/Small_thumbnail-701950Y15269137_B.jpg?v=2, https://saint-laurent.dam.kering.com/m/41faf292c91728b0/Large-701950Y15269137_A.jpg?v=2, https://saint-laurent.dam.kering.com/m/486800d280fbbc36/Large-701950Y15269137_B.jpg?v=2",/en-us/cuffs-and-bracelets/cassandre-heart-charm-bracelet-in-metal-and-rhinestone-701950Y15269137.html,women_jewelry.html
748486Y15008007,748486Y15008007,cassandre brooch in metal,F_W_2023/F_W_2024/S_S_2023/S_S_2024/S_S_2025,748486Y15008007,,not customizable,image,saint laurent,light satin gold,8007,,None,450,None,kg-w-gifts,women_jewelry,test-not-online,kg-w-gifts,ysl_macro_women_jewelry,ysl_micro_women_brooch,ysl_super_micro_women_brooches,YSL_PRODUCT LIST PAGE,instock,748486Y15008007,"https://saint-laurent.dam.kering.com/m/526c79852c292895/Small-748486Y15008007_C.jpg?v=2, https://saint-laurent.dam.kering.com/m/526c79852c292895/Medium-748486Y15008007_C.jpg?v=2, https://saint-laurent.dam.kering.com/m/35535227812acd65/Small_thumbnail-748486Y15008007_A.jpg?v=3, https://saint-laurent.dam.kering.com/m/526c79852c292895/Large-748486Y15008007_C.jpg?v=2, https://saint-laurent.dam.kering.com/m/35535227812acd65/Large-748486Y15008007_A.jpg?v=3, https://saint-laurent.dam.kering.com/m/4b5db8626d8936e9/Thumbnail-748486Y15008007_B.jpg?v=3, https://saint-laurent.dam.kering.com/m/4b5db8626d8936e9/Small-748486Y15008007_B.jpg?v=3, https://saint-laurent.dam.kering.com/m/526c79852c292895/Small_thumbnail-748486Y15008007_C.jpg?v=2, https://saint-laurent.dam.kering.com/m/4b5db8626d8936e9/Small_thumbnail-748486Y15008007_B.jpg?v=3, https://saint-laurent.dam.kering.com/m/35535227812acd65/Small-748486Y15008007_A.jpg?v=3, https://saint-laurent.dam.kering.com/m/4b5db8626d8936e9/Medium-748486Y15008007_B.jpg?v=3, https://saint-laurent.dam.kering.com/m/526c79852c292895/Thumbnail-748486Y15008007_C.jpg?v=2, https://saint-laurent.dam.kering.com/m/35535227812acd65/Thumbnail-748486Y15008007_A.jpg?v=3, https://saint-laurent.dam.kering.com/m/35535227812acd65/Medium-748486Y15008007_A.jpg?v=3, https://saint-laurent.dam.kering.com/m/4b5db8626d8936e9/Large-748486Y15008007_B.jpg?v=3",/en-us/brooches/cassandre-brooch-in-metal-748486Y15008007.html,women_jewelry.html
746624Y15268066,746624Y15268066,cassandre single earring in metal and rhinestones,F_W_2023/F_W_2024/S_S_2023/S_S_2024,746624Y15268066,,not customizable,image,saint laurent,crystal and gold,8066,,None,325,None,iconic-jewerly-jp,women_jewelry,shop-women,iconic-jewerly-jp,ysl_macro_women_jewelry,ysl_micro_women_earrings,ysl_super_micro_women_earrings,YSL_PRODUCT LIST PAGE,instock,746624Y15268066,"https://saint-laurent.dam.kering.com/m/6db72511a1f14cca/Thumbnail-746624Y15268066_C.jpg?v=8, https://saint-laurent.dam.kering.com/m/753ee05cd5198b0a/Large-746624Y15268066_A.jpg?v=8, https://saint-laurent.dam.kering.com/m/62fdabba83fff91/Thumbnail-746624Y15268066_B.jpg?v=8, https://saint-laurent.dam.kering.com/m/753ee05cd5198b0a/Medium-746624Y15268066_A.jpg?v=8, https://saint-laurent.dam.kering.com/m/753ee05cd5198b0a/Small_thumbnail-746624Y15268066_A.jpg?v=8, https://saint-laurent.dam.kering.com/m/62fdabba83fff91/Medium-746624Y15268066_B.jpg?v=8, https://saint-laurent.dam.kering.com/m/6db72511a1f14cca/Small_thumbnail-746624Y15268066_C.jpg?v=8, https://saint-laurent.dam.kering.com/m/62fdabba83fff91/Small-746624Y15268066_B.jpg?v=8, https://saint-laurent.dam.kering.com/m/753ee05cd5198b0a/Small-746624Y15268066_A.jpg?v=8, https://saint-laurent.dam.kering.com/m/6db72511a1f14cca/Large-746624Y15268066_C.jpg?v=8, https://saint-laurent.dam.kering.com/m/62fdabba83fff91/Large-746624Y15268066_B.jpg?v=8, https://saint-laurent.dam.kering.com/m/753ee05cd5198b0a/Thumbnail-746624Y15268066_A.jpg?v=8, https://saint-laurent.dam.kering.com/m/6db72511a1f14cca/Medium-746624Y15268066_C.jpg?v=8, https://saint-laurent.dam.kering.com/m/62fdabba83fff91/Small_thumbnail-746624Y15268066_B.jpg?v=8, https://saint-laurent.dam.kering.com/m/6db72511a1f14cca/Small-746624Y15268066_C.jpg?v=8",/en-us/earrings/cassandre-single-earring-in-metal-and-rhinestones-746624Y15268066.html,women_jewelry.html
746670Y15008030,746670Y15008030,cassandre single earring in metal,F_W_2023/F_W_2024/S_S_2023/S_S_2024/S_S_2025,746670Y15008030,,not customizable,image,saint laurent,gold,8030,,None,650,None,iconic-jewerly-jp,women_jewelry,shop-women,iconic-jewerly-jp,ysl_macro_women_jewelry,ysl_micro_women_earrings,ysl_super_micro_women_earrings,YSL_PRODUCT LIST PAGE,instock,746670Y15008030,"https://saint-laurent.dam.kering.com/m/456aeadebef0e9fe/Medium-746670Y15008030_C.jpg?v=3, https://saint-laurent.dam.kering.com/m/456aeadebef0e9fe/Small-746670Y15008030_C.jpg?v=3, https://saint-laurent.dam.kering.com/m/651d916d6cfede8f/Medium-746670Y15008030_B.jpg?v=4, https://saint-laurent.dam.kering.com/m/456aeadebef0e9fe/Large-746670Y15008030_C.jpg?v=3, https://saint-laurent.dam.kering.com/m/456aeadebef0e9fe/Thumbnail-746670Y15008030_C.jpg?v=3, https://saint-laurent.dam.kering.com/m/754353331bf90bce/Large-746670Y15008030_A.jpg?v=4, https://saint-laurent.dam.kering.com/m/651d916d6cfede8f/Thumbnail-746670Y15008030_B.jpg?v=4, https://saint-laurent.dam.kering.com/m/651d916d6cfede8f/Large-746670Y15008030_B.jpg?v=4, https://saint-laurent.dam.kering.com/m/754353331bf90bce/Small-746670Y15008030_A.jpg?v=4, https://saint-laurent.dam.kering.com/m/754353331bf90bce/Thumbnail-746670Y15008030_A.jpg?v=4, https://saint-laurent.dam.kering.com/m/651d916d6cfede8f/Small-746670Y15008030_B.jpg?v=4, https://saint-laurent.dam.kering.com/m/456aeadebef0e9fe/Small_thumbnail-746670Y15008030_C.jpg?v=3, https://saint-laurent.dam.kering.com/m/754353331bf90bce/Medium-746670Y15008030_A.jpg?v=4, https://saint-laurent.dam.kering.com/m/754353331bf90bce/Small_thumbnail-746670Y15008030_A.jpg?v=4, https://saint-laurent.dam.kering.com/m/651d916d6cfede8f/Small_thumbnail-746670Y15008030_B.jpg?v=4",/en-us/earrings/cassandre-single-earring-in-metal-746670Y15008030.html,women_jewelry.html
