category,product_title,product_price,product_discountedPrice,product_position,product_cod10,product_brand,product_category,product_macro_category,product_micro_category,product_macro_category_id,product_color,product_color_id,product_micro_category_id,product_price_tf,product_discountedPrice_tf,product_quantity,product_coupon,product_is_in_stock,a_href,img,filename
accessories,99840,190,190,0,46979624BD,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Sky Blue,20728,1261,190.0,190.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod46979624bd.html#dept=ccssrss,https://cdn.yoox.biz/46/46979624BD_13_f.jpg,accessories.html
accessories,99227 LIGHT SOFT SHELL-R_e.dye® TECHNOLOGY IN RECYCLED POLYESTER,183,183,1,46977227HI,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Musk Green,20718,1261,183.0,183.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod46977227hi.html#dept=ccssrss,https://cdn.yoox.biz/46/46977227HI_13_f.jpg,accessories.html
accessories,94772,243,243,2,46977218VM,STONE ISLAND,229/1262,ACCESSORIES,Belt,229,Black,3138,1262,243.0,243.0,1,,True,https://www.stoneisland.com/us/stone-island/belt_cod46977218vm.html#dept=ccssrss,https://cdn.yoox.biz/46/46977218VM_13_f.jpg,accessories.html
accessories,94873,203,203,3,46977187NV,STONE ISLAND,229/1262,ACCESSORIES,Belt,229,Dove Gray,3211,1262,203.0,203.0,1,,True,https://www.stoneisland.com/us/stone-island/belt_cod46977187nv.html#dept=ccssrss,https://cdn.yoox.biz/46/46977187NV_13_f.jpg,accessories.html
accessories,94164,385,385,4,46977185HA,STONE ISLAND,229/1262,ACCESSORIES,Belt,229,Black,3138,1262,385.0,385.0,1,,True,https://www.stoneisland.com/us/stone-island/belt_cod46977185ha.html#dept=ccssrss,https://cdn.yoox.biz/46/46977185HA_13_f.jpg,accessories.html
accessories,94071,203,203,5,46977183VC,STONE ISLAND,229/1262,ACCESSORIES,Belt,229,Ecru,20695,1262,203.0,203.0,1,,True,https://www.stoneisland.com/us/stone-island/belt_cod46977183vc.html#dept=ccssrss,https://cdn.yoox.biz/46/46977183VC_13_f.jpg,accessories.html
accessories,N02D7 RIBBED SOFT ORGANIC COTTON,190,190,6,46977180AV,STONE ISLAND,229/36846,ACCESSORIES,Hat,229,Musk Green,20718,36846,190.0,190.0,1,,True,https://www.stoneisland.com/us/stone-island/hat_cod46977180av.html#dept=ccssrss,https://cdn.yoox.biz/46/46977180AV_13_f.jpg,accessories.html
accessories,N01D4,235,235,7,46977178KV,STONE ISLAND,229/36846,ACCESSORIES,Hat,229,Sky Blue,20728,36846,235.0,235.0,1,,True,https://www.stoneisland.com/us/stone-island/hat_cod46977178kv.html#dept=ccssrss,https://cdn.yoox.biz/46/46977178KV_13_f.jpg,accessories.html
accessories,99576 NYLON METAL IN ECONYL® REGENERATED NYLON ,190,190,8,46977174OD,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Lavender,20709,1261,190.0,190.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod46977174od.html#dept=ccssrss,https://cdn.yoox.biz/46/46977174OD_13_f.jpg,accessories.html
accessories,912G7 STONE ISLAND STELLINA,183,183,9,46977172JK,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Dove Gray,3211,1261,183.0,183.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod46977172jk.html#dept=ccssrss,https://cdn.yoox.biz/46/46977172JK_13_f.jpg,accessories.html
accessories,99376 NYLON METAL IN ECONYL® REGENERATED NYLON ,203,203,10,46977155KL,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Lavender,20709,1261,203.0,203.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod46977155kl.html#dept=ccssrss,https://cdn.yoox.biz/46/46977155KL_13_f.jpg,accessories.html
accessories,99461,173,173,11,46977153LL,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Rust,3202,1261,173.0,173.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod46977153ll.html#dept=ccssrss,https://cdn.yoox.biz/46/46977153LL_13_f.jpg,accessories.html
accessories,99661,150,150,12,46977150UB,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,White,3137,1261,150.0,150.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod46977150ub.html#dept=ccssrss,https://cdn.yoox.biz/46/46977150UB_13_f.jpg,accessories.html
accessories,99961,165,165,13,46977146VA,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Military Green,3154,1261,165.0,165.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod46977146va.html#dept=ccssrss,https://cdn.yoox.biz/46/46977146VA_13_f.jpg,accessories.html
accessories,99761,150,150,14,46977145SU,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Blue,3148,1261,150.0,150.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod46977145su.html#dept=ccssrss,https://cdn.yoox.biz/46/46977145SU_13_f.jpg,accessories.html
accessories,93366,263,263,15,46977033BE,STONE ISLAND,229/29740,ACCESSORIES,Towelling Robe,229,Avio Blue,3178,29740,263.0,263.0,1,,True,https://www.stoneisland.com/us/stone-island/towelling-robe_cod46977033be.html#dept=ccssrss,https://cdn.yoox.biz/46/46977033BE_13_f.jpg,accessories.html
accessories,99661,150,150,16,31035101QA,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Blue,3148,1261,150.0,150.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod31035101qa.html#dept=ccssrss,https://cdn.yoox.biz/31/31035101QA_13_f.jpg,accessories.html
accessories,912G7 STONE ISLAND STELLINA,183,183,17,31025221LV,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,White,3137,1261,183.0,183.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod31025221lv.html#dept=ccssrss,https://cdn.yoox.biz/31/31025221LV_13_f.jpg,accessories.html
accessories,912G7 STONE ISLAND STELLINA,183,183,18,31025218VS,STONE ISLAND,229/1261,ACCESSORIES,Cap,229,Black,3138,1261,183.0,183.0,1,,True,https://www.stoneisland.com/us/stone-island/cap_cod31025218vs.html#dept=ccssrss,https://cdn.yoox.biz/31/31025218VS_13_f.jpg,accessories.html
bags,90730 LINO NYLON TELA-TC,593,593,0,45861061CT,STONE ISLAND,228/1283,BAGS,Backpack,228,Black,3138,1283,593.0,593.0,1,,True,https://www.stoneisland.com/us/stone-island/backpack_cod45861061ct.html#dept=bgssss,https://cdn.yoox.biz/45/45861061CT_13_f.jpg,bags.html
bags,90730 LINO NYLON TELA-TC,593,593,1,45861062MD,STONE ISLAND,228/1283,BAGS,Backpack,228,Light Green,3209,1283,593.0,593.0,1,,True,https://www.stoneisland.com/us/stone-island/backpack_cod45861062md.html#dept=bgssss,https://cdn.yoox.biz/45/45861062MD_13_f.jpg,bags.html
bags,90730 LINO NYLON TELA-TC,593,593,2,46976983DL,STONE ISLAND,228/1283,BAGS,Backpack,228,Pink,3143,1283,593.0,593.0,1,,True,https://www.stoneisland.com/us/stone-island/backpack_cod46976983dl.html#dept=bgssss,https://cdn.yoox.biz/46/46976983DL_13_f.jpg,bags.html
bags,90730 LINO NYLON TELA-TC,593,593,3,45861063SU,STONE ISLAND,228/1283,BAGS,Backpack,228,Dove Gray,3211,1283,593.0,593.0,1,,True,https://www.stoneisland.com/us/stone-island/backpack_cod45861063su.html#dept=bgssss,https://cdn.yoox.biz/45/45861063SU_13_f.jpg,bags.html
bags,911X5 STONE ISLAND MARINA,488,488,4,45861060UI,STONE ISLAND,228/41300,BAGS,Bag,228,Royal Blue,20736,41300,488.0,488.0,1,,True,https://www.stoneisland.com/us/stone-island/bag_cod45861060ui.html#dept=bgssss,https://cdn.yoox.biz/45/45861060UI_13_f.jpg,bags.html
bags,911X5 STONE ISLAND MARINA,488,488,5,45816574TN,STONE ISLAND,228/41300,BAGS,Bag,228,Pink,3143,41300,488.0,488.0,1,,True,https://www.stoneisland.com/us/stone-island/bag_cod45816574tn.html#dept=bgssss,https://cdn.yoox.biz/45/45816574TN_13_f.jpg,bags.html
books,STONE ISLAND: STORIA,90,90,0,56004338DC,STONE ISLAND,238/41307,BOOKS,BOOK,238,Multicolor,39105,41307,90.0,90.0,1,,True,https://www.stoneisland.com/us/stone-island/book_cod56004338dc.html#dept=bksss,https://cdn.yoox.biz/56/56004338DC_13_f.jpg,books.html
books,ARCHIVIO ’982–’012,160,160,1,56004305VE,STONE ISLAND,238/41307,BOOKS,BOOK,238,Multicolor,39105,41307,160.0,160.0,1,,True,https://www.stoneisland.com/us/stone-island/book_cod56004305ve.html#dept=bksss,https://cdn.yoox.biz/56/56004305VE_13_f.jpg,books.html
classic_hues,62656,385,385,0,43202130VB,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Sky Blue,20728,1457,385.0,385.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202130vb.html#dept=clsscs,https://cdn.yoox.biz/43/43202130VB_13_f.jpg,classic_hues.html
classic_hues,70323 MEMBRANA 3L TC,1113,1113,1,16306903SA,STONE ISLAND,224/36845,COATS & JACKETS,LONG JACKET,224,Blue,3148,36845,1113.0,1113.0,1,,True,https://www.stoneisland.com/us/stone-island/long-jacket_cod16306903sa.html#dept=clsscs,https://cdn.yoox.biz/16/16306903SA_13_f.jpg,classic_hues.html
classic_hues,2RC88 'REFLECTIVE TWO' PRINT,195,195,2,10350169OF,STONE ISLAND,220/1467,Polo - T-Shirts,Short sleeve t-shirt,220,Dust Gray,20738,1467,195.0,195.0,1,,True,https://www.stoneisland.com/us/stone-island/short-sleeve-t-shirt_cod10350169of.html#dept=clsscs,https://cdn.yoox.biz/10/10350169OF_13_f.jpg,classic_hues.html
classic_hues,302WA ‘OLD’ TREATMENT,385,385,3,30216086TJ,STONE ISLAND,2208/29321,PANTS,TROUSERS,2208,Dove Gray,3211,29321,385.0,385.0,1,,True,https://www.stoneisland.com/us/stone-island/trousers_cod30216086tj.html#dept=clsscs,https://cdn.yoox.biz/30/30216086TJ_13_f.jpg,classic_hues.html
classic_hues,41626 MICRO TWILL ,850,850,4,16306656FF,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Dove Gray,3211,36839,850.0,850.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16306656ff.html#dept=clsscs,https://cdn.yoox.biz/16/16306656FF_13_f.jpg,classic_hues.html
classic_hues,506B0,550,550,5,14414763PN,STONE ISLAND,222/1405,SWEATERS,Sweater,222,Blue,3148,1405,550.0,550.0,1,,True,https://www.stoneisland.com/us/stone-island/sweater_cod14414763pn.html#dept=clsscs,https://cdn.yoox.biz/14/14414763PN_13_f.jpg,classic_hues.html
classic_hues,311WA 'OLD' TREATMENT,488,488,6,30215738WK,STONE ISLAND,2208/29321,PANTS,TROUSERS,2208,Dust Gray,20738,29321,488.0,488.0,1,,True,https://www.stoneisland.com/us/stone-island/trousers_cod30215738wk.html#dept=clsscs,https://cdn.yoox.biz/30/30215738WK_13_f.jpg,classic_hues.html
classic_hues,60755,460,460,7,43202178GE,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Musk Green,20718,1457,460.0,460.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202178ge.html#dept=clsscs,https://cdn.yoox.biz/43/43202178GE_13_f.jpg,classic_hues.html
classic_hues,70526 MICRO TWILL ,1038,1038,8,16306911SI,STONE ISLAND,224/36845,COATS & JACKETS,LONG JACKET,224,Dove Gray,3211,36845,1038.0,1038.0,1,,True,https://www.stoneisland.com/us/stone-island/long-jacket_cod16306911si.html#dept=clsscs,https://cdn.yoox.biz/16/16306911SI_13_f.jpg,classic_hues.html
classic_hues,562B1,473,473,9,14414438HP,STONE ISLAND,222/1405,SWEATERS,Sweater,222,Black,3138,1405,473.0,473.0,1,,True,https://www.stoneisland.com/us/stone-island/sweater_cod14414438hp.html#dept=clsscs,https://cdn.yoox.biz/14/14414438HP_13_f.jpg,classic_hues.html
classic_hues,62756,420,420,10,43202131MM,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Black,3138,1457,420.0,420.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202131mm.html#dept=clsscs,https://cdn.yoox.biz/43/43202131MM_13_f.jpg,classic_hues.html
classic_hues,40525 SKIN TOUCH NYLON-TC WITH PRIMALOFT®-TC,893,893,11,16307494VT,STONE ISLAND,224/28298,COATS & JACKETS,BOMBER,224,Black,3138,28298,893.0,893.0,1,,True,https://www.stoneisland.com/us/stone-island/bomber_cod16307494vt.html#dept=clsscs,https://cdn.yoox.biz/16/16307494VT_13_f.jpg,classic_hues.html
classic_hues,561B1,618,618,12,14414266NW,STONE ISLAND,222/1405,SWEATERS,Sweater,222,Blue,3148,1405,618.0,618.0,1,,True,https://www.stoneisland.com/us/stone-island/sweater_cod14414266nw.html#dept=clsscs,https://cdn.yoox.biz/14/14414266NW_13_f.jpg,classic_hues.html
classic_hues,2NS84 'INSTITUTIONAL ONE' PRINT,210,210,13,10350350JC,STONE ISLAND,220/1467,Polo - T-Shirts,Short sleeve t-shirt,220,White,3137,1467,210.0,210.0,1,,True,https://www.stoneisland.com/us/stone-island/short-sleeve-t-shirt_cod10350350jc.html#dept=clsscs,https://cdn.yoox.biz/10/10350350JC_13_f.jpg,classic_hues.html
classic_hues,65860 ‘OLD’ TREATMENT,445,445,14,43202146CW,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Light Green,3209,1457,445.0,445.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202146cw.html#dept=clsscs,https://cdn.yoox.biz/43/43202146CW_13_f.jpg,classic_hues.html
classic_hues,20457 'FISSATO' TREATMENT,248,248,15,10349837ET,STONE ISLAND,220/1467,Polo - T-Shirts,Short sleeve t-shirt,220,Dove Gray,3211,1467,248.0,248.0,1,,True,https://www.stoneisland.com/us/stone-island/short-sleeve-t-shirt_cod10349837et.html#dept=clsscs,https://cdn.yoox.biz/10/10349837ET_13_f.jpg,classic_hues.html
classic_hues,42610 SUPIMA® COTTON TWILL STRETCH-TC,723,723,16,16307471DV,STONE ISLAND,224/36839,COATS & JACKETS,LIGHTWEIGHT JACKET,224,Sand,3170,36839,723.0,723.0,1,,True,https://www.stoneisland.com/us/stone-island/lightweight-jacket_cod16307471dv.html#dept=clsscs,https://cdn.yoox.biz/16/16307471DV_13_f.jpg,classic_hues.html
classic_hues,66762 ‘INSTITUTIONAL TWO' PRINT,405,405,17,30215608QV,STONE ISLAND,2208/1462,PANTS,Fleece Pants,2208,Sky Blue,20728,1462,405.0,405.0,1,,True,https://www.stoneisland.com/us/stone-island/fleece-pants_cod30215608qv.html#dept=clsscs,https://cdn.yoox.biz/30/30215608QV_13_f.jpg,classic_hues.html
classic_hues,22044,330,330,18,10350294ST,STONE ISLAND,220/1467,Polo - T-Shirts,Short sleeve t-shirt,220,Black,3138,1467,330.0,330.0,1,,True,https://www.stoneisland.com/us/stone-island/short-sleeve-t-shirt_cod10350294st.html#dept=clsscs,https://cdn.yoox.biz/10/10350294ST_13_f.jpg,classic_hues.html
classic_hues,64551,385,385,19,30215617VS,STONE ISLAND,2208/1462,PANTS,Fleece Pants,2208,Avio Blue,3178,1462,385.0,385.0,1,,True,https://www.stoneisland.com/us/stone-island/fleece-pants_cod30215617vs.html#dept=clsscs,https://cdn.yoox.biz/30/30215617VS_13_f.jpg,classic_hues.html
fleecewear,"636T3 70% RECYCLED COTTON FLEECE, TINTO TERRA",708,708,0,43202128CQ,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Ecru,20695,1457,708.0,708.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202128cq.html#dept=flcwrss,https://cdn.yoox.biz/43/43202128CQ_13_f.jpg,fleecewear.html
fleecewear,"617T3 70% RECYCLED COTTON FLEECE, TINTO TERRA",498,498,1,43202134KD,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Rust,3202,1457,498.0,498.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202134kd.html#dept=flcwrss,https://cdn.yoox.biz/43/43202134KD_13_f.jpg,fleecewear.html
fleecewear,"617T3 70% RECYCLED COTTON FLEECE, TINTO TERRA",498,498,2,43202250TB,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Pistachio Green,20714,1457,498.0,498.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202250tb.html#dept=flcwrss,https://cdn.yoox.biz/43/43202250TB_13_f.jpg,fleecewear.html
fleecewear,"636T3 70% RECYCLED COTTON FLEECE, TINTO TERRA",708,708,3,43202261UG,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Dust Gray,20738,1457,708.0,708.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202261ug.html#dept=flcwrss,https://cdn.yoox.biz/43/43202261UG_13_f.jpg,fleecewear.html
fleecewear,"617T3 70% RECYCLED COTTON FLEECE, TINTO TERRA",498,498,4,43202269IR,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Dust Gray,20738,1457,498.0,498.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202269ir.html#dept=flcwrss,https://cdn.yoox.biz/43/43202269IR_13_f.jpg,fleecewear.html
fleecewear,62656,385,385,5,43202130VB,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Sky Blue,20728,1457,385.0,385.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202130vb.html#dept=flcwrss,https://cdn.yoox.biz/43/43202130VB_13_f.jpg,fleecewear.html
fleecewear,64351,413,413,6,43202144JG,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Dove Gray,3211,1457,413.0,413.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202144jg.html#dept=flcwrss,https://cdn.yoox.biz/43/43202144JG_13_f.jpg,fleecewear.html
fleecewear,64251,453,453,7,43202148QW,STONE ISLAND,226/1457,FLEECEWEAR,Sweatshirt,226,Lavender,20709,1457,453.0,453.0,1,,True,https://www.stoneisland.com/us/stone-island/sweatshirt_cod43202148qw.html#dept=flcwrss,https://cdn.yoox.biz/43/43202148QW_13_f.jpg,fleecewear.html
