product_id,product_name,price,category,image_urls,product_url,sale_price,original_price,discount,filename
8185Y751LIKZ,Stripe Towel in Cashmere,"$1,100",men_accessories,", , //www.therow.com/cdn/shop/files/8185Y751LIKZ_600x.jpg?v=1714246893, //www.therow.com/cdn/shop/files/8185Y751LIKF_600x.jpg?v=1712689111",/products/stripe-towel-red,,"$1,100",,Yes,men_accessories.html
8057Y751LIKZ,Ghali Robe in Cashmere,"$5,900",men_accessories,", , //www.therow.com/cdn/shop/files/8057Y751LIKZ_600x.jpg?v=1714246862, //www.therow.com/cdn/shop/files/8057Y751LIKF_600x.jpg?v=1713883330",/products/ghali-robe-red,,"$5,900",,No,men_accessories.html
8185Y751BLKZ,Stripe Towel in Cashmere,"$1,100",men_accessories,", , //www.therow.com/cdn/shop/files/8185Y751BLKZ_600x.jpg?v=1714247088, //www.therow.com/cdn/shop/files/8185Y751BLKF_600x.jpg?v=1712689094",/products/stripe-towel-black,,"$1,100",,Yes,men_accessories.html
8057Y751BLKZ,Ghali Robe in Cashmere,"$5,900",men_accessories,", , //www.therow.com/cdn/shop/files/8057Y751BLKZ_600x.jpg?v=1714247006, //www.therow.com/cdn/shop/files/8057Y751BLKF_600x.jpg?v=1712685967",/products/ghali-robe-black,,"$5,900",,No,men_accessories.html
W1296W255BLPLZ,Sporty Backpack in Nylon,"$1,420",men_accessories,", , //www.therow.com/cdn/shop/files/W1296W255BLPLZ_600x.jpg?v=1712688953, //www.therow.com/cdn/shop/files/W1296W255BLPLF_600x.jpg?v=1712702727",/products/sporty-backpack-black-1,,"$1,420",,Yes,men_accessories.html
W1296W255TANPZ,Sporty Backpack in Nylon,"$1,420",men_accessories,", , //www.therow.com/cdn/shop/files/W1296W255TANPZ_600x.jpg?v=1714239110, //www.therow.com/cdn/shop/files/W1296W255TANPF_600x.jpg?v=1712688979",/products/sporty-backpack-tan-pld,,"$1,420",,Yes,men_accessories.html
W1336L100BLPLZ,Sporty Pouch in Leather,$920,men_accessories,", , //www.therow.com/cdn/shop/files/W1336L100BLPLZ_600x.jpg?v=1714248471, //www.therow.com/cdn/shop/files/W1336L100BLPLF_600x.jpg?v=1712702775",/products/sporty-pouch-black-1,,$920,,No,men_accessories.html
W1336L100LTYZ,Sporty Pouch in Leather,$920,men_accessories,", , //www.therow.com/cdn/shop/files/W1336L100LTYZ_600x.jpg?v=1714245573, //www.therow.com/cdn/shop/files/W1336L100LTYF_600x.jpg?v=1712702789",/products/sporty-pouch-light-yellow-pld,,$920,,No,men_accessories.html
8203P83BEIZ,Small Flower Towel in Cotton,$300,men_accessories,", , //www.therow.com/cdn/shop/files/8203P83BEIZ_600x.jpg?v=1713886480, //www.therow.com/cdn/shop/files/8203P83BEIF_600x.jpg?v=1713886480",/products/small-flower-towel-beige,,$300,,No,men_accessories.html
8208P78BEIZ,Large Flower Towel in Cotton,$600,men_accessories,", , //www.therow.com/cdn/shop/files/8208P78BEIZ_600x.jpg?v=1712686860, //www.therow.com/cdn/shop/files/8208P78BEIF_600x.jpg?v=1712686914",/products/large-flower-towel-beige,,$600,,Yes,men_accessories.html
8203P83WHTZ,Small Flower Towel in Cotton,$300,men_accessories,", , //www.therow.com/cdn/shop/files/8203P83WHTZ_600x.jpg?v=1712688370, //www.therow.com/cdn/shop/files/8203P83WHTF_600x.jpg?v=1712688383",/products/small-flower-towel-white,,$300,,No,men_accessories.html
8208P78WHTZ,Large Flower Towel in Cotton,$600,men_accessories,", , //www.therow.com/cdn/shop/files/8208P78WHTZ_600x.jpg?v=1712686900, //www.therow.com/cdn/shop/files/8208P78WHTF_600x.jpg?v=1712686900",/products/large-flower-towel-white,,$600,,No,men_accessories.html
