product_id,product_name,price,category,image_urls,product_url,colors,filename
X5MB3495530VDNU808,T-shirt in Jersey,$445,men_ready_to_wear,"//www.tods.com/fashion/tods/X5MB3495530VDNU808/X5MB3495530VDNU808-30.jpg?imwidth=950, //www.tods.com/fashion/tods/X5MB3495530VDNU808/X5MB3495530VDNU808-30.jpg?imwidth=820, //www.tods.com/fashion/tods/X5MB3495530VDNU808/X5MB3495530VDNU808-30.jpg?imwidth=624, //www.tods.com/fashion/tods/X5MB3495530VDNU808/X5MB3495530VDNU808-30.jpg?imwidth=496, //www.tods.com/fashion/tods/X5MB3495530VDNU808/X5MB3495530VDNU808-30.jpg?imwidth=750, //www.tods.com/fashion/tods/X5MB3495530VDNU808/X5MB3495530VDNU808-30.jpg?imwidth=475",https://www.tods.com/us-en/T-shirt-in-Jersey/p/X5MB3495530VDNU808/,BLUE,men_ready_to_wear.html
X8MC1498010WFUC414,T-shirt in Linen Knit,$825,men_ready_to_wear,"//www.tods.com/fashion/tods/X8MC1498010WFUC414/X8MC1498010WFUC414-30.jpg?imwidth=950, //www.tods.com/fashion/tods/X8MC1498010WFUC414/X8MC1498010WFUC414-30.jpg?imwidth=820, //www.tods.com/fashion/tods/X8MC1498010WFUC414/X8MC1498010WFUC414-30.jpg?imwidth=624, //www.tods.com/fashion/tods/X8MC1498010WFUC414/X8MC1498010WFUC414-30.jpg?imwidth=496, //www.tods.com/fashion/tods/X8MC1498010WFUC414/X8MC1498010WFUC414-30.jpg?imwidth=750, //www.tods.com/fashion/tods/X8MC1498010WFUC414/X8MC1498010WFUC414-30.jpg?imwidth=475",https://www.tods.com/us-en/T-shirt-in-Linen-Knit/p/X8MC1498010WFUC414/,Beige,men_ready_to_wear.html
X5MB2495500WGDU807,Polo Shirt in Piquet,$575,men_ready_to_wear,"//www.tods.com/fashion/tods/X5MB2495500WGDU807/X5MB2495500WGDU807-30.jpg?imwidth=950, //www.tods.com/fashion/tods/X5MB2495500WGDU807/X5MB2495500WGDU807-30.jpg?imwidth=820, //www.tods.com/fashion/tods/X5MB2495500WGDU807/X5MB2495500WGDU807-30.jpg?imwidth=624, //www.tods.com/fashion/tods/X5MB2495500WGDU807/X5MB2495500WGDU807-30.jpg?imwidth=496, //www.tods.com/fashion/tods/X5MB2495500WGDU807/X5MB2495500WGDU807-30.jpg?imwidth=750, //www.tods.com/fashion/tods/X5MB2495500WGDU807/X5MB2495500WGDU807-30.jpg?imwidth=475",https://www.tods.com/us-en/Polo-Shirt-in-Piquet/p/X5MB2495500WGDU807/,BLUE,men_ready_to_wear.html
X5MB2495500WGDB003,Polo Shirt in Piquet,$575,men_ready_to_wear,"//www.tods.com/fashion/tods/X5MB2495500WGDB003/X5MB2495500WGDB003-30.jpg?imwidth=950, //www.tods.com/fashion/tods/X5MB2495500WGDB003/X5MB2495500WGDB003-30.jpg?imwidth=820, //www.tods.com/fashion/tods/X5MB2495500WGDB003/X5MB2495500WGDB003-30.jpg?imwidth=624, //www.tods.com/fashion/tods/X5MB2495500WGDB003/X5MB2495500WGDB003-30.jpg?imwidth=496, //www.tods.com/fashion/tods/X5MB2495500WGDB003/X5MB2495500WGDB003-30.jpg?imwidth=750, //www.tods.com/fashion/tods/X5MB2495500WGDB003/X5MB2495500WGDB003-30.jpg?imwidth=475",https://www.tods.com/us-en/Polo-Shirt-in-Piquet/p/X5MB2495500WGDB003/,WHITE,men_ready_to_wear.html
X3M81484090WDJU805,Pants With Darts,075 Reduced price $645,men_ready_to_wear,"//www.tods.com/fashion/tods/X3M81484090WDJU805/X3M81484090WDJU805-30.jpg?imwidth=950, //www.tods.com/fashion/tods/X3M81484090WDJU805/X3M81484090WDJU805-30.jpg?imwidth=820, //www.tods.com/fashion/tods/X3M81484090WDJU805/X3M81484090WDJU805-30.jpg?imwidth=624, //www.tods.com/fashion/tods/X3M81484090WDJU805/X3M81484090WDJU805-30.jpg?imwidth=496, //www.tods.com/fashion/tods/X3M81484090WDJU805/X3M81484090WDJU805-30.jpg?imwidth=750, //www.tods.com/fashion/tods/X3M81484090WDJU805/X3M81484090WDJU805-30.jpg?imwidth=475",https://www.tods.com/us-en/Pants-With-Darts/p/X3M81484090WDJU805/,BLUE,men_ready_to_wear.html
X9MF2489020WMRU808,BLUE,$395,men_ready_to_wear,"//www.tods.com/fashion/tods/X9MF2489020WMRU808/X9MF2489020WMRU808-01.jpg?imwidth=950, //www.tods.com/fashion/tods/X9MF2489020WMRU808/X9MF2489020WMRU808-01.jpg?imwidth=820, //www.tods.com/fashion/tods/X9MF2489020WMRU808/X9MF2489020WMRU808-01.jpg?imwidth=624, //www.tods.com/fashion/tods/X9MF2489020WMRU808/X9MF2489020WMRU808-01.jpg?imwidth=496, //www.tods.com/fashion/tods/X9MF2489020WMRU808/X9MF2489020WMRU808-01.jpg?imwidth=750, //www.tods.com/fashion/tods/X9MF2489020WMRU808/X9MF2489020WMRU808-01.jpg?imwidth=475",https://www.tods.com/us-en/Scarf-in-Wool/p/X9MF2489020WMRU808/,$395,men_ready_to_wear.html
X6MA1486060WCEB001,Shirt in Linen,$495 Reduced price $297,men_ready_to_wear,"//www.tods.com/fashion/tods/X6MA1486060WCEB001/X6MA1486060WCEB001-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X6MA1486060WCEB001/X6MA1486060WCEB001-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X6MA1486060WCEB001/X6MA1486060WCEB001-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X6MA1486060WCEB001/X6MA1486060WCEB001-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X6MA1486060WCEB001/X6MA1486060WCEB001-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X6MA1486060WCEB001/X6MA1486060WCEB001-34.jpg?imwidth=475",https://www.tods.com/us-en/Shirt-in-Linen/p/X6MA1486060WCEB001/,WHITE,men_ready_to_wear.html
X6MA1486060WCEU805,Shirt in Linen,$495 Reduced price $297,men_ready_to_wear,"//www.tods.com/fashion/tods/X6MA1486060WCEU805/X6MA1486060WCEU805-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X6MA1486060WCEU805/X6MA1486060WCEU805-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X6MA1486060WCEU805/X6MA1486060WCEU805-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X6MA1486060WCEU805/X6MA1486060WCEU805-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X6MA1486060WCEU805/X6MA1486060WCEU805-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X6MA1486060WCEU805/X6MA1486060WCEU805-34.jpg?imwidth=475",https://www.tods.com/us-en/Shirt-in-Linen/p/X6MA1486060WCEU805/,BLUE,men_ready_to_wear.html
X1M12480060WBPB016,Hooded Blouson,365,men_ready_to_wear,"//www.tods.com/fashion/tods/X1M12480060WBPB016/X1M12480060WBPB016-34.jpg?imwidth=950, //www.tods.com/fashion/tods/X1M12480060WBPB016/X1M12480060WBPB016-34.jpg?imwidth=820, //www.tods.com/fashion/tods/X1M12480060WBPB016/X1M12480060WBPB016-34.jpg?imwidth=624, //www.tods.com/fashion/tods/X1M12480060WBPB016/X1M12480060WBPB016-34.jpg?imwidth=496, //www.tods.com/fashion/tods/X1M12480060WBPB016/X1M12480060WBPB016-34.jpg?imwidth=750, //www.tods.com/fashion/tods/X1M12480060WBPB016/X1M12480060WBPB016-34.jpg?imwidth=475",https://www.tods.com/us-en/Hooded-Blouson/p/X1M12480060WBPB016/,GREY,men_ready_to_wear.html
X3M81484090RORB002,Pants With Darts,$945 Reduced price $567,men_ready_to_wear,"//www.tods.com/fashion/tods/X3M81484090RORB002/X3M81484090RORB002-30.jpg?imwidth=950, //www.tods.com/fashion/tods/X3M81484090RORB002/X3M81484090RORB002-30.jpg?imwidth=820, //www.tods.com/fashion/tods/X3M81484090RORB002/X3M81484090RORB002-30.jpg?imwidth=624, //www.tods.com/fashion/tods/X3M81484090RORB002/X3M81484090RORB002-30.jpg?imwidth=496, //www.tods.com/fashion/tods/X3M81484090RORB002/X3M81484090RORB002-30.jpg?imwidth=750, //www.tods.com/fashion/tods/X3M81484090RORB002/X3M81484090RORB002-30.jpg?imwidth=475",https://www.tods.com/us-en/Pants-With-Darts/p/X3M81484090RORB002/,WHITE,men_ready_to_wear.html
