product_id,product_name,price,category,image_urls,product_url,colors,status,filename
WB0Q33DLB_ZS5,VALENTINO GARAVANI ESCAPE LARGE RAFFIA SHOPPING BAG,2100.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/cb492ce2-6388-4981-8dfc-00b783898f8e/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-LARGE-RAFFIA-SHOPPING-BAG?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/09d3b865-3fd3-4ba2-88e9-7ddc5fad5b3d/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-LARGE-RAFFIA-SHOPPING-BAG?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-valentino-garavani-escape-large-raffia-shopping-bag-WB0Q33DLB_ZS5,NATURAL/TOBACCO,online,women_shoes.html
WP0AE9EEQ_ZS5,VALENTINO GARAVANI ESCAPE CLUTCH BAG IN RAFFIA,750.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/eca8e849-87a4-44db-88f8-b09c509c107f/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-CLUTCH-IN-RAFFIA?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/e54918cf-bee3-4a43-a9d2-543ccb388edd/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-CLUTCH-IN-RAFFIA?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-valentino-garavani-escape-clutch-bag-in-raffia-WP0AE9EEQ_ZS5,NATURAL/TOBACCO,online,women_shoes.html
WB0K96WCG_098,VALENTINO GARAVANI ESCAPE SMALL RAFFIA HANDBAG WITH EMBROIDERY,2750.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/7799fd5d-0ce2-47e6-ba4b-260257c47a4c/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-SMALL-RAFFIA-HANDBAG-WITH-EMBROIDERY?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/c4019a3e-fa67-4532-bcf5-2929decffbd6/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-SMALL-RAFFIA-HANDBAG-WITH-EMBROIDERY?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-valentino-garavani-escape-small-raffia-handbag-with-embroidery-WB0K96WCG_098,IVORY,online,women_shoes.html
WB0L02XQI_YT3,VALENTINO GARAVANI ESCAPE HANDBAG IN RAFFIA WITH EMBROIDERY,2890.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/dd3bc085-0679-494a-9e78-640193564c2c/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-HANDBAG-IN-RAFFIA-WITH-EMBROIDERY?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/cb5f59ae-3eb9-4f54-b770-04675a457787/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-HANDBAG-IN-RAFFIA-WITH-EMBROIDERY?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-valentino-garavani-escape-handbag-in-raffia-with-embroidery-WB0L02XQI_YT3,NATURAL/IVORY,online,women_shoes.html
WP0AF1VSD_Z5S,VALENTINO GARAVANI ESCAPE MINI BUCKET BAG IN CANVAS WITH STARFISH PRINT,1490.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/a3c0fa8a-d8a8-4336-b4f8-bf1c41043354/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-MINI-BUCKET-BAG-IN-CANVAS-WITH-STARFISH-PRINT?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/f43e865f-dfc2-4fe0-a607-fccc3826275b/ihqstx/std/275x0/VALENTINO-GARAVANI-ESCAPE-MINI-BUCKET-BAG-IN-CANVAS-WITH-STARFISH-PRINT?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-valentino-garavani-escape-mini-bucket-bag-in-canvas-with-starfish-print-WP0AF1VSD_Z5S,IVORY/PINK PP,online,women_shoes.html
WP0AF1GPF_K2P,VALENTINO GARAVANI ESCAPE MINI BUCKET BAG IN CANVAS WITH CHEVRON24 PRINT,1750.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/e9e8c6b2-27e3-426e-b0df-02c3e76fcc93/ihqstx/std/275x0/MINI-VALENTINO-GARAVANI-ESCAPE-BUCKET-BAG-IN-CANVAS-WITH-CHEVRON-24-PRINT?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/aaf23547-09e4-4845-ae6e-1717391f3528/ihqstx/std/275x0/MINI-VALENTINO-GARAVANI-ESCAPE-BUCKET-BAG-IN-CANVAS-WITH-CHEVRON-24-PRINT?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-valentino-garavani-escape-mini-bucket-bag-in-canvas-with-chevron24-print-WP0AF1GPF_K2P,MULTICOLOR,online,women_shoes.html
WB0K39ARP_Y8F,MEDIUM SHOPPING BAG IN SYNTHETIC RAFFIA,2650.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/c02f6853-ec87-4146-bec7-94030c3a45ef/ihqstx/std/275x0/MEDIUM-SHOPPING-BAG-IN-SYNTHETIC-RAFFIA?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/5b93a555-3316-4620-bf49-352168a09a5a/ihqstx/std/275x0/MEDIUM-SHOPPING-BAG-IN-SYNTHETIC-RAFFIA?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-medium-shopping-bag-in-synthetic-raffia-WB0K39ARP_Y8F,BISCUIT/CHOCOLATE,online,women_shoes.html
WB0K39USP_O39,MEDIUM SHOPPING BAG IN LACE-EFFECT RAFFIA,3900.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/f1ba461b-a7b4-4452-b9ff-e79f076b7322/ihqstx/std/275x0/MEDIUM-SHOPPING-BAG-IN-LACE-EFFECT-RAFFIA?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/f20eb7e8-6dc3-4046-8761-c916dbded1a1/ihqstx/std/275x0/MEDIUM-SHOPPING-BAG-IN-LACE-EFFECT-RAFFIA?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-medium-shopping-bag-in-lace-effect-raffia-WB0K39USP_O39,NATURAL,online,women_shoes.html
WB0K39YCE_D84,MEDIUM STRAW SUMMER TOTE ,2650.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/5dee5236-650f-40f7-a69b-0fcb1ee372e2/ihqstx/std/275x0/MEDIUM-STRAW-SUMMER-TOTE-?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/b38db65b-d6d9-4a76-9b50-4da60436ff40/ihqstx/std/275x0/MEDIUM-STRAW-SUMMER-TOTE-?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-medium-straw-summer-tote--WB0K39YCE_D84,SADDLE BROWN/NATURAL/ROUGE PUR,online,women_shoes.html
WP0Y12PXW_43S,VLOGO SIGNATURE CLUTCH BAG IN RAFFIA,1350.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/713d83f8-a23e-4c70-8f7c-1cf7957351da/ihqstx/std/275x0/VLOGO-SIGNATURE-RAFFIA-CLUTCH-BAG?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/9f18c498-9768-429d-83cf-2a4d3ae75e09/ihqstx/std/275x0/VLOGO-SIGNATURE-RAFFIA-CLUTCH-BAG?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-vlogo-signature-clutch-bag-in-raffia-WP0Y12PXW_43S,NATURAL/SADDLE BROWN,online,women_shoes.html
WB0Q26IMZ_ZG6,VALENTINO GARAVANI ALLTIME SMALL HANDBAG IN GRAINY CALFSKIN,2890.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/caa3b00c-0735-43b8-b0b4-f100af394d35/ihqstx/std/275x0/VALENTINO-GARAVANI-ALLTIME-SMALL-HANDBAG-IN-GRAINY-CALFSKIN?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/6c2127e4-4e64-4ce9-9c9b-cc80b585664c/ihqstx/std/275x0/VALENTINO-GARAVANI-ALLTIME-SMALL-HANDBAG-IN-GRAINY-CALFSKIN?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-valentino-garavani-alltime-small-handbag-in-grainy-calfskin-WB0Q26IMZ_ZG6,IVORY,online,women_shoes.html
WB0Q26IMZ_WRX,VALENTINO GARAVANI ALLTIME SMALL HANDBAG IN GRAINY CALFSKIN,2890.0,women_shoes,"https://valentino-cdn.thron.com/delivery/public/image/valentino/f892c6c2-515f-4f70-9a14-5df8defb65af/ihqstx/std/275x0/VALENTINO-GARAVANI-ALLTIME-SMALL-HANDBAG-IN-GRAINY-CALFSKIN?quality=80&size=35&format=auto, https://valentino-cdn.thron.com/delivery/public/image/valentino/e2984dfc-bbda-492b-b836-a5c2c19be083/ihqstx/std/275x0/VALENTINO-GARAVANI-ALLTIME-SMALL-HANDBAG-IN-GRAINY-CALFSKIN?quality=80&size=35&format=auto",https://www.valentino.com/en-us/product-valentino-garavani-alltime-small-handbag-in-grainy-calfskin-WB0Q26IMZ_WRX,ROSE CANNELLE,online,women_shoes.html
