product_id,availability,category,image_url,list_price,name,price,quantity,sale,sale_percentage,sale_price,sku,stock,product_url,personalized,preorder,shoppable,promotional_code_name,promotional_code_value,tax_included,filename
DPU5978-1A10544_1B00V,1,men:accessories:wallets:bifold wallets,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dwc72a2646/original/90_DPU5978-1A10544_1B00V_20_MedusaBiggieBifoldClipWallet-Bifold~Wallets-Versace-online-store_0_2.jpg?sw=550&q=85&strip=true,495.00,medusa biggie bifold clip wallet,495.00,1,0,0%,495.00,DPU5978-1A10544_1B00V,75,https://www.versace.com/us/en/men/accessories/wallets/bifold-wallets/medusa-biggie-bifold-clip-wallet-black-gold/DPU5978-1A10544_1B00V.html?dwvar_DPU5978-1A10544__1B00V_color=1B00V,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
DPN2467-1A10544_1B00V,1,men:accessories:wallets:card holders,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dwebfcb658/original/90_DPN2467-1A10544_1B00V_20_MedusaBiggieCardholder-Card~Holders-Versace-online-store_0_2.jpg?sw=550&q=85&strip=true,295.00,medusa biggie cardholder,295.00,1,0,0%,295.00,DPN2467-1A10544_1B00V,50,https://www.versace.com/us/en/men/accessories/wallets/card-holders/medusa-biggie-cardholder-black-gold/DPN2467-1A10544_1B00V.html?dwvar_DPN2467-1A10544__1B00V_color=1B00V,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
DPU2463-1A09321_2VE9E,1,men:accessories:wallets:bifold wallets,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw85da4c75/original/90_DPU2463-1A09321_2VE9E_20_BaroccoJacquardBifoldWallet-Bifold~Wallets-Versace-online-store_0_3.jpg?sw=550&q=85&strip=true,395.00,barocco jacquard bifold wallet,395.00,1,0,0%,395.00,DPU2463-1A09321_2VE9E,44,https://www.versace.com/us/en/men/accessories/wallets/bifold-wallets/barocco-jacquard-bifold-wallet-print/DPU2463-1A09321_2VE9E.html?dwvar_DPU2463-1A09321__2VE9E_color=2VE9E,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
1012892-1A09321_2VE9E,1,men:accessories:wallets,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw4f3adf22/original/90_1012892-1A09321_2VE9E_20_BaroccoJacquardCardholder-Card~Holders-Versace-online-store_0_4.jpg?sw=550&q=85&strip=true,275.00,barocco jacquard cardholder,275.00,1,0,0%,275.00,1012892-1A09321_2VE9E,63,https://www.versace.com/us/en/men/accessories/wallets/barocco-jacquard-cardholder-print/1012892-1A09321_2VE9E.html?dwvar_1012892-1A09321__2VE9E_color=2VE9E,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
1012892-1A09321_2BM0E,1,men:accessories:wallets:card holders,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw5036ea12/original/90_1012892-1A09321_2BM0E_20_BaroccoJacquardCardholder-Wallets-Versace-online-store_1_6.jpg?sw=550&q=85&strip=true,275.00,barocco jacquard cardholder,275.00,1,0,0%,275.00,1012892-1A09321_2BM0E,69,https://www.versace.com/us/en/men/accessories/wallets/card-holders/barocco-jacquard-cardholder-black-print/1012892-1A09321_2BM0E.html?dwvar_1012892-1A09321__2BM0E_color=2BM0E,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
DPDI056-1A09321_2BM0E,1,men:accessories:wallets:continental wallets,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dwcd425faf/original/90_DPDI056-1A09321_2BM0E_20_BaroccoJacquardLongWallet-Accessories-Versace-online-store_0_4.jpg?sw=550&q=85&strip=true,675.00,barocco jacquard long wallet,675.00,1,0,0%,675.00,DPDI056-1A09321_2BM0E,16,https://www.versace.com/us/en/men/accessories/wallets/continental-wallets/barocco-jacquard-long-wallet-black-print/DPDI056-1A09321_2BM0E.html?dwvar_DPDI056-1A09321__2BM0E_color=2BM0E,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
DPU6737-1A09321_2BM0E,1,men:accessories:wallets:bifold wallets,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw2ec8fcf2/original/90_DPU6737-1A09321_2BM0E_20_BaroccoJacquardWallet-Accessories-Versace-online-store_1_4.jpg?sw=550&q=85&strip=true,425.00,barocco jacquard wallet,425.00,1,0,0%,425.00,DPU6737-1A09321_2BM0E,44,https://www.versace.com/us/en/men/accessories/wallets/bifold-wallets/barocco-jacquard-wallet-black-print/DPU6737-1A09321_2BM0E.html?dwvar_DPU6737-1A09321__2BM0E_color=2BM0E,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
DPN2467-1A10637_1B00E,1,men:accessories:wallets:card holders,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw6f0c7270/original/90_DPN2467-1A10637_1B00E_20_MedusaBiggieBaroccoCardholder-Accessories-Versace-online-store_0_2.jpg?sw=550&q=85&strip=true,325.00,medusa biggie barocco cardholder,325.00,1,0,0%,325.00,DPN2467-1A10637_1B00E,76,https://www.versace.com/us/en/men/accessories/wallets/card-holders/medusa-biggie-barocco-cardholder-black/DPN2467-1A10637_1B00E.html?dwvar_DPN2467-1A10637__1B00E_color=1B00E,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
DPU2463-1A10637_1B00E,1,men:accessories:wallets:bifold wallets,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw0439dd94/original/90_DPU2463-1A10637_1B00E_20_MedusaBiggieBaroccoWallet-Bifold~Wallets-Versace-online-store_0_2.jpg?sw=550&q=85&strip=true,475.00,medusa biggie barocco wallet,475.00,1,0,0%,475.00,DPU2463-1A10637_1B00E,50,https://www.versace.com/us/en/men/accessories/wallets/bifold-wallets/medusa-biggie-barocco-wallet-black/DPU2463-1A10637_1B00E.html?dwvar_DPU2463-1A10637__1B00E_color=1B00E,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
DPU5978-1A03190_1B00V,1,men:accessories:wallets:bifold wallets,https://www.versace.com/dw/image/v2/BGWN_PRD/on/demandware.static/-/Sites-ver-master-catalog/default/dw7168994c/original/90_DPU5978-1A03190_1B00V_20_Medusa~Biggie~Bifold~Clip~Wallet--Versace-online-store_2_0.jpg?sw=550&q=85&strip=true,425.00,medusa biggie bifold clip wallet,425.00,1,0,0%,425.00,DPU5978-1A03190_1B00V,5,https://www.versace.com/us/en/men/accessories/wallets/bifold-wallets/medusa-biggie-bifold-clip-wallet-black-gold/DPU5978-1A03190_1B00V.html?dwvar_DPU5978-1A03190__1B00V_color=1B00V,0,0,0,!! DO NOT REMOVE !! Restricted Products for US,0,0,mens-accessories.txt
